column,missing_count,table,missing_rate
SMILES,0,desc_train,0.0
nAcid,0,desc_train,0.0
ALogP,0,desc_train,0.0
ALogp2,0,desc_train,0.0
AMR,0,desc_train,0.0
apol,0,desc_train,0.0
naAromAtom,0,desc_train,0.0
nAromBond,0,desc_train,0.0
nAtom,0,desc_train,0.0
nHeavyAtom,0,desc_train,0.0
nH,0,desc_train,0.0
nB,0,desc_train,0.0
nC,0,desc_train,0.0
nN,0,desc_train,0.0
nO,0,desc_train,0.0
nS,0,desc_train,0.0
nP,0,desc_train,0.0
nF,0,desc_train,0.0
nCl,0,desc_train,0.0
nBr,0,desc_train,0.0
nI,0,desc_train,0.0
nX,0,desc_train,0.0
ATSc1,0,desc_train,0.0
ATSc2,0,desc_train,0.0
ATSc3,0,desc_train,0.0
ATSc4,0,desc_train,0.0
ATSc5,0,desc_train,0.0
ATSm1,0,desc_train,0.0
ATSm2,0,desc_train,0.0
ATSm3,0,desc_train,0.0
ATSm4,0,desc_train,0.0
ATSm5,0,desc_train,0.0
ATSp1,0,desc_train,0.0
ATSp2,0,desc_train,0.0
ATSp3,0,desc_train,0.0
ATSp4,0,desc_train,0.0
ATSp5,0,desc_train,0.0
nBase,0,desc_train,0.0
BCUTw-1l,0,desc_train,0.0
BCUTw-1h,0,desc_train,0.0
BCUTc-1l,0,desc_train,0.0
BCUTc-1h,0,desc_train,0.0
BCUTp-1l,0,desc_train,0.0
BCUTp-1h,0,desc_train,0.0
nBonds,0,desc_train,0.0
nBonds2,0,desc_train,0.0
nBondsS,0,desc_train,0.0
nBondsS2,0,desc_train,0.0
nBondsS3,0,desc_train,0.0
nBondsD,0,desc_train,0.0
nBondsD2,0,desc_train,0.0
nBondsT,0,desc_train,0.0
nBondsQ,0,desc_train,0.0
nBondsM,0,desc_train,0.0
bpol,0,desc_train,0.0
C1SP1,0,desc_train,0.0
C2SP1,0,desc_train,0.0
C1SP2,0,desc_train,0.0
C2SP2,0,desc_train,0.0
C3SP2,0,desc_train,0.0
C1SP3,0,desc_train,0.0
C2SP3,0,desc_train,0.0
C3SP3,0,desc_train,0.0
C4SP3,0,desc_train,0.0
SCH-3,0,desc_train,0.0
SCH-4,0,desc_train,0.0
SCH-5,0,desc_train,0.0
SCH-6,0,desc_train,0.0
SCH-7,0,desc_train,0.0
VCH-3,0,desc_train,0.0
VCH-4,0,desc_train,0.0
VCH-5,0,desc_train,0.0
VCH-6,0,desc_train,0.0
VCH-7,0,desc_train,0.0
