descriptor,descriptor_category,descriptor_category_source,is_constant,is_near_constant,dominant_value_ratio,descriptor_numeric_type,is_integer_like,is_binary_like,is_low_cardinality,is_continuous_like
nAcid,Acidic group count,Summary.Descriptor type,False,True,0.9017223910840932,integer_low_cardinality,True,False,True,False
ALogP,ALOGP,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True
ALogp2,ALOGP,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True
AMR,ALOGP,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True
apol,APol,Summary.Descriptor type,False,False,0.010638297872340425,continuous_float_like,False,False,False,True
naAromAtom,Aromatic atoms count,Summary.Descriptor type,False,False,0.2806484295845998,integer_count_like,True,False,False,False
nAromBond,Aromatic bonds count,Summary.Descriptor type,False,False,0.32978723404255317,integer_count_like,True,False,False,False
nAtom,Atom count,Summary.Descriptor type,False,False,0.04305977710233029,integer_count_like,True,False,False,False
nHeavyAtom,Atom count,Summary.Descriptor type,False,False,0.0795339412360689,integer_count_like,True,False,False,False
nH,Atom count,Summary.Descriptor type,False,False,0.05369807497467072,integer_count_like,True,False,False,False
nB,Atom count,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nC,Atom count,Summary.Descriptor type,False,False,0.08257345491388045,integer_count_like,True,False,False,False
nN,Atom count,Summary.Descriptor type,False,True,0.3799392097264438,integer_low_cardinality,True,False,True,False
nO,Atom count,Summary.Descriptor type,False,True,0.29533941236068895,integer_low_cardinality,True,False,True,False
nS,Atom count,Summary.Descriptor type,False,True,0.7325227963525835,integer_low_cardinality,True,False,True,False
nP,Atom count,Summary.Descriptor type,False,True,0.9989868287740629,binary_like,True,True,True,False
nF,Atom count,Summary.Descriptor type,False,True,0.8348530901722391,integer_low_cardinality,True,False,True,False
nCl,Atom count,Summary.Descriptor type,False,True,0.9123606889564336,integer_low_cardinality,True,False,True,False
nBr,Atom count,Summary.Descriptor type,False,True,0.9417426545086119,integer_low_cardinality,True,False,True,False
nI,Atom count,Summary.Descriptor type,False,True,0.9979736575481256,integer_low_cardinality,True,False,True,False
nX,Atom count,Summary.Descriptor type,False,True,0.7077001013171226,integer_low_cardinality,True,False,True,False
ATSc1,Autocorrelation (charge),Summary.Descriptor type,False,False,0.0035460992907801418,continuous_float_like,False,False,False,True
