descriptor,descriptor_category,descriptor_category_source,is_constant,is_near_constant,dominant_value_ratio,descriptor_numeric_type,is_integer_like,is_binary_like,is_low_cardinality,is_continuous_like,candidate_super_block
nAcid,Acidic group count,Summary.Descriptor type,False,True,0.9017223910840932,integer_low_cardinality,True,False,True,False,not_assigned
ALogP,ALOGP,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True,not_assigned
ALogp2,ALOGP,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True,not_assigned
AMR,ALOGP,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True,not_assigned
apol,APol,Summary.Descriptor type,False,False,0.010638297872340425,continuous_float_like,False,False,False,True,not_assigned
naAromAtom,Aromatic atoms count,Summary.Descriptor type,False,False,0.2806484295845998,integer_count_like,True,False,False,False,not_assigned
nAromBond,Aromatic bonds count,Summary.Descriptor type,False,False,0.32978723404255317,integer_count_like,True,False,False,False,not_assigned
nAtom,Atom count,Summary.Descriptor type,False,False,0.04305977710233029,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
nHeavyAtom,Atom count,Summary.Descriptor type,False,False,0.0795339412360689,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
nH,Atom count,Summary.Descriptor type,False,False,0.05369807497467072,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
nB,Atom count,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_Y_topological_connectivity_structure
nC,Atom count,Summary.Descriptor type,False,False,0.08257345491388045,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
nN,Atom count,Summary.Descriptor type,False,True,0.3799392097264438,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
nO,Atom count,Summary.Descriptor type,False,True,0.29533941236068895,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
nS,Atom count,Summary.Descriptor type,False,True,0.7325227963525835,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
nP,Atom count,Summary.Descriptor type,False,True,0.9989868287740629,binary_like,True,True,True,False,block_Y_topological_connectivity_structure
nF,Atom count,Summary.Descriptor type,False,True,0.8348530901722391,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
nCl,Atom count,Summary.Descriptor type,False,True,0.9123606889564336,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
nBr,Atom count,Summary.Descriptor type,False,True,0.9417426545086119,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
nI,Atom count,Summary.Descriptor type,False,True,0.9979736575481256,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
nX,Atom count,Summary.Descriptor type,False,True,0.7077001013171226,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
ATSc1,Autocorrelation (charge),Summary.Descriptor type,False,False,0.0035460992907801418,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
ATSc2,Autocorrelation (charge),Summary.Descriptor type,False,False,0.0035460992907801418,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
ATSc3,Autocorrelation (charge),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
ATSc4,Autocorrelation (charge),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
ATSc5,Autocorrelation (charge),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
ATSm1,Autocorrelation (mass),Summary.Descriptor type,False,False,0.015197568389057751,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
ATSm2,Autocorrelation (mass),Summary.Descriptor type,False,False,0.01165146909827761,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
ATSm3,Autocorrelation (mass),Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
ATSm4,Autocorrelation (mass),Summary.Descriptor type,False,False,0.005065856129685917,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
ATSm5,Autocorrelation (mass),Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
ATSp1,Autocorrelation (polarizability),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
ATSp2,Autocorrelation (polarizability),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
ATSp3,Autocorrelation (polarizability),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
ATSp4,Autocorrelation (polarizability),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
ATSp5,Autocorrelation (polarizability),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
nBase,Basic group count,Summary.Descriptor type,False,True,0.6621073961499493,integer_low_cardinality,True,False,True,False,not_assigned
BCUTw-1l,BCUT,Summary.Descriptor type,False,False,0.25379939209726443,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
BCUTw-1h,BCUT,Summary.Descriptor type,False,False,0.014690982776089158,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
BCUTc-1l,BCUT,Summary.Descriptor type,False,False,0.006585612968591692,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
BCUTc-1h,BCUT,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
BCUTp-1l,BCUT,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
BCUTp-1h,BCUT,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_X_local_electronic_atom_environment
nBonds,Bond count,Summary.Descriptor type,False,False,0.06788247213779129,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
nBonds2,Bond count,Summary.Descriptor type,False,False,0.04508611955420466,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
nBondsS,Bond count,Summary.Descriptor type,False,False,0.05521783181357649,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
nBondsS2,Bond count,Summary.Descriptor type,False,False,0.044072948328267476,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
nBondsS3,Bond count,Summary.Descriptor type,False,False,0.06281661600810537,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
nBondsD,Bond count,Summary.Descriptor type,False,True,0.171225937183384,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
nBondsD2,Bond count,Summary.Descriptor type,False,True,0.32016210739615,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
nBondsT,Bond count,Summary.Descriptor type,False,True,0.9483282674772037,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
nBondsQ,Bond count,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_Y_topological_connectivity_structure
