descriptor,pandas_dtype,n_unique_values,unique_value_ratio,is_integer_like,is_binary_like,is_low_cardinality,is_continuous_like,min,max,mean,std,descriptor_numeric_type
nAcid,int64,5,0.0025329280648429585,True,False,True,False,0.0,4.0,0.10840932117527863,0.3478115145881281,integer_low_cardinality
ALogP,float64,1625,0.8232016210739616,False,False,False,True,-23.105,5.1817,1.1101636271529858,1.433886900059527,continuous_float_like
ALogp2,float64,1623,0.8221884498480243,False,False,False,True,3.59999999998155e-07,533.841025,3.2884949212158006,12.829665983467502,continuous_float_like
AMR,float64,1631,0.8262411347517731,False,False,False,True,54.067,517.4294,116.55710618034423,31.559458623688055,continuous_float_like
apol,float64,1324,0.6707193515704154,False,False,False,True,30.6619299999999,359.662739999997,60.62647113981752,19.444820725673523,continuous_float_like
naAromAtom,int64,25,0.012664640324214792,True,False,False,False,0.0,30.0,15.446808510638299,5.154547420997124,integer_count_like
nAromBond,int64,25,0.012664640324214792,True,False,False,False,0.0,34.0,16.189463019250255,5.63384353025576,integer_count_like
nAtom,int64,87,0.044072948328267476,True,False,False,False,21.0,343.0,50.76190476190476,18.084599336175422,integer_count_like
nHeavyAtom,int64,42,0.02127659574468085,True,False,False,False,14.0,163.0,28.112462006079028,8.071835327202137,integer_count_like
nH,int64,61,0.03090172239108409,True,False,False,False,5.0,180.0,22.649442755825735,10.772761402752971,integer_count_like
nB,int64,1,0.0005065856129685917,True,True,True,False,0.0,0.0,0.0,0.0,binary_like
nC,int64,41,0.02077001013171226,True,False,False,False,7.0,95.0,22.60790273556231,6.629678929928954,integer_count_like
nN,int64,14,0.0070921985815602835,True,False,True,False,0.0,46.0,1.508611955420466,1.8859789807107645,integer_low_cardinality
nO,int64,12,0.0060790273556231,True,False,True,False,0.0,20.0,3.2386018237082066,1.5989197437733016,integer_low_cardinality
nS,int64,5,0.0025329280648429585,True,False,True,False,0.0,6.0,0.30749746707193515,0.5623933142044575,integer_low_cardinality
nP,int64,2,0.0010131712259371835,True,True,True,False,0.0,1.0,0.0010131712259371835,0.031814221819874,binary_like
nF,int64,7,0.0035460992907801418,True,False,True,False,0.0,6.0,0.28318135764944274,0.7654857279750789,integer_low_cardinality
