descriptor,n_outlier_compounds,prop_outlier_compounds
BCUTc-1l,652,0.3302938196555218
SdssC,489,0.24772036474164133
minHsOH,457,0.2315096251266464
maxsOH,440,0.22289766970618036
maxHsOH,427,0.21631205673758866
minsOH,426,0.21580547112462006
mindssC,409,0.207193515704154
BCUTw-1h,291,0.1474164133738602
MDEO-11,265,0.1342451874366768
minaasC,225,0.11398176291793313
MAXDN2,205,0.1038500506585613
MAXDN,198,0.10030395136778116
gmin,194,0.09827760891590678
hmax,189,0.09574468085106383
minHBd,186,0.09422492401215805
nTRing,141,0.07142857142857142
ALogp2,136,0.06889564336372847
maxHBd,128,0.06484295845997974
VCH-7,113,0.057244174265450865
nBondsD,113,0.057244174265450865
MDEO-12,94,0.047619047619047616
minaaCH,89,0.04508611955420466
VC-5,88,0.044579533941236066
ATSc5,86,0.04356636271529889
BCUTp-1l,84,0.0425531914893617
maxwHBa,79,0.04002026342451875
ETA_EtaP_F,74,0.037487335359675786
SC-3,72,0.0364741641337386
VPC-6,67,0.033941236068895646
maxaasC,65,0.03292806484295846
maxaaCH,65,0.03292806484295846
VPC-5,63,0.031914893617021274
SC-5,62,0.031408308004052685
minHaaCH,62,0.031408308004052685
VCH-5,61,0.03090172239108409
maxHaaCH,60,0.030395136778115502
ETA_AlphaP,56,0.028368794326241134
DELS2,55,0.027862208713272545
DELS,55,0.027862208713272545
naasC,55,0.027862208713272545
minHother,54,0.02735562310030395
SssCH2,48,0.0243161094224924
ETA_EtaP_F_L,46,0.02330293819655522
SHBa,45,0.022796352583586626
maxHBa,43,0.021783181357649443
ATSc3,42,0.02127659574468085
ETA_Eta_B,41,0.02077001013171226
ATSm1,37,0.018743667679837893
FMF,36,0.0182370820668693
ETA_BetaP,36,0.0182370820668693
nHBAcc,36,0.0182370820668693
nRotB,35,0.01773049645390071
XLogP,35,0.01773049645390071
VPC-4,35,0.01773049645390071
maxHother,34,0.017223910840932118
nAtomLC,34,0.017223910840932118
ETA_Beta_ns,33,0.016717325227963525
ETA_Epsilon_3,33,0.016717325227963525
WPATH,30,0.015197568389057751
WTPT-2,28,0.014184397163120567
C2SP3,28,0.014184397163120567
ATSc2,27,0.013677811550151976
ATSc4,27,0.013677811550151976
ETA_EtaP_L,27,0.013677811550151976
ETA_BetaP_ns,27,0.013677811550151976
VP-7,25,0.012664640324214792
ETA_Eta_B_RC,25,0.012664640324214792
VC-3,25,0.012664640324214792
ETA_dBeta,24,0.0121580547112462
minwHBa,21,0.010638297872340425
fragC,21,0.010638297872340425
ETA_dEpsilon_D,19,0.009625126646403243
nHBAcc3,19,0.009625126646403243
CrippenLogP,18,0.00911854103343465
ECCEN,17,0.008611955420466059
MDEC-13,17,0.008611955420466059
