descriptor,variance,std,range,n_unique_values,unique_value_ratio,dominant_value,dominant_value_ratio,is_constant,dominant_value_ge_90pct,dominant_value_ge_95pct,unique_ratio_le_1pct,is_near_constant,descriptor_numeric_type,is_integer_like,is_binary_like,is_low_cardinality,is_continuous_like,is_rare_binary_like
nB,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nBondsQ,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nHsNH3p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nHssNH2p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nHsssNHp,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nHmisc,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsLi,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssBe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssssBem,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsBH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssBH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsssB,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssssBm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nddC,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsNH3p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssNH2p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsssNHp,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nddsN,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
naOm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsSiH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssSiH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsssSiH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssssSi,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsPH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssPH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsssP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nddsP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsssssP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssssssS,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nSm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsGeH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssGeH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsssGeH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssssGe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsAsH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssAsH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
ndsssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nddsAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsssssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsSeH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
ndSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
naaSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
ndssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssssssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nddssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsSnH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssSnH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsssSnH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssssSn,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nsPbH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssPbH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
