feature,importance_mean,importance_sd
LipoaffinityIndex,0.22807805591904678,0.0035769329314009886
maxHsOH,0.18185020849192018,0.005597114074750301
MDEC-23,0.16885670278362466,0.006066675224722675
MLFER_A,0.08229775395279465,0.003986833476665834
minHsOH,0.07671839183165798,0.005344559339226598
minsssN,0.06535969083322085,0.0026483391318241328
VC-5,0.06532284978838841,0.0044416604058853185
BCUTc-1l,0.054899590849666904,0.0038228114277357238
SHBint10,0.04340011481046978,0.003456837855358153
nHBAcc,0.03818376435086272,0.0022381012573492736
XLogP,0.034702668440905804,0.0018970874007364323
C3SP2,0.03192944177768934,0.003032839989887656
C1SP2,0.030777095693856386,0.0011479507389020648
ndssC,0.027385944328636464,0.0017662326842444714
BCUTw-1h,0.025174980318010055,0.0011169302626303842
VCH-5,0.0250959540917651,0.0021984583038323086
minHBint5,0.02099413121455472,0.0021399576040762617
AMR,0.01968875179086659,0.0012752258984176906
maxHBint8,0.019063431564955553,0.001418930109793354
SPC-6,0.01873790624571737,0.0009151031477636839
MDEC-33,0.018541245279853246,0.0013411293078239679
maxsOH,0.018339294071463393,0.0010477006399281018
TopoPSA,0.018289666268857262,0.0011321555055684041
mindssC,0.01745468803575604,0.001480400993500018
MDEO-12,0.016054419328964932,0.0020508648071804795
CrippenLogP,0.015272014228122147,0.0009031585019546549
SdssC,0.015085440021151655,0.001640201530688313
minsOH,0.015005497846099622,0.0016133674297833696
VPC-6,0.014953084668101423,0.0007445077403201506
maxssO,0.014528717541134611,0.0015394762461981271
SsOH,0.014332963632414994,0.0008885571629294443
Kier3,0.014266508409731374,0.0011513343655993214
minHBa,0.014027671970321098,0.0009089060525978382
ATSc4,0.0127172389030488,0.0008643875185763244
ETA_Shape_Y,0.012288397529083204,0.0016023223343067628
minssO,0.011837465542572034,0.0005543302202301258
minssCH2,0.011068663811208176,0.0008716227810710906
ATSc3,0.01062307871774312,0.0008145599853332259
VP-5,0.01048069300301594,0.0006269704048504712
maxaaCH,0.010251977440092855,0.0010046196865948853
ATSm5,0.010054488670392363,0.00034932054349856015
ATSc2,0.010048723530941495,0.0007025233385535436
SPC-4,0.009749376602149858,0.0009825972447744277
MLFER_S,0.009620602521119636,0.0005236947918392723
BCUTc-1h,0.009150666499539873,0.0006866828309600375
maxwHBa,0.009095800737653512,0.0007666124040094867
minHBint10,0.008635623579890395,0.0008486599265228505
ALogp2,0.007797284513824068,0.001020075335169519
maxHaaCH,0.007786889601844887,0.0004947992183380194
WTPT-5,0.007716356988849149,0.000737879182954245
Kier2,0.007569269953785179,0.0007900380928264369
mindO,0.007547911689921863,0.0005786490061271632
SHBd,0.007325811195634702,0.0006572382948360365
SwHBa,0.007318095320596007,0.0003112194287192603
ALogP,0.007220221579928169,0.0004954055430438721
minHBint9,0.007194430918538169,0.000594106792762756
ETA_BetaP_s,0.007144237707494514,0.0006510302903373953
ATSc5,0.007016536399978282,0.0004861181816733153
VC-3,0.006930010909006123,0.0004914884312823466
ETA_EtaP_F,0.006846094784157808,0.0006868483110984424
VCH-6,0.006641075494122642,0.00036682511402723745
BCUTp-1l,0.006551557166517263,0.00032290815798870307
MLFER_BH,0.006392166447654052,0.0005537432767848159
fragC,0.006374281601894166,0.0007066562319480104
maxHBint10,0.006323839495912956,0.0007429382111023581
MDEO-11,0.006160284754731538,0.0010206690569820659
VCH-7,0.006123193177219674,0.0005914859435498915
ECCEN,0.006121416089491172,0.00043852053561120526
BCUTp-1h,0.0061011412239150905,0.0005033998985772697
ETA_AlphaP,0.0060718625838973445,0.0003592467546614734
minsCH3,0.005960242514914,0.00045571704726519237
WTPT-4,0.005859944400974762,0.0007040954482508061
ETA_EtaP_B,0.005809960761491021,0.00026807635807614313
ETA_Alpha,0.0057881073732609645,0.0004307628221972639
PetitjeanNumber,0.005704700750475603,0.0002780767416001162
SHBint6,0.005551719760051313,0.0004932220404409488
nAtomLAC,0.0054440776895480466,0.0004844877328339709
SHCsats,0.005442352959886043,0.0005807374857903393
ATSm3,0.0054092105741626265,0.0005842136268034798
minHCsats,0.005271856859902504,0.0008377454229202609
nBonds,0.005193758265702753,0.0005611893079576321
maxHother,0.005142205058086352,0.0005911763112361023
MDEC-12,0.005094299006840425,0.0003107017661059118
hmin,0.005023909851940872,0.00022732347252935644
SHsOH,0.0048888066743104615,0.0005261860875646066
SPC-5,0.004815325765091777,0.0001768061138780459
maxaasC,0.0047331839859026115,0.00034767895507542925
MDEC-13,0.00470343357769554,0.0004871955876430945
DELS,0.004684190371212454,0.00030368807161242393
maxHBint5,0.004659173680249276,0.0003398885836869117
maxHCsats,0.0045706566720258,0.0005420352999422534
SC-5,0.004552050799868696,0.0003323132168185075
WTPT-2,0.004518575784157661,0.0005463591023143931
minsssCH,0.00451274663125911,0.000420212308153104
MAXDP,0.004443978996951528,0.0003939163927580304
bpol,0.004393795691060173,0.00035231737377646897
ATSc1,0.004368947343836238,0.00045026031380150764
maxHBa,0.004337710066424916,0.00044288957303836553
SaaCH,0.00431153374137361,0.00025782177718192486
SCH-6,0.004232839961907389,0.0003493709023843529
maxHBd,0.004205185098064695,0.0004357792159735505
SssCH2,0.004196650000342741,0.00031577811457202506
SP-5,0.004180852979102079,0.00037265172607546255
SC-3,0.004033126102553722,0.0004413943462633259
SHother,0.004013292075275243,0.0007030292006987473
minHBint7,0.003913473478652976,0.0005810134850748088
MAXDN,0.003861280176936488,0.0004159378872160175
MW,0.0038389976375249766,0.0003905383732727972
SCH-7,0.003828845215684951,0.0005148940398486994
SHBint8,0.003827814503524626,0.0006120462777667268
ETA_Eta_B_RC,0.003792663689138173,0.00021424222291388027
VC-4,0.0037895562977121795,0.0004778059028474938
maxssCH2,0.0037423724209867002,0.0002552737629195546
maxdssC,0.0037234961334166984,0.00038306585711168494
VP-4,0.00368378872127918,0.00045769911077839795
SP-2,0.003657392879862603,0.00024608505737806844
minHBd,0.0035979871157297504,0.00029976144737406537
ETA_Eta_R,0.0035885086516878133,0.0002410960383195993
SaasC,0.003576074444537283,0.00028253335161547053
ATSm4,0.0034458622803034133,0.00021386569423787166
SsCH3,0.003346666750228916,0.0004247801843379488
WPATH,0.0033374139337069065,0.0005794701699999142
hmax,0.003331618563837882,0.0004152951855213911
gmin,0.003327173400716696,0.0003256003071520293
MDEC-22,0.003319252541446896,0.000364499515870751
ATSp1,0.003174361182621785,0.00020166473375098464
SHBint5,0.003059618645589293,0.0004027401206044196
ETA_dEpsilon_C,0.002986447503070341,0.0003621218203129462
minHCsatu,0.0029604468752733896,0.00019553447227528653
ETA_EtaP,0.002934692661367341,0.00019916505322868473
maxdO,0.0028642796762081146,0.0002607108968220697
VP-3,0.0028588713199591944,0.00023061566209210807
FMF,0.00282438449199017,0.0003762139255553609
ETA_EtaP_B_RC,0.00277822232007017,0.0001924363102723805
VP-6,0.0027771973466209354,0.000239586027675372
SCH-5,0.002773230626182721,0.0007552144738249305
minwHBa,0.002762843021550579,0.00025425215984135327
SsssCH,0.0027283081446253022,0.0002387201288164819
BCUTw-1l,0.002653498199373339,0.0002687971905569226
minHother,0.002625863494820657,0.00018952569685768797
SsssN,0.002621592819380486,0.0005078391640722025
ETA_Eta_B,0.0026169504887452733,0.000333685627265582
VPC-4,0.002602014858754964,0.0002537267287590362
Kier1,0.0025677001869096076,0.00017677251350647525
CrippenMR,0.0025408886075857728,0.0002906192945369868
VPC-5,0.002529955928063801,0.00019252997950992202
minHBint4,0.002515296010772805,0.0002775256471995937
SP-3,0.002514746678323554,0.00028678527267881525
WTPT-3,0.002486371864417497,0.00036419596627698957
