model_name,feature_set_name,n_features,n_input_features,n_source_descriptors,n_latent_components,n_latent_scores_used,feature_representation,rmse_cv_global,mae_cv_global,q2_cv_global,r2_cv_global,fold_rmse_mean,fold_rmse_sd,fold_mae_mean,fold_r2_mean,model_family,delta_q2_vs_linear_pls,delta_rmse_vs_linear_pls,calibration_intercept_observed_on_predicted,calibration_slope_observed_on_predicted,mean_residual,median_residual,low_activity_bin_mean_residual,high_activity_bin_mean_residual,high_minus_low_residual_gap,max_abs_bin_mean_residual,mean_abs_bin_mean_residual,mean_bin_abs_residual
hist_gradient_boosting_primary_descriptors,primary_full_constant_removed,504,504,504,,,raw_descriptor_features,0.6886484634834821,0.4963819407053687,0.7656897832710984,0.7656897832710984,0.6876681163298193,0.04115956818543326,0.4963862657079968,0.7653053759103459,nonparametric_reference_on_raw_descriptors,0.12733108549516914,-0.1668928421271657,0.020571222977195613,0.994822199617767,-0.013600772084785637,-0.004824362749105582,-0.3718219160298916,0.4638198535090367,0.8356417695389283,0.4638198535090367,0.2778224482299769,0.4965888287085899
hist_gradient_boosting_block_X_plus_Y,block_X_plus_block_Y,464,464,464,,,raw_descriptor_features,0.6929753560233225,0.49908370612117003,0.7627361132061697,0.7627361132061697,0.6921469489129238,0.037942307354745734,0.49908474341349207,0.762314854097275,nonparametric_reference_on_raw_descriptors,0.1243774154302405,-0.1625659495873253,0.04812188497910525,0.9911496893123841,-0.010258038844497884,-0.005885369461709811,-0.3750939865316707,0.4619336091619861,0.8370275956936568,0.4619336091619861,0.2784084755019268,0.49928560205035694
random_forest_block_X_plus_Y,block_X_plus_block_Y,464,464,464,,,raw_descriptor_features,0.7071179519352887,0.5297293152161857,0.7529528852590254,0.7529528852590254,0.7066030620029944,0.03051322242156986,0.5297406353766547,0.7524600116634996,nonparametric_reference_on_raw_descriptors,0.11459418748309613,-0.14842335367535908,-0.6680227204699672,1.099394990001942,-0.012185055450141055,-0.012650461849080585,-0.5326745728863745,0.6109194720850266,1.143594044971401,0.6109194720850266,0.3747239313714067,0.5301113571337709
random_forest_primary_descriptors,primary_full_constant_removed,504,504,504,,,raw_descriptor_features,0.7080848014225637,0.5306453831855402,0.7522768433862027,0.7522768433862027,0.7073591315774607,0.03621785271645767,0.5306578759375759,0.7518095859890439,nonparametric_reference_on_raw_descriptors,0.11391814561027347,-0.1474565041880841,-0.6708662987926779,1.099492491894688,-0.01418618951142543,-0.021689539235751898,-0.5296817284064664,0.6129152597573753,1.1425969881638416,0.6129152597573753,0.3760404723477147,0.5310321285281672
hist_gradient_boosting_on_PLS_scores,PLS_scores_foldwise,20,20,504,20.0,20.0,foldwise_PLS_score_features,0.7521457589560315,0.5547349805860107,0.7204882417155256,0.7204882417155256,0.7515735002003764,0.032661890000626304,0.5547325212214045,0.7196192194830411,nonparametric_on_PLS_scores,0.08212954393959637,-0.10339554665461625,0.2016760352379668,0.9685916201794893,-0.005351141143657389,-0.0018185430666735058,-0.3813264126359482,0.5129332229945657,0.8942596356305139,0.5129332229945657,0.3192774695383364,0.5548699365870486
rbf_svr_on_PLS_scores,PLS_scores_foldwise,20,20,504,20.0,20.0,foldwise_PLS_score_features,0.7611284468983274,0.5589298694887987,0.7137720976699597,0.7137720976699597,0.7599820854483565,0.04677908337120932,0.5589307184255861,0.7129066813506894,nonparametric_on_PLS_scores,0.07541339989403051,-0.09441285871232041,0.3201127207843635,0.9458341069385588,-0.03872763161523488,-0.00927700640032647,-0.452247147665461,0.4269429489065733,0.8791900965720343,0.452247147665461,0.3037100143833482,0.5590165230911485
random_forest_on_PLS_scores,PLS_scores_foldwise,20,20,504,20.0,20.0,foldwise_PLS_score_features,0.7613454559922628,0.5847241783207111,0.7136088586980888,0.7136088586980888,0.7609711377257439,0.026663719635506587,0.5847271587465765,0.7130038642595071,nonparametric_on_PLS_scores,0.07525016092215953,-0.09419584961838501,-0.9371697581600325,1.141810092206274,-0.002796099878041327,-0.025560532165078254,-0.6262066286604104,0.7169509770324023,1.3431576056928127,0.7169509770324023,0.44289525437795546,0.5852301627495539
hist_gradient_boosting_on_PCA_scores,PCA_scores_foldwise,20,20,504,20.0,20.0,foldwise_PCA_score_features,0.7756001759094644,0.5817755890422981,0.7027842238856192,0.7027842238856192,0.7748435363542734,0.038480614924381,0.5817818579455649,0.7021476192732685,models_on_PCA_scores,0.06442552610968999,-0.07994112970118339,0.09318604807322499,0.9846342544477832,-0.0081395424882819,0.0026104836246356733,-0.4610570139369078,0.5701728619187214,1.031229875855629,0.5701728619187214,0.3481845915575411,0.5820196759189795
random_forest_on_PCA_scores,PCA_scores_foldwise,20,20,504,20.0,20.0,foldwise_PCA_score_features,0.793930875473159,0.611698458268625,0.6885692845140219,0.6885692845140219,0.7933064967077643,0.03556391490694052,0.6117062640366797,0.6880055227337125,models_on_PCA_scores,0.050210586738092644,-0.06161043013748879,-1.0728820273109918,1.1618362291206341,-0.006033986859730251,-0.01897818752335656,-0.6917077773665384,0.7785980382804238,1.4703058156469622,0.7785980382804238,0.472101051243599,0.6122870694684803
ridge_on_PLS_scores,PLS_scores_foldwise,20,20,504,20.0,20.0,foldwise_PLS_score_features,0.8546476536668779,0.6409087100521635,0.6391138048915587,0.6391138048915587,0.8536354480760199,0.04616237868680275,0.640906099652171,0.6386648638861114,linear_on_PLS_scores,0.0007551071156294276,-0.0008936519437698909,0.5046836678760921,0.9236698721518244,0.002127275845076643,0.022603466105927783,-0.42432716760510525,0.6396554408526466,1.063982608457752,0.6396554408526466,0.38881806952824205,0.6412422592189524
