model_name,feature_set_name,pIC50_bin,n_compounds,mean_observed_pIC50,mean_predicted_pIC50,mean_residual,mean_abs_residual,median_abs_residual
hist_gradient_boosting_block_X_plus_Y,block_X_plus_block_Y,"(2.455, 5.16]",395,4.675305600800606,5.050399587332277,-0.3750939865316707,0.49487890778879784,0.31074885396468055
hist_gradient_boosting_block_X_plus_Y,block_X_plus_block_Y,"(5.16, 6.126]",395,5.640436975993261,5.9306451549197945,-0.2902081789265343,0.4934758464097042,0.3755289811531197
hist_gradient_boosting_block_X_plus_Y,block_X_plus_block_Y,"(6.126, 6.963]",396,6.570006174732297,6.624481932427749,-0.05447575769545181,0.45826452184305244,0.33786826542210857
hist_gradient_boosting_block_X_plus_Y,block_X_plus_block_Y,"(6.963, 7.921]",397,7.382596598052564,7.172265752858573,0.21033084519399112,0.47385704145545215,0.36117476437408413
hist_gradient_boosting_block_X_plus_Y,block_X_plus_block_Y,"(7.921, 10.337]",391,8.679420407908225,8.217486798746238,0.4619336091619861,0.575951692754778,0.38058292468190125
hist_gradient_boosting_on_PCA_scores,PCA_scores_foldwise,"(2.455, 5.16]",395,4.675305600800606,5.136362614737513,-0.4610570139369078,0.6008276364229017,0.37805800141426715
hist_gradient_boosting_on_PCA_scores,PCA_scores_foldwise,"(5.16, 6.126]",395,5.640436975993261,6.026220577322641,-0.3857836013293795,0.570618923926528,0.45035556215106887
hist_gradient_boosting_on_PCA_scores,PCA_scores_foldwise,"(6.126, 6.963]",396,6.570006174732297,6.611740180597587,-0.041734005865291045,0.5202562791674152,0.4361668121247746
hist_gradient_boosting_on_PCA_scores,PCA_scores_foldwise,"(6.963, 7.921]",397,7.382596598052564,7.100421123315158,0.28217547473740595,0.5482464517760917,0.46963059325495404
hist_gradient_boosting_on_PCA_scores,PCA_scores_foldwise,"(7.921, 10.337]",391,8.679420407908225,8.109247545989504,0.5701728619187214,0.6701490883019607,0.49957536160784244
hist_gradient_boosting_on_PLS_scores,PLS_scores_foldwise,"(2.455, 5.16]",395,4.675305600800606,5.056632013436554,-0.3813264126359482,0.5207753853534217,0.3164053121394286
hist_gradient_boosting_on_PLS_scores,PLS_scores_foldwise,"(5.16, 6.126]",395,5.640436975993261,6.008108443025104,-0.36767146703184334,0.5575913785587968,0.44722485353937014
hist_gradient_boosting_on_PLS_scores,PLS_scores_foldwise,"(6.126, 6.963]",396,6.570006174732297,6.630592567691085,-0.06058639295878826,0.5163214315075186,0.40182542492011564
hist_gradient_boosting_on_PLS_scores,PLS_scores_foldwise,"(6.963, 7.921]",397,7.382596598052564,7.108726745982028,0.2738698520705364,0.5635085726530873,0.4458205070587775
hist_gradient_boosting_on_PLS_scores,PLS_scores_foldwise,"(7.921, 10.337]",391,8.679420407908225,8.16648718491366,0.5129332229945657,0.6161529148624191,0.42176396367833213
hist_gradient_boosting_primary_descriptors,primary_full_constant_removed,"(2.455, 5.16]",395,4.675305600800606,5.047127516830497,-0.3718219160298916,0.48219840777307876,0.3092847301779109
hist_gradient_boosting_primary_descriptors,primary_full_constant_removed,"(5.16, 6.126]",395,5.640436975993261,5.932587469577046,-0.2921504935837861,0.4984466265383451,0.38327172531092835
hist_gradient_boosting_primary_descriptors,primary_full_constant_removed,"(6.126, 6.963]",396,6.570006174732297,6.6326498270611545,-0.06264365232885763,0.4524231900768464,0.35336627729319314
hist_gradient_boosting_primary_descriptors,primary_full_constant_removed,"(6.963, 7.921]",397,7.382596598052564,7.183920272354253,0.1986763256983126,0.4736824565791032,0.3671375738644258
hist_gradient_boosting_primary_descriptors,primary_full_constant_removed,"(7.921, 10.337]",391,8.679420407908225,8.215600554399188,0.4638198535090367,0.5761934625755761,0.3933743647154788
kernel_ridge_rbf_on_PLS_scores,PLS_scores_foldwise,"(2.455, 5.16]",395,4.675305600800606,4.6886086613230376,-0.013303060522431605,0.8236811993024915,0.5833115326269693
kernel_ridge_rbf_on_PLS_scores,PLS_scores_foldwise,"(5.16, 6.126]",395,5.640436975993261,5.754705394077143,-0.11426841808388224,0.7486054078979959,0.5850193132234054
kernel_ridge_rbf_on_PLS_scores,PLS_scores_foldwise,"(6.126, 6.963]",396,6.570006174732297,6.3814465902587285,0.18855958447356733,0.7157548140645077,0.5159720441777003
kernel_ridge_rbf_on_PLS_scores,PLS_scores_foldwise,"(6.963, 7.921]",397,7.382596598052564,6.908523320432653,0.4740732776199113,0.7397863597309025,0.5681916708679999
kernel_ridge_rbf_on_PLS_scores,PLS_scores_foldwise,"(7.921, 10.337]",391,8.679420407908225,7.86719491587765,0.8122254920305749,0.915527086951563,0.6455859736714142
linear_PLS_from_03,primary_full_constant_removed,"(2.455, 5.16]",395,4.675305600800606,5.090215627752275,-0.4149100269516689,0.7497488654139276,0.5629344770516607
linear_PLS_from_03,primary_full_constant_removed,"(5.16, 6.126]",395,5.640436975993261,6.075295120443301,-0.4348581444500406,0.6438473001441618,0.4828628829490577
linear_PLS_from_03,primary_full_constant_removed,"(6.126, 6.963]",396,6.570006174732297,6.672367475097535,-0.1023613003652392,0.5187923837136791,0.38741450711957937
linear_PLS_from_03,primary_full_constant_removed,"(6.963, 7.921]",397,7.382596598052564,7.045277621587317,0.33731897646524683,0.5637520817308131,0.4831436700654636
linear_PLS_from_03,primary_full_constant_removed,"(7.921, 10.337]",391,8.679420407908225,8.04897612048788,0.6304442874203443,0.7308614986510266,0.5629177237059526
quadratic_ridge_on_PLS_scores,PLS_scores_foldwise_top8_quadratic,"(2.455, 5.16]",395,4.675305600800606,5.16817134100782,-0.49286574020721474,0.6439884108625743,0.4909219588412155
quadratic_ridge_on_PLS_scores,PLS_scores_foldwise_top8_quadratic,"(5.16, 6.126]",395,5.640436975993261,6.173400589141177,-0.5329636131479165,0.6946753531825056,0.5265723318787741
quadratic_ridge_on_PLS_scores,PLS_scores_foldwise_top8_quadratic,"(6.126, 6.963]",396,6.570006174732297,6.622793081348574,-0.05278690661627673,0.5360086161103733,0.4209195851532126
quadratic_ridge_on_PLS_scores,PLS_scores_foldwise_top8_quadratic,"(6.963, 7.921]",397,7.382596598052564,7.022323589950283,0.36027300810228036,0.6224318354607055,0.5133575922559599
quadratic_ridge_on_PLS_scores,PLS_scores_foldwise_top8_quadratic,"(7.921, 10.337]",391,8.679420407908225,7.9956898661999976,0.6837305417082276,0.7925950836675123,0.6681139120999839
random_forest_block_X_plus_Y,block_X_plus_block_Y,"(2.455, 5.16]",395,4.675305600800606,5.207980173686981,-0.5326745728863745,0.5791124960260579,0.4132533325228591
random_forest_block_X_plus_Y,block_X_plus_block_Y,"(5.16, 6.126]",395,5.640436975993261,6.016163663287906,-0.3757266872946451,0.4961224730121866,0.3973210883616263
random_forest_block_X_plus_Y,block_X_plus_block_Y,"(6.126, 6.963]",396,6.570006174732297,6.6264513050411775,-0.056445130308881486,0.41719433530680716,0.3391988004468862
random_forest_block_X_plus_Y,block_X_plus_block_Y,"(6.963, 7.921]",397,7.382596598052564,7.084742803770459,0.29785379428210584,0.4885089145902511,0.4264301252062994
random_forest_block_X_plus_Y,block_X_plus_block_Y,"(7.921, 10.337]",391,8.679420407908225,8.068500935823199,0.6109194720850266,0.6696185667335517,0.5254745476582494
random_forest_on_PCA_scores,PCA_scores_foldwise,"(2.455, 5.16]",395,4.675305600800606,5.367013378167144,-0.6917077773665384,0.7202327210213495,0.5486216567704671
random_forest_on_PCA_scores,PCA_scores_foldwise,"(5.16, 6.126]",395,5.640436975993261,6.117088637896605,-0.47665166190334435,0.5577756946784144,0.47863533816722814
random_forest_on_PCA_scores,PCA_scores_foldwise,"(6.126, 6.963]",396,6.570006174732297,6.593990301653132,-0.023984126920834625,0.4133200089348056,0.3396338573175459
random_forest_on_PCA_scores,PCA_scores_foldwise,"(6.963, 7.921]",397,7.382596598052564,6.9930329463057115,0.3895636517468539,0.5488170173189367,0.5061751044459015
random_forest_on_PCA_scores,PCA_scores_foldwise,"(7.921, 10.337]",391,8.679420407908225,7.900822369627801,0.7785980382804238,0.8212899053888953,0.6892616059930301
random_forest_on_PLS_scores,PLS_scores_foldwise,"(2.455, 5.16]",395,4.675305600800606,5.301512229461016,-0.6262066286604104,0.6491304100196148,0.49324064270395507
random_forest_on_PLS_scores,PLS_scores_foldwise,"(5.16, 6.126]",395,5.640436975993261,6.096940205992972,-0.4565032299997113,0.5473282659853221,0.4696279194996986
random_forest_on_PLS_scores,PLS_scores_foldwise,"(6.126, 6.963]",396,6.570006174732297,6.59883173233442,-0.028825557602124015,0.41547628456789426,0.3097224168906947
random_forest_on_PLS_scores,PLS_scores_foldwise,"(6.963, 7.921]",397,7.382596598052564,6.996606719457435,0.38598987859512934,0.5428906171411149,0.5007476413410217
