descriptor,block_label,PC1_loading,PC2_loading,PC3_loading,PC4_loading,PC5_loading,PC6_loading,PC7_loading,PC8_loading,PC9_loading,PC10_loading,PC11_loading,PC12_loading,PC13_loading,PC14_loading,PC15_loading,PC16_loading,PC17_loading,PC18_loading,PC19_loading,PC20_loading,PC21_loading,PC22_loading,PC23_loading,PC24_loading,PC25_loading,PC26_loading,PC27_loading,PC28_loading,PC29_loading,PC30_loading,PC31_loading,PC32_loading,PC33_loading,PC34_loading,PC35_loading,PC36_loading,PC37_loading,PC38_loading,PC39_loading,PC40_loading,PC41_loading,PC42_loading,PC43_loading,PC44_loading,PC45_loading,PC46_loading,PC47_loading,PC48_loading,PC49_loading,PC50_loading
nHsSH,block_X_local_electronic_atom_environment,-0.001801105814551686,0.004559739735382092,8.136265133688376e-05,0.007239222226481963,-0.013631919511292355,0.05063098566716732,-0.04800368153715926,0.04684369754672277,0.07619114607532328,0.31244071474225693,0.0023183416829613895,0.021360686216191988,0.014618205101382523,0.03186663776689633,-0.041802329450526025,-0.014127059853727537,0.01581961874138616,-0.015652295282387284,0.004729517550639457,0.022199531625770867,-0.0016792726475745488,-0.03498303738261612,0.015452360686822729,0.048593052313853316,-0.055276226662290505,0.03148410342081176,0.02457341914333076,-0.0036546089063814622,0.004845505723947324,-0.0049083974821366545,-0.008955842675395322,0.0019163932910979844,0.0019464008480507904,0.005128386554651587,-0.009584889785614715,-0.0027387467127633447,-0.012160811204172407,0.0011018661278909124,0.0023358702022527773,0.0005796631981923789,0.0025421879834106064,-0.0009417354240959467,-0.005455834889406209,0.0035222990813395315,0.0015341577169179592,0.0006083938708855485,-0.0013316678111516625,0.0011862423954012145,0.004708891294874343,0.006803816927097413
nssssNp,block_X_local_electronic_atom_environment,-0.00019049766601552526,-0.0021408664171544828,-0.0036169153036274214,0.001262750929081409,0.00700234352088612,0.004596128660268983,0.0018081731672523749,-0.007763775981589116,0.0016210139691368863,0.004192145358639099,0.0018721604421656837,0.02216279829617806,-0.023016193032972875,-0.018648704752483744,-0.0028327504408231924,0.0088506887478358,-0.07123434017298885,0.11837043497083194,0.035545125158240876,0.1331885958031375,0.017099189983302048,0.36193097275609554,0.08918250057226206,0.25383006175489614,0.02379650339470339,-0.01861000033998078,0.007181282922541041,0.034906523173582366,-0.011959478970607288,-0.010692932909554712,0.017670087421779074,0.026639805708728148,0.04187818470660468,0.009940842178636732,0.008376635619155135,0.015840192353891266,-0.0164538478051669,-0.005450224410348473,0.0004744490718417195,-0.0015751152663576848,0.0032321362040158338,0.005413249872333285,-0.004326049682771167,-0.0011712841686316096,0.009580253900417019,0.000539568175960755,0.0016000887267034422,0.0012776835935335126,-0.004447510678876612,0.00019152726460254616
nsSH,block_X_local_electronic_atom_environment,-0.001801105814551951,0.004559739735381929,8.136265133697716e-05,0.007239222226482045,-0.013631919511292029,0.05063098566716706,-0.04800368153715909,0.04684369754672239,0.07619114607532262,0.31244071474225477,0.0023183416829614524,0.021360686216191888,0.014618205101382453,0.03186663776689602,-0.041802329450525824,-0.014127059853727517,0.015819618741386016,-0.01565229528238736,0.00472951755063938,0.022199531625770652,-0.0016792726475745876,-0.034983037382615975,0.015452360686822882,0.04859305231385347,-0.05527622666229037,0.031484103420811704,0.024573419143330597,-0.0036546089063813174,0.004845505723947109,-0.00490839748213656,-0.008955842675395318,0.0019163932910980144,0.0019464008480508145,0.0051283865546516115,-0.0095848897856145,-0.002738746712763135,-0.01216081120417226,0.0011018661278908901,0.0023358702022528155,0.0005796631981923026,0.002542187983410631,-0.0009417354240960115,-0.005455834889406383,0.0035222990813396074,0.0015341577169182192,0.000608393870885515,-0.0013316678111516531,0.0011862423954012394,0.0047088912948743756,0.006803816927097335
ndssS,block_X_local_electronic_atom_environment,0.0031901470148488764,-0.002271799624743137,0.003563494678223543,-0.01517491705353241,-0.013852794487402065,-0.016417464156832318,0.013743048760153365,-0.011101069148393733,0.011351619428484078,0.008200415282722286,-0.0017996057427793902,0.03999306060119409,-0.03337671472556379,-0.015587322025823053,0.04221205624643737,0.021647635944909004,-0.011193429739441006,-0.04166177326334641,-0.009829507461648627,-0.0157936566155419,0.04261963053436074,-0.007601077488481073,-0.08210148518334419,0.0687250436895773,-0.019110966807042107,-0.10206231453061729,0.04620450872440893,-0.05855018542704346,0.4024450313886223,0.2570452290168609,-0.010289200017952346,-0.02531327654863285,0.1358492912125521,0.0033945209017407357,0.1518977658024769,-0.008730956659157362,0.059801138654286545,-0.05150282123640212,-0.04715700260732537,0.06304602601450894,-0.010953138741145108,-0.022764479769636036,-0.02561092504923167,0.040813020568887436,-0.023553946098188405,0.010711293319933405,0.03553358267070991,-0.023377739978524822,0.003857708627430125,-0.0245601618390958
SHsSH,block_X_local_electronic_atom_environment,-0.00180110581455184,0.00455973973538204,8.136265133700318e-05,0.007239222226481878,-0.013631919511292029,0.05063098566716684,-0.04800368153715907,0.04684369754672251,0.0761911460753226,0.31244071474225493,0.002318341682961459,0.021360686216191787,0.014618205101382481,0.03186663776689608,-0.041802329450525866,-0.014127059853727315,0.015819618741386314,-0.015652295282387166,0.004729517550639519,0.022199531625770874,-0.0016792726475745728,-0.03498303738261613,0.015452360686822694,0.04859305231385275,-0.05527622666229021,0.03148410342081173,0.024573419143330652,-0.00365460890638147,0.004845505723947204,-0.004908397482137072,-0.008955842675395558,0.001916393291097867,0.001946400848050674,0.005128386554651643,-0.009584889785614545,-0.0027387467127633174,-0.012160811204172298,0.0011018661278907362,0.002335870202252715,0.0005796631981919657,0.0025421879834104846,-0.0009417354240958105,-0.005455834889406371,0.0035222990813396447,0.0015341577169181685,0.0006083938708856024,-0.0013316678111516007,0.001186242395401358,0.004708891294874146,0.006803816927097101
SssssNp,block_X_local_electronic_atom_environment,-0.0001904976660152824,-0.002140866417154441,-0.003616915303627297,0.001262750929081402,0.0070023435208865226,0.004596128660268983,0.0018081731672524304,-0.007763775981589088,0.0016210139691367406,0.004192145358639432,0.0018721604421654714,0.022162798296178038,-0.023016193032972858,-0.018648704752483657,-0.002832750440823234,0.008850688747835556,-0.07123434017298885,0.1183704349708321,0.03554512515824092,0.13318859580313783,0.01709918998330215,0.36193097275609637,0.08918250057226226,0.253830061754897,0.02379650339470324,-0.01861000033998053,0.007181282922541332,0.03490652317358228,-0.011959478970607122,-0.010692932909554809,0.017670087421779147,0.026639805708728044,0.04187818470660476,0.009940842178636632,0.008376635619155123,0.015840192353891468,-0.01645384780516701,-0.00545022441034836,0.00047444907184194217,-0.001575115266357448,0.0032321362040159014,0.005413249872333304,-0.0043260496827710465,-0.0011712841686316693,0.009580253900417118,0.0005395681759607766,0.0016000887267033515,0.0012776835935335521,-0.004447510678876408,0.00019152726460278796
SsSH,block_X_local_electronic_atom_environment,-0.0018011058145516526,0.0045597397353819985,8.136265133703788e-05,0.007239222226481545,-0.013631919511292112,0.050630985667167006,-0.048003681537159004,0.04684369754672249,0.07619114607532253,0.3124407147422551,0.002318341682961259,0.02136068621619172,0.014618205101382509,0.031866637766896244,-0.04180232945052581,-0.014127059853727475,0.015819618741386012,-0.015652295282387447,0.004729517550639411,0.02219953162577072,-0.0016792726475747314,-0.03498303738261578,0.015452360686822621,0.04859305231385305,-0.05527622666229012,0.031484103420811774,0.024573419143330638,-0.0036546089063814943,0.0048455057239472354,-0.004908397482136579,-0.00895584267539544,0.001916393291097905,0.0019464008480507885,0.0051283865546516635,-0.009584889785614531,-0.00273874671276347,-0.012160811204172617,0.001101866127890986,0.0023358702022528467,0.0005796631981922051,0.00254218798341067,-0.000941735424095938,-0.005455834889406354,0.0035222990813395944,0.0015341577169180557,0.000608393870885654,-0.001331667811151828,0.0011862423954013945,0.004708891294874375,0.006803816927097299
SdssS,block_X_local_electronic_atom_environment,-0.003190147014848543,0.002271799624743215,-0.0035634946782234153,0.0151749170535323,0.013852794487401898,0.01641746415683254,-0.013743048760153115,0.011101069148393705,-0.011351619428483992,-0.008200415282722279,0.0017996057427790433,-0.03999306060119327,0.03337671472556354,0.015587322025823053,-0.04221205624643665,-0.0216476359449089,0.01119342973944061,0.04166177326334583,0.00982950746164879,0.015793656615541316,-0.04261963053435975,0.007601077488481531,0.08210148518334262,-0.06872504368957558,0.019110966807041663,0.1020623145306153,-0.04620450872440791,0.05855018542704183,-0.4024450313886146,-0.25704522901685556,0.010289200017953068,0.02531327654863232,-0.13584929121254957,-0.0033945209017409023,-0.15189776580247452,0.008730956659157137,-0.05980113865428627,0.05150282123640111,0.047157002607324104,-0.06304602601450697,0.010953138741144716,0.022764479769635696,0.02561092504923218,-0.040813020568887116,0.023553946098187298,-0.010711293319933224,-0.03553358267070882,0.02337773997852398,-0.0038577086274295402,0.024560161839096067
minHsSH,block_X_local_electronic_atom_environment,-0.0018011058145516626,0.004559739735381958,8.136265133698584e-05,0.007239222226481712,-0.013631919511292279,0.050630985667166756,-0.048003681537158865,0.04684369754672241,0.07619114607532275,0.31244071474225493,0.0023183416829613427,0.021360686216191777,0.014618205101382474,0.03186663776689607,-0.04180232945052535,-0.014127059853727489,0.015819618741386113,-0.01565229528238718,0.004729517550639436,0.02219953162577061,-0.00167927264757452,-0.03498303738261581,0.015452360686822583,0.048593052313853274,-0.05527622666229026,0.03148410342081171,0.02457341914333089,-0.0036546089063814137,0.004845505723947395,-0.00490839748213651,-0.008955842675395481,0.0019163932910980959,0.0019464008480508874,0.0051283865546517746,-0.00958488978561467,-0.0027387467127633,-0.012160811204172423,0.001101866127890986,0.0023358702022527947,0.0005796631981922814,0.002542187983410611,-0.0009417354240958027,-0.005455834889406069,0.003522299081339525,0.0015341577169179776,0.0006083938708857234,-0.0013316678111516198,0.0011862423954012123,0.0047088912948741735,0.006803816927097167
minssssNp,block_X_local_electronic_atom_environment,-0.0001904976660152534,-0.0021408664171545626,-0.003616915303627344,0.0012627509290813188,0.007002343520886245,0.004596128660268761,0.0018081731672523471,-0.007763775981589005,0.0016210139691367614,0.004192145358639526,0.0018721604421654704,0.02216279829617808,-0.023016193032972754,-0.01864870475248359,-0.0028327504408230952,0.008850688747835525,-0.07123434017298876,0.11837043497083208,0.035545125158240834,0.1331885958031378,0.017099189983302163,0.36193097275609587,0.08918250057226236,0.25383006175489686,0.023796503394703322,-0.018610000339980545,0.007181282922541429,0.03490652317358257,-0.011959478970607182,-0.010692932909554692,0.017670087421779328,0.02663980570872805,0.04187818470660478,0.009940842178636722,0.008376635619155248,0.0158401923538915,-0.016453847805166927,-0.00545022441034829,0.0004744490718417149,-0.0015751152663575976,0.0032321362040157384,0.005413249872333412,-0.004326049682771116,-0.0011712841686317005,0.009580253900417078,0.000539568175960856,0.0016000887267033845,0.0012776835935334463,-0.004447510678876526,0.00019152726460264224
