dataset_name,n_components,fold,rmse,mae,r2
block_X_only,1,1,1.0676681315931542,0.8305140626492382,0.4373663665196157
block_X_only,1,2,1.0709911286999918,0.8668269606914463,0.44457523748624883
block_X_only,1,3,0.9919737015735715,0.8023973096860025,0.524292227618862
block_X_only,1,4,0.992840428454917,0.7934482249998399,0.48941926750047093
block_X_only,1,5,1.0658717039816468,0.851409485185694,0.435584871262071
block_X_only,2,1,1.0211650663277054,0.7923183708729985,0.48531083100135863
block_X_only,2,2,0.9923036184403413,0.7720795170924244,0.5231929797548731
block_X_only,2,3,0.9301157490800978,0.7446725870690004,0.5817712093465619
block_X_only,2,4,0.9282193653144131,0.7218343936144653,0.5537206775841045
block_X_only,2,5,0.9957534407515023,0.7902854110134193,0.5074022637768922
block_X_only,3,1,0.9929298170746994,0.785669978368353,0.5133796850684429
block_X_only,3,2,1.0220048776527186,0.7416374123854445,0.49422259002860613
block_X_only,3,3,0.9015932966804385,0.7216315730880614,0.6070282977383017
block_X_only,3,4,0.903223775056775,0.6942163076257113,0.5774323590511581
block_X_only,3,5,0.9687547679964642,0.7672127974525597,0.533752532159404
block_X_only,4,1,0.9695600165493897,0.7648575909147473,0.5360165120559937
block_X_only,4,2,0.9164793929637902,0.7033107618670336,0.5932768432233633
block_X_only,4,3,0.8714657621167661,0.688020893203712,0.6328524887327909
block_X_only,4,4,0.9026496284284458,0.691171755086604,0.5779694101827986
block_X_only,4,5,0.9554667161012131,0.747674340947204,0.5464554987236447
block_X_only,5,1,0.9284933133447347,0.7307773983711856,0.5744890981947188
block_X_only,5,2,0.9410414161835213,0.71666879168316,0.5711840149732805
block_X_only,5,3,0.8686282029315235,0.6735152117416864,0.6352395169864653
block_X_only,5,4,0.9057373796150908,0.7002731733585077,0.5750771377980373
block_X_only,5,5,0.9229011711714248,0.7210523768399592,0.576845294727043
block_X_only,6,1,0.9339303181094398,0.7242791724089844,0.5694911549780934
block_X_only,6,2,0.9338929599001335,0.7079892822150591,0.5776741215469318
block_X_only,6,3,0.8510406347867556,0.653270809725569,0.6498609703901106
block_X_only,6,4,0.8777502898337103,0.6809145709201341,0.6009314725446986
