dataset_name,n_components,n_descriptors,rmse_cv_global,mae_cv_global,q2_cv_global,r2_cv_global,fold_rmse_mean,fold_rmse_sd,fold_rmse_se,fold_mae_mean,fold_r2_mean,is_best_rmse,is_one_se_choice
block_X_only,1,335,1.038519903379546,0.8289078153919157,0.46712455463981906,0.46712455463981906,1.0378690188606563,0.04154264602985855,0.018578436097595092,0.8289192086424441,0.4662475940774537,False,False
block_X_only,2,335,0.9742246768941146,0.7642248607171217,0.5310632037767777,0.5310632037767777,0.973511447982812,0.04199190008169489,0.01877934861740975,0.7642380559324616,0.530279592292758,False,False
block_X_only,3,335,0.9589082333451048,0.7420608786352577,0.5456922397933447,0.5456922397933447,0.9577013068922191,0.053884335454327185,0.02409780739965552,0.742073613784026,0.5451630928091825,False,False
block_X_only,4,335,0.9237939151162968,0.7189925459760266,0.5783556796263905,0.5783556796263905,0.923124303231921,0.03979409237699618,0.01779645913157393,0.7190070684038602,0.5773141505837183,False,False
block_X_only,5,335,0.9136999206590802,0.7084510099599732,0.587519678198501,0.587519678198501,0.9133602966492591,0.028041709702269664,0.012540633819918072,0.7084573903988998,0.586567012535909,False,False
block_X_only,6,335,0.9022956323486285,0.6959886677075456,0.5977521140083238,0.5977521140083238,0.9017107460675662,0.03646912160895242,0.016309486999464825,0.6959975513804189,0.5969590506551807,False,False
block_X_only,7,335,0.9140701798229878,0.6881891876747129,0.5871853111706203,0.5871853111706203,0.9118917686512908,0.0703948935862345,0.03148155346553686,0.6881952456943248,0.5869457221104745,False,False
block_X_only,8,335,0.9077073077122219,0.6852840098227473,0.5929125406577727,0.5929125406577727,0.9049957109010155,0.07816277035201279,0.03495545356336115,0.685283106848834,0.5927867568690356,False,False
block_X_only,9,335,0.9131065579810052,0.6827628055917226,0.5880552390573877,0.5880552390573877,0.9088301870051815,0.09844924487397617,0.04402784077434669,0.6827629267586172,0.5880486527993231,False,False
block_X_only,10,335,0.9091610105932866,0.6797548404625648,0.5916075867771425,0.5916075867771425,0.9050474368800587,0.09638297709324828,0.043103777730861645,0.6797574980406695,0.5915178013479784,False,False
block_X_only,11,335,0.9119364294296609,0.6797780854940746,0.5891103611942619,0.5891103611942619,0.9074004807759313,0.1013782614550322,0.045337736810839746,0.6797838053122122,0.5890077082231906,False,False
block_X_only,12,335,0.9072069586192911,0.6789852562051327,0.5933612088598262,0.5933612088598262,0.9038476466953558,0.08701398545008597,0.03891383729191397,0.6789886146673102,0.5931326891377801,False,False
block_X_only,13,335,0.9027256276548191,0.6768103881200485,0.5973686345577545,0.5973686345577545,0.8998658016065475,0.08011664061382094,0.035829250908284815,0.6768159635948261,0.5971106947054248,False,False
block_X_only,14,335,0.8987042431902266,0.673954911040729,0.6009478596858557,0.6009478596858557,0.8962998129512425,0.0733035259546797,0.032782333405016795,0.6739611898363314,0.6006621503109233,False,False
block_X_only,15,335,0.8921422627081543,0.6704941167833951,0.606754024482741,0.606754024482741,0.8902648810115409,0.06452008623310232,0.028854259746273023,0.6704988548280336,0.6064412636422988,False,True
block_X_only,16,335,0.8873005975259691,0.6688328608536248,0.611010742289668,0.611010742289668,0.8855974302584618,0.06134497818425722,0.02743430825964815,0.6688392090457699,0.6106792764118157,False,False
block_X_only,17,335,0.8809663914581558,0.6653694366091468,0.6165447032034956,0.6165447032034956,0.8796066251149106,0.05456483408572721,0.024402135639336724,0.6653740119055362,0.6161482709119966,False,False
block_X_only,18,335,0.877573154592525,0.6655500591388315,0.6194929400932887,0.6194929400932887,0.8763876662190414,0.05090051786692902,0.022763403608079175,0.6655563771073385,0.6190885996253341,False,False
block_X_only,19,335,0.8749027072370711,0.6654175553020196,0.6218051759183336,0.6218051759183336,0.8737534024487278,0.050044676620972756,0.02238065976729791,0.665423873389299,0.6214445862965281,False,False
block_X_only,20,335,0.87326517190728,0.6656362114468907,0.6232195681910858,0.6232195681910858,0.8721321384722748,0.0497035044516774,0.022228082934782813,0.6656429107683832,0.6228927306729798,False,False
block_X_only,21,335,0.873852947990008,0.667272429779979,0.6227121918196801,0.6227121918196801,0.8726062061943409,0.05213471489623006,0.02331535329910826,0.6672772290583231,0.6224149841584994,False,False
block_X_only,22,335,0.8712378805654198,0.6660111703010707,0.6249669345064233,0.6249669345064233,0.8698736917893675,0.05444856010387239,0.024350136333848332,0.6660142297136018,0.6247018890503904,False,False
block_X_only,23,335,0.8682168694742993,0.6643546364569249,0.627563274214014,0.627563274214014,0.8667891389345737,0.055596531220493586,0.0248635246244426,0.6643553268735707,0.6272718559257106,False,False
block_X_only,24,335,0.8667096125576356,0.6653634386698505,0.6288552798904722,0.6288552798904722,0.8650753331819111,0.05936363118308868,0.02654822294332251,0.6653623775620001,0.6286221886312631,False,False
block_X_only,25,335,0.8677694793544725,0.6666314809888525,0.6279470068656678,0.6279470068656678,0.8659247183774574,0.06309514177106502,0.028217005210017573,0.6666291475062798,0.6277593866425522,False,False
block_X_only,26,335,0.8666873143129509,0.6674109179075587,0.6288743768733691,0.6288743768733691,0.8649356300940532,0.06144232630931511,0.02747784366467047,0.6674097276369049,0.6286531036821419,False,False
block_X_only,27,335,0.8653841527174022,0.6670199579540244,0.6299895958230819,0.6299895958230819,0.8636776449580681,0.06062779995922982,0.02711357640701937,0.667021178882926,0.6297358324614126,False,False
block_X_only,28,335,0.8655061897843895,0.6659594738717874,0.6298852302225977,0.6298852302225977,0.8637860428891779,0.06082678196491994,0.02720256386522384,0.6659587945145122,0.6296344596428378,False,False
block_X_only,29,335,0.8652754082008579,0.6657680948951528,0.6300825812892903,0.6300825812892903,0.8633979017514145,0.06354496898989619,0.028418174057904803,0.6657667636329486,0.6298628957161776,True,False
block_X_only,30,335,0.8673301461654774,0.6668267257064733,0.628323636500353,0.628323636500353,0.8653414876119345,0.06549935932562595,0.02929220398695688,0.6668268141122888,0.6281324072930952,False,False
block_Y_only,1,129,1.2488489735466917,1.0138808430940067,0.22942324771394718,0.22942324771394718,1.2478369970220629,0.05590002515115728,0.024999251236387125,1.0138728214348456,0.22865627221471466,False,False
block_Y_only,2,129,1.1074950278326408,0.8817757455845344,0.393990223784061,0.393990223784061,1.1069569280902736,0.038830376109731994,0.017365472114648915,0.8817834748111887,0.3930500906312573,False,False
block_Y_only,3,129,1.0655488337036154,0.8302036519750294,0.4390259442593979,0.4390259442593979,1.0628572671108159,0.08453290160640199,0.0378042628654432,0.8302073805387378,0.43884013773662256,False,False
block_Y_only,4,129,1.0281333002682382,0.8093617001904388,0.47773020248634546,0.47773020248634546,1.026669227653016,0.06110499813803497,0.027326985920328853,0.8093585351989654,0.4773416476295518,False,False
block_Y_only,5,129,1.0069316847081897,0.7843074761860908,0.49904804735070596,0.49904804735070596,1.0053590675200001,0.06250625233245038,0.027953645846822767,0.7842977148188315,0.49867666732141674,False,False
block_Y_only,6,129,0.995823144524854,0.7681207203405902,0.5100401515868598,0.5100401515868598,0.9941268031494553,0.06463226190234705,0.028904426230643578,0.7681144504769672,0.5094574264026135,False,False
block_Y_only,7,129,0.9900745764599616,0.760869107654469,0.5156805868026204,0.5156805868026204,0.988179125238813,0.06819710603937487,0.03049867299456073,0.7608667464050372,0.5150537283433224,False,False
block_Y_only,8,129,0.9858797680210316,0.7551575409716083,0.5197758809325677,0.5197758809325677,0.9832051875586088,0.08073777525901053,0.036107030766249645,0.7551477055368399,0.5194503255722309,False,False
block_Y_only,9,129,0.9687609034895291,0.7449883623291936,0.5363083586668405,0.5363083586668405,0.9669627912482411,0.06554331639346378,0.02931186218531227,0.7449742558433138,0.5358663126967345,False,False
block_Y_only,10,129,0.9588549866655361,0.7384424602977556,0.5457426923961382,0.5457426923961382,0.957079913499502,0.06479485439406253,0.028977139803464953,0.7384293897487193,0.5453087156039469,False,False
block_Y_only,11,129,0.948636333480654,0.7351894379590949,0.5553732690031021,0.5553732690031021,0.94759023532012,0.04938422705948145,0.022085297744257014,0.7351802690126776,0.5547713584238514,False,False
block_Y_only,12,129,0.9361499589653706,0.7254654056925769,0.5670009881046059,0.5670009881046059,0.9350954626597746,0.04932988028143887,0.022060993126244755,0.7254579584639942,0.5665590022972475,False,False
block_Y_only,13,129,0.9313926081088605,0.7228560226272956,0.571390656880248,0.571390656880248,0.9302458329281906,0.05132245020600209,0.02295209748649375,0.7228476118140278,0.5708190273296558,False,False
block_Y_only,14,129,0.9238870661017652,0.7191526308580959,0.578270642122789,0.578270642122789,0.9229821779141727,0.045329143238862134,0.02027180912878414,0.7191441207003278,0.57763967911625,False,False
block_Y_only,15,129,0.9213556137425238,0.7153212053368739,0.5805785544657192,0.5805785544657192,0.9203320756580124,0.048235533943972356,0.021571586565944142,0.7153161713989326,0.5800637052564461,False,False
block_Y_only,16,129,0.9196277497536193,0.7115170831068698,0.5821502031649451,0.5821502031649451,0.9183838664143609,0.053096400308974306,0.023745432090281477,0.7115095491678242,0.5816703664325538,False,False
block_Y_only,17,129,0.917844596528048,0.7074367817683632,0.5837690491605918,0.5837690491605918,0.916675056466232,0.05150434845225582,0.02303344485521602,0.7074316442091959,0.5834178466878589,False,False
block_Y_only,18,129,0.9143858819883266,0.7064949687465238,0.5869001055044702,0.5869001055044702,0.9134329314823286,0.04632568661936683,0.020717476877051333,0.7064864620345241,0.5865271357385533,False,False
block_Y_only,19,129,0.9101572466333763,0.7026825115577937,0.5907120838975883,0.5907120838975883,0.9092899915475398,0.04409484859502264,0.01971981578320634,0.7026756946925388,0.5902968714931476,False,True
block_Y_only,20,129,0.9062789751561651,0.6999422498799948,0.594192686334761,0.594192686334761,0.905642864729371,0.037563960245405315,0.016799113722565193,0.699933935033064,0.5936782110669713,False,False
block_Y_only,21,129,0.8997473742194442,0.6948065518454657,0.6000209579764773,0.6000209579764773,0.8992042681789046,0.03466286042772408,0.015501702442195696,0.6947997813668014,0.5993728304524153,False,False
