dataset_name,n_components,n_descriptors,rmse_cv_global,mae_cv_global,q2_cv_global,r2_cv_global,fold_rmse_mean,fold_rmse_sd,fold_rmse_se,fold_mae_mean,fold_r2_mean,is_best_rmse,is_one_se_choice,selection_rule,selected_n_components
block_X_only,15,335,0.8921422627081543,0.6704941167833951,0.606754024482741,0.606754024482741,0.8902648810115409,0.06452008623310232,0.028854259746273023,0.6704988548280336,0.6064412636422988,False,True,one_standard_error,15
block_X_only,29,335,0.8652754082008579,0.6657680948951528,0.6300825812892903,0.6300825812892903,0.8633979017514145,0.06354496898989619,0.028418174057904803,0.6657667636329486,0.6298628957161776,True,False,minimum_mean_fold_RMSE,29
block_Y_only,19,129,0.9101572466333763,0.7026825115577937,0.5907120838975883,0.5907120838975883,0.9092899915475398,0.04409484859502264,0.01971981578320634,0.7026756946925388,0.5902968714931476,False,True,one_standard_error,19
block_Y_only,23,129,0.8977636113433883,0.6931280293777708,0.6017827610854193,0.6017827610854193,0.8973159364632913,0.031408939855989595,0.014046504923839038,0.6931218676724981,0.6011138808844269,True,False,minimum_mean_fold_RMSE,23
block_X_plus_block_Y,15,464,0.8510018707738218,0.6440756410205447,0.6421861971375322,0.6421861971375322,0.8503872488942251,0.035893183348788674,0.016051919579351002,0.6440773666906586,0.6415389277021205,False,True,one_standard_error,15
block_X_plus_block_Y,26,464,0.8342708834969973,0.6354534199647888,0.6561173747328211,0.6561173747328211,0.8335220955355183,0.03930204134024172,0.017576407218257484,0.6354492872951095,0.6555893437090365,True,False,minimum_mean_fold_RMSE,26
primary_full_constant_removed,23,504,0.8482542477835926,0.6388531752992048,0.6444930082989722,0.6444930082989722,0.847432698588473,0.04131194859221198,0.018475265067032544,0.6388452647825583,0.6438539580399272,False,True,one_standard_error,23
primary_full_constant_removed,27,504,0.8375747957835427,0.6358641544614293,0.6533882665209081,0.6533882665209081,0.8369474384064608,0.0360722907190993,0.01613201883040816,0.6358625737209369,0.6527485635583273,True,False,minimum_mean_fold_RMSE,27
not_assigned_reference_only,5,40,1.0253160398117942,0.8102480004256775,0.4805884975058845,0.4805884975058845,1.0247696052366069,0.038332221085359976,0.017142690415083133,0.8102701991890106,0.47955991890231975,True,True,one_standard_error,5
not_assigned_reference_only,5,40,1.0253160398117942,0.8102480004256775,0.4805884975058845,0.4805884975058845,1.0247696052366069,0.038332221085359976,0.017142690415083133,0.8102701991890106,0.47955991890231975,True,True,minimum_mean_fold_RMSE,5
