descriptor,descriptor_category,descriptor_numeric_type,candidate_super_block,is_constant,is_near_constant,is_rare_binary_like,dominant_value_ratio
nHsSH,Atom type electrotopological state,binary_like,block_X_local_electronic_atom_environment,False,True,True,0.9994934143870314
nssssNp,Atom type electrotopological state,binary_like,block_X_local_electronic_atom_environment,False,True,True,0.9994934143870314
nsSH,Atom type electrotopological state,binary_like,block_X_local_electronic_atom_environment,False,True,True,0.9994934143870314
ndssS,Atom type electrotopological state,binary_like,block_X_local_electronic_atom_environment,False,True,True,0.9994934143870314
SHsSH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9994934143870314
SssssNp,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9994934143870314
SsSH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9994934143870314
SdssS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9994934143870314
minHsSH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9994934143870314
minssssNp,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9994934143870314
minsSH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9994934143870314
mindssS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9994934143870314
maxHsSH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9994934143870314
maxssssNp,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9994934143870314
maxsSH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9994934143870314
n12Ring,Ring count,binary_like,block_Y_topological_connectivity_structure,False,True,True,0.9994934143870314
nP,Atom count,binary_like,block_Y_topological_connectivity_structure,False,True,True,0.9989868287740628
ndsssP,Atom type electrotopological state,binary_like,block_X_local_electronic_atom_environment,False,True,True,0.9989868287740628
SdsssP,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9989868287740628
mindsssP,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9989868287740628
nI,Atom count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9979736575481256
nsI,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9979736575481256
SsI,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9979736575481256
minsI,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9979736575481256
ETA_dPsi_B,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9979736575481256
n8Ring,Ring count,binary_like,block_Y_topological_connectivity_structure,False,True,True,0.9979736575481256
nG12Ring,Ring count,binary_like,block_Y_topological_connectivity_structure,False,True,True,0.997467071935157
nF7Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.99645390070922
SCH-3,Chi chain,continuous_float_like,block_Y_topological_connectivity_structure,False,True,False,0.9934143870314084
VCH-3,Chi chain,continuous_float_like,block_Y_topological_connectivity_structure,False,True,False,0.9934143870314084
n3Ring,Ring count,binary_like,block_Y_topological_connectivity_structure,False,True,True,0.9934143870314084
nHdNH,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9924012158054712
ndNH,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9924012158054712
SHdNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9924012158054712
SdNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9924012158054712
minHdNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9924012158054712
mindNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9924012158054712
maxHdNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9924012158054712
maxdNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9924012158054712
nHtCH,Atom type electrotopological state,binary_like,block_X_local_electronic_atom_environment,False,True,True,0.991388044579534
ntCH,Atom type electrotopological state,binary_like,block_X_local_electronic_atom_environment,False,True,True,0.991388044579534
SHtCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.991388044579534
StCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.991388044579534
minHtCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.991388044579534
mintCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.991388044579534
maxHtCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.991388044579534
maxtCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.991388044579534
nsOm,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9908814589665652
SsOm,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9908814589665652
minsOm,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9908814589665652
maxsOm,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9908814589665652
n4Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9908814589665652
nT4Ring,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9908814589665652
C2SP1,Carbon types,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9883485309017224
MDEN-11,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,True,False,0.9883485309017224
SCH-4,Chi chain,continuous_float_like,block_Y_topological_connectivity_structure,False,True,False,0.9842958459979736
VCH-4,Chi chain,continuous_float_like,block_Y_topological_connectivity_structure,False,True,False,0.9842958459979736
ndS,Atom type electrotopological state,binary_like,block_X_local_electronic_atom_environment,False,True,True,0.9832826747720363
SdS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9832826747720363
mindS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9832826747720363
maxdS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9832826747720363
nwHBd,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9822695035460992
SwHBd,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9822695035460992
minwHBd,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9822695035460992
maxwHBd,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9822695035460992
nHCHnX,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9802431610942248
SHCHnX,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9802431610942248
minHCHnX,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9802431610942248
maxHCHnX,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9802431610942248
MDEN-13,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,True,False,0.9772036474164134
nHdCH2,Atom type electrotopological state,binary_like,block_X_local_electronic_atom_environment,False,True,True,0.9766970618034448
ndCH2,Atom type electrotopological state,binary_like,block_X_local_electronic_atom_environment,False,True,True,0.9766970618034448
SHdCH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9766970618034448
SdCH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9766970618034448
minHdCH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9766970618034448
mindCH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9766970618034448
maxHdCH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9766970618034448
maxdCH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9766970618034448
nHsNH2,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9746707193515703
nsNH2,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9746707193515703
SHsNH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9746707193515703
SsNH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9746707193515703
minHsNH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9746707193515703
