target_block,target_pc,cross_block_R2,specific_residual_fraction
Block_X_predicted_from_Block_Y,1,0.8918648336435109,0.1081351663564891
Block_X_predicted_from_Block_Y,2,0.8463831252222462,0.15361687477775374
Block_X_predicted_from_Block_Y,3,0.8894072221180348,0.1105927778819652
Block_X_predicted_from_Block_Y,4,0.6454698635921426,0.35453013640785735
Block_X_predicted_from_Block_Y,5,0.23261162415489378,0.7673883758451062
Block_X_predicted_from_Block_Y,6,0.1377262312910965,0.8622737687089035
Block_X_predicted_from_Block_Y,7,0.21918836035200429,0.7808116396479957
Block_X_predicted_from_Block_Y,8,0.4085064823969695,0.5914935176030305
Block_X_predicted_from_Block_Y,9,0.090653791671223,0.909346208328777
Block_X_predicted_from_Block_Y,10,0.013704688584353697,0.9862953114156463
Block_Y_predicted_from_Block_X,1,0.8921284027228676,0.10787159727713233
Block_Y_predicted_from_Block_X,2,0.7566769914616135,0.2433230085383865
Block_Y_predicted_from_Block_X,3,0.6404389792029834,0.35956102079701663
Block_Y_predicted_from_Block_X,4,0.4781429999668816,0.5218570000331184
Block_Y_predicted_from_Block_X,5,0.5699985222171464,0.4300014777828536
Block_Y_predicted_from_Block_X,6,0.21173822385880026,0.7882617761411997
Block_Y_predicted_from_Block_X,7,0.1434256232644977,0.8565743767355023
Block_Y_predicted_from_Block_X,8,0.33882705986359896,0.661172940136401
Block_Y_predicted_from_Block_X,9,0.24655145985994187,0.7534485401400581
Block_Y_predicted_from_Block_X,10,0.09758796060814146,0.9024120393918585
