score,pearson_corr_with_pIC50,abs_pearson_corr_with_pIC50,spearman_corr_with_pIC50,abs_spearman_corr_with_pIC50
Block_X_PC3,-0.45417406677535815,0.45417406677535815,-0.5103339407101956,0.5103339407101956
joint_avg1,0.4456336478061664,0.4456336478061664,0.47027693870226517,0.47027693870226517
joint_avg3,-0.3976107297046064,0.3976107297046064,-0.5369195117607664,0.5369195117607664
Block_Y_PC1,0.347024636690771,0.347024636690771,0.3940879802042294,0.3940879802042294
Block_X_PC2,-0.2786803029053271,0.2786803029053271,-0.29944688780239,0.29944688780239
Block_X_PC5,0.27765524087632953,0.27765524087632953,0.2955841761901929,0.2955841761901929
Block_Y_PC3,-0.2675808437748385,0.2675808437748385,-0.3927694219366187,0.3927694219366187
Block_X_PC4,-0.2466757222503314,0.2466757222503314,-0.28490246857471435,0.28490246857471435
Block_Y_PC4,-0.24285519192885568,0.24285519192885568,-0.22919274140517396,0.22919274140517396
Block_X_specific1,0.22353276323135893,0.22353276323135893,0.26722492112060287,0.26722492112060287
Block_Y_PC5,0.17880807708349708,0.17880807708349708,0.21943042188156742,0.21943042188156742
Block_Y_PC2,0.1514410650638809,0.1514410650638809,0.19398944684072725,0.19398944684072725
joint_avg4,-0.13531311243836644,0.13531311243836644,-0.10766315107440014,0.10766315107440014
Block_X_specific3,0.12246480537886759,0.12246480537886759,0.11393207421198422,0.11393207421198422
Block_X_PC1,0.1038267828944317,0.1038267828944317,0.21162616546772028,0.21162616546772028
joint_avg2,-0.07595114738047967,0.07595114738047967,-0.015071746678905746,0.015071746678905746
Block_X_specific2,-0.055928199346051345,0.055928199346051345,-0.03981262337300293,0.03981262337300293
Block_Y_specific1,-0.04985778148322765,0.04985778148322765,-0.06759566271125901,0.06759566271125901
Block_Y_specific3,0.04763422549249618,0.04763422549249618,-0.141614473770992,0.141614473770992
joint_avg5,0.025071110510770184,0.025071110510770184,0.005814608212269709,0.005814608212269709
Block_Y_specific2,0.021624814549910325,0.021624814549910325,0.12478237930295688,0.12478237930295688
