ADMET_endpoint,score,point_biserial_corr,abs_point_biserial_corr
CYP3A4,Block_Y_PC1,0.6136862437762101,0.6136862437762101
Caco-2,joint_avg1,-0.5659018673922948,0.5659018673922948
hERG,joint_avg1,0.5580780751458466,0.5580780751458466
CYP3A4,joint_avg1,0.5577482592131189,0.5577482592131189
Caco-2,Block_X_PC3,0.5027887674702427,0.5027887674702427
hERG,Block_Y_PC1,0.4673276595498744,0.4673276595498744
Caco-2,Block_Y_PC1,-0.4542657040817968,0.4542657040817968
hERG,Block_X_PC2,-0.451394610640962,0.451394610640962
MN,joint_avg2,-0.4355910652057822,0.4355910652057822
CYP3A4,Block_X_PC2,-0.41496113612858604,0.41496113612858604
Caco-2,Block_Y_PC2,-0.3853599776565257,0.3853599776565257
MN,Block_X_PC2,0.3781075375262722,0.3781075375262722
hERG,Block_X_PC3,-0.3627069650271126,0.3627069650271126
CYP3A4,Block_X_PC5,-0.3522253126772525,0.3522253126772525
MN,Block_Y_PC4,0.337052615666045,0.337052615666045
Caco-2,Block_X_PC1,-0.3249129768606355,0.3249129768606355
HOB,Block_X_PC5,-0.31486995742673807,0.31486995742673807
CYP3A4,Block_X_PC1,0.30624824758939845,0.30624824758939845
hERG,Block_X_specific1,-0.3001389939500472,0.3001389939500472
MN,Block_Y_PC2,0.2965486029908333,0.2965486029908333
MN,Block_X_PC4,0.28633889509979565,0.28633889509979565
hERG,Block_Y_PC5,0.28198633535656004,0.28198633535656004
HOB,Block_X_specific1,-0.28009015153272643,0.28009015153272643
MN,joint_avg3,0.2800754982766371,0.2800754982766371
CYP3A4,Block_X_specific1,-0.2772196771943978,0.2772196771943978
HOB,Block_X_PC4,0.2701499173963946,0.2701499173963946
CYP3A4,Block_X_PC3,-0.2683579273627067,0.2683579273627067
Caco-2,joint_avg2,0.2527042809989712,0.2527042809989712
HOB,joint_avg1,-0.23471216747737902,0.23471216747737902
HOB,joint_avg3,0.22506837615536962,0.22506837615536962
hERG,Block_X_PC1,0.22468556845201854,0.22468556845201854
HOB,Block_X_PC3,0.22126478359323393,0.22126478359323393
hERG,Block_Y_PC2,0.21003171436083912,0.21003171436083912
MN,Block_Y_PC5,-0.2072125914004937,0.2072125914004937
MN,Block_X_PC3,-0.20555302801701786,0.20555302801701786
CYP3A4,joint_avg5,-0.205118207106233,0.205118207106233
hERG,Block_X_PC5,-0.19679387423836703,0.19679387423836703
hERG,joint_avg3,-0.19665359961120868,0.19665359961120868
HOB,Block_Y_PC4,0.188449249419398,0.188449249419398
HOB,Block_Y_PC1,-0.18184943674491766,0.18184943674491766
hERG,joint_avg4,0.17560735807106317,0.17560735807106317
MN,Block_X_PC5,-0.1672701070369201,0.1672701070369201
Caco-2,Block_Y_PC3,0.16602520560973902,0.16602520560973902
HOB,joint_avg5,-0.16201587243136215,0.16201587243136215
CYP3A4,Block_Y_specific1,0.15370684217904432,0.15370684217904432
MN,joint_avg5,-0.1468833151779293,0.1468833151779293
HOB,joint_avg4,0.13656082727547922,0.13656082727547922
HOB,Block_Y_PC3,0.13360773301226905,0.13360773301226905
HOB,Block_X_specific3,-0.13128865091302422,0.13128865091302422
CYP3A4,Block_Y_PC3,-0.1258238336597168,0.1258238336597168
HOB,Block_Y_PC5,-0.12178055942229665,0.12178055942229665
HOB,Block_X_PC2,0.12169078014659263,0.12169078014659263
MN,Block_X_PC1,0.11796906616100948,0.11796906616100948
MN,joint_avg4,0.11640289569788267,0.11640289569788267
Caco-2,Block_Y_specific1,-0.1128068559312208,0.1128068559312208
MN,Block_Y_specific1,0.1098047084852946,0.1098047084852946
CYP3A4,joint_avg2,0.10953535031889308,0.10953535031889308
Caco-2,Block_X_specific3,-0.1041448152542359,0.1041448152542359
Caco-2,joint_avg4,-0.09692554648624573,0.09692554648624573
CYP3A4,Block_Y_PC4,0.09247856170834556,0.09247856170834556
Caco-2,Block_X_PC2,0.091584043855659,0.091584043855659
MN,Block_Y_PC3,-0.0888527367597503,0.0888527367597503
Caco-2,Block_Y_PC4,-0.08787051454270378,0.08787051454270378
CYP3A4,joint_avg3,-0.08583744644264968,0.08583744644264968
hERG,Block_Y_PC3,-0.08287574495387541,0.08287574495387541
hERG,Block_Y_PC4,-0.08213743815790299,0.08213743815790299
HOB,Block_X_PC1,-0.08100837776535783,0.08100837776535783
hERG,Block_X_specific3,0.07711600739117982,0.07711600739117982
hERG,Block_Y_specific1,-0.0703565288253242,0.0703565288253242
CYP3A4,Block_X_specific3,0.0702201898379945,0.0702201898379945
Caco-2,Block_Y_specific2,-0.07020154991865767,0.07020154991865767
Caco-2,Block_X_PC4,-0.06958226683082708,0.06958226683082708
hERG,Block_X_PC4,0.06623574497083722,0.06623574497083722
HOB,Block_Y_PC2,-0.0648084468569647,0.0648084468569647
HOB,Block_Y_specific2,-0.0633992436263746,0.0633992436263746
Caco-2,Block_X_specific2,-0.06186229795593871,0.06186229795593871
hERG,joint_avg2,0.06182124833056377,0.06182124833056377
CYP3A4,Block_X_specific2,0.0616882998752597,0.0616882998752597
hERG,Block_X_specific2,0.0582054188049887,0.0582054188049887
CYP3A4,Block_X_PC4,-0.052442182168451694,0.052442182168451694
CYP3A4,Block_Y_PC5,0.05097015290717862,0.05097015290717862
MN,Block_Y_specific2,0.04979028505326352,0.04979028505326352
HOB,Block_Y_specific3,-0.04921135936134356,0.04921135936134356
Caco-2,Block_Y_specific3,0.04716207589940319,0.04716207589940319
MN,Block_Y_specific3,0.04122568831471979,0.04122568831471979
Caco-2,Block_X_PC5,0.04022966229156865,0.04022966229156865
MN,Block_X_specific1,-0.03627363522251904,0.03627363522251904
HOB,Block_Y_specific1,-0.03588398039878793,0.03588398039878793
CYP3A4,joint_avg4,-0.03560267422174042,0.03560267422174042
MN,joint_avg1,0.03106683628522145,0.03106683628522145
MN,Block_Y_PC1,-0.03086033981050216,0.03086033981050216
Caco-2,Block_X_specific1,0.025782415350004428,0.025782415350004428
Caco-2,joint_avg5,-0.0251838139254149,0.0251838139254149
MN,Block_X_specific3,0.019883153507745863,0.019883153507745863
hERG,joint_avg5,0.018992027904581148,0.018992027904581148
hERG,Block_Y_specific2,0.017445973328274883,0.017445973328274883
Caco-2,joint_avg3,0.015293739929678892,0.015293739929678892
HOB,joint_avg2,-0.013107733418890466,0.013107733418890466
CYP3A4,Block_Y_specific2,-0.009597454476380544,0.009597454476380544
Caco-2,Block_Y_PC5,-0.009580741314287659,0.009580741314287659
HOB,Block_X_specific2,0.007400996445780712,0.007400996445780712
hERG,Block_Y_specific3,0.004103107497706854,0.004103107497706854
CYP3A4,Block_Y_specific3,-0.0037982190718282923,0.0037982190718282923
CYP3A4,Block_Y_PC2,-0.0023904380442416034,0.0023904380442416034
MN,Block_X_specific2,-0.000826042971410986,0.000826042971410986
