component,candidate_super_block,sum_squared_weight,mean_squared_weight,n_descriptors,component_total_squared_weight,prop_component_squared_weight
PC1,block_X_local_electronic_atom_environment,0.4513624812052067,0.0013473506901647962,335,0.9999999999999998,0.45136248120520683
PC1,block_Y_topological_connectivity_structure,0.3417219650372629,0.0026490074809090145,129,0.9999999999999998,0.34172196503726293
PC1,not_assigned,0.20691555375753012,0.005172888843938253,40,0.9999999999999998,0.20691555375753018
PC10,block_X_local_electronic_atom_environment,0.67945838622757,0.002028233988739015,335,1.0000000000000002,0.6794583862275699
PC10,block_Y_topological_connectivity_structure,0.3037630296337873,0.002354752167703778,129,1.0000000000000002,0.30376302963378726
PC10,not_assigned,0.01677858413864284,0.000419464603466071,40,1.0000000000000002,0.016778584138642836
PC2,block_X_local_electronic_atom_environment,0.677236590821718,0.0020216017636469196,335,0.9999999999999987,0.6772365908217189
PC2,block_Y_topological_connectivity_structure,0.2345533720858845,0.001818243194464221,129,0.9999999999999987,0.2345533720858848
PC2,not_assigned,0.08821003709239612,0.002205250927309903,40,0.9999999999999987,0.08821003709239623
PC3,block_X_local_electronic_atom_environment,0.6214031727380057,0.0018549348439940469,335,0.9999999999999988,0.6214031727380065
PC3,block_Y_topological_connectivity_structure,0.2730506409879521,0.0021166716355655204,129,0.9999999999999988,0.27305064098795245
PC3,not_assigned,0.10554618627404096,0.002638654656851024,40,0.9999999999999988,0.10554618627404108
PC4,block_X_local_electronic_atom_environment,0.7223392495797255,0.0021562365659096284,335,1.0000000000000002,0.7223392495797254
PC4,block_Y_topological_connectivity_structure,0.24602680701973806,0.0019071845505406052,129,1.0000000000000002,0.246026807019738
PC4,not_assigned,0.031633943400536595,0.0007908485850134149,40,1.0000000000000002,0.03163394340053659
PC5,block_X_local_electronic_atom_environment,0.6486403775812553,0.0019362399330783739,335,1.0000000000000018,0.6486403775812541
PC5,block_Y_topological_connectivity_structure,0.3113937029130445,0.0024139046737445312,129,1.0000000000000018,0.31139370291304397
PC5,not_assigned,0.03996591950570193,0.0009991479876425482,40,1.0000000000000018,0.03996591950570186
PC6,block_X_local_electronic_atom_environment,0.7420337870882305,0.002215026230114121,335,0.9999999999999998,0.7420337870882306
PC6,block_Y_topological_connectivity_structure,0.19504914971161316,0.0015120089124931253,129,0.9999999999999998,0.19504914971161322
PC6,not_assigned,0.06291706320015614,0.0015729265800039035,40,0.9999999999999998,0.06291706320015615
PC7,block_X_local_electronic_atom_environment,0.7217858682781088,0.0021545846814271905,335,0.9999999999999996,0.7217858682781091
PC7,block_Y_topological_connectivity_structure,0.20084982193418421,0.0015569753638308853,129,0.9999999999999996,0.2008498219341843
PC7,not_assigned,0.0773643097877066,0.001934107744692665,40,0.9999999999999996,0.07736430978770663
PC8,block_X_local_electronic_atom_environment,0.807203589318905,0.002409562953190761,335,1.0000000000000002,0.8072035893189048
PC8,block_Y_topological_connectivity_structure,0.18079300510453858,0.0014014961636010742,129,1.0000000000000002,0.18079300510453855
PC8,not_assigned,0.01200340557655655,0.00030008513941391375,40,1.0000000000000002,0.012003405576556547
PC9,block_X_local_electronic_atom_environment,0.7616964956535318,0.0022737208825478563,335,0.9999999999999999,0.7616964956535319
PC9,block_Y_topological_connectivity_structure,0.19856868925652332,0.0015392921647792506,129,0.9999999999999999,0.19856868925652335
PC9,not_assigned,0.0397348150899448,0.00099337037724862,40,0.9999999999999999,0.03973481508994481
