component,descriptor_numeric_type,sum_squared_weight,n_descriptors,component_total_squared_weight,prop_component_squared_weight
PC1,binary_like,0.0033700265401219896,16,0.9999999999999998,0.0033700265401219905
PC1,continuous_float_like,0.7044099725510237,359,0.9999999999999998,0.7044099725510238
PC1,integer_count_like,0.14387294826710983,27,0.9999999999999998,0.14387294826710986
PC1,integer_low_cardinality,0.14834705264174428,102,0.9999999999999998,0.1483470526417443
PC10,binary_like,0.020269206224791794,16,1.0,0.020269206224791794
PC10,continuous_float_like,0.7154383136927492,359,1.0,0.7154383136927492
PC10,integer_count_like,0.009598664849606892,27,1.0,0.009598664849606892
PC10,integer_low_cardinality,0.2546938152328522,102,1.0,0.2546938152328522
PC2,binary_like,0.0034809819224144384,16,0.9999999999999988,0.0034809819224144428
PC2,continuous_float_like,0.7713801738055541,359,0.9999999999999988,0.771380173805555
PC2,integer_count_like,0.03474577077789015,27,0.9999999999999988,0.03474577077789019
PC2,integer_low_cardinality,0.19039307349414006,102,0.9999999999999988,0.19039307349414028
PC3,binary_like,0.008288069119272393,16,0.9999999999999987,0.008288069119272403
PC3,continuous_float_like,0.6313818475438149,359,0.9999999999999987,0.6313818475438158
PC3,integer_count_like,0.17168244881782588,27,0.9999999999999987,0.1716824488178261
PC3,integer_low_cardinality,0.1886476345190856,102,0.9999999999999987,0.18864763451908584
PC4,binary_like,0.009878351561886442,16,1.0,0.009878351561886442
PC4,continuous_float_like,0.7905645877936592,359,1.0,0.7905645877936592
PC4,integer_count_like,0.013272268780146805,27,1.0,0.013272268780146805
PC4,integer_low_cardinality,0.18628479186430763,102,1.0,0.18628479186430763
PC5,binary_like,0.0031713976353677648,16,1.0000000000000018,0.003171397635367759
PC5,continuous_float_like,0.6886465358226096,359,1.0000000000000018,0.6886465358226084
PC5,integer_count_like,0.01849084580854138,27,1.0000000000000018,0.018490845808541347
PC5,integer_low_cardinality,0.2896912207334831,102,1.0000000000000018,0.2896912207334826
PC6,binary_like,0.025891976394470183,16,0.9999999999999999,0.025891976394470186
PC6,continuous_float_like,0.7105473563920883,359,0.9999999999999999,0.7105473563920884
PC6,integer_count_like,0.027597101694838484,27,0.9999999999999999,0.027597101694838488
PC6,integer_low_cardinality,0.2359635655186029,102,0.9999999999999999,0.23596356551860292
PC7,binary_like,0.00704055457293736,16,0.9999999999999997,0.007040554572937363
PC7,continuous_float_like,0.7161193781082951,359,0.9999999999999997,0.7161193781082953
PC7,integer_count_like,0.04236339439667651,27,0.9999999999999997,0.042363394396676524
PC7,integer_low_cardinality,0.2344766729220907,102,0.9999999999999997,0.2344766729220908
PC8,binary_like,0.06515578198026048,16,1.0000000000000002,0.06515578198026047
PC8,continuous_float_like,0.6672606160938298,359,1.0000000000000002,0.6672606160938297
PC8,integer_count_like,0.0020169787305363393,27,1.0000000000000002,0.002016978730536339
PC8,integer_low_cardinality,0.2655666231953736,102,1.0000000000000002,0.26556662319537355
PC9,binary_like,0.016476171987410488,16,1.0,0.016476171987410488
PC9,continuous_float_like,0.700233800414977,359,1.0,0.700233800414977
PC9,integer_count_like,0.013276633356581835,27,1.0,0.013276633356581835
PC9,integer_low_cardinality,0.27001339424103066,102,1.0,0.27001339424103066
