descriptor,PC1_weight,PC1_corr_loading,component,abs_weight,abs_corr_loading,PC2_weight,PC2_corr_loading,PC3_weight,PC3_corr_loading,PC4_weight,PC4_corr_loading,PC5_weight,PC5_corr_loading,PC6_weight,PC6_corr_loading,PC7_weight,PC7_corr_loading,PC8_weight,PC8_corr_loading,PC9_weight,PC9_corr_loading,PC10_weight,PC10_corr_loading,descriptor_category,descriptor_numeric_type,is_binary_like,is_rare_binary_like,is_near_constant,dominant_value_ratio
ETA_Eta_R,0.1001378423947351,0.9814881778352743,PC1,0.1001378423947351,0.9814881778352743,,,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0055724417426545
SP-0,0.09899262514738373,0.9702634783365811,PC1,0.09899262514738373,0.9702634783365811,,,,,,,,,,,,,,,,,,,Chi path,continuous_float_like,False,False,False,0.0263424518743667
VABC,0.09870036945635907,0.9673989717845518,PC1,0.09870036945635907,0.9673989717845518,,,,,,,,,,,,,,,,,,,Van der Waals volume,continuous_float_like,False,False,False,0.0106382978723404
ETA_Eta,0.09857676323559895,0.9661874613157647,PC1,0.09857676323559895,0.9661874613157647,,,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0030395136778115
Kier1,0.09832188685600006,0.9636893232752058,PC1,0.09832188685600006,0.9636893232752058,,,,,,,,,,,,,,,,,,,Kappa shape indices,continuous_float_like,False,False,False,0.0577507598784194
VP-0,0.0982167332840383,0.9626586740693758,PC1,0.0982167332840383,0.9626586740693758,,,,,,,,,,,,,,,,,,,Chi path,continuous_float_like,False,False,False,0.0060790273556231
McGowan_Volume,0.09803951996196705,0.9609217404945324,PC1,0.09803951996196705,0.9609217404945324,,,,,,,,,,,,,,,,,,,McGowan volume,continuous_float_like,False,False,False,0.0106382978723404
nHeavyAtom,0.0979747215428558,0.9602866271270065,PC1,0.0979747215428558,0.9602866271270065,,,,,,,,,,,,,,,,,,,Atom count,integer_count_like,False,False,False,0.0795339412360689
SP-2,0.0977691152268574,0.9582714032754154,PC1,0.0977691152268574,0.9582714032754154,,,,,,,,,,,,,,,,,,,Chi path,continuous_float_like,False,False,False,0.0055724417426545
MW,0.09770317565411443,0.9576251050373968,PC1,0.09770317565411443,0.9576251050373968,,,,,,,,,,,,,,,,,,,Weight,continuous_float_like,False,False,False,0.0106382978723404
ETA_Alpha,0.09729306972358631,0.9536055045262648,PC1,0.09729306972358631,0.9536055045262648,,,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0187436676798378
SP-1,0.0970830265855614,0.9515467937344521,PC1,0.0970830265855614,0.9515467937344521,,,,,,,,,,,,,,,,,,,Chi path,continuous_float_like,False,False,False,0.0116514690982776
ETA_Eta_R_L,0.09708301753263511,0.9515467050033608,PC1,0.09708301753263511,0.9515467050033608,,,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0116514690982776
WTPT-1,0.0969910955912426,0.9506457439220876,PC1,0.0969910955912426,0.9506457439220876,,,,,,,,,,,,,,,,,,,Weighted path,continuous_float_like,False,False,False,0.0055724417426545
ETA_Beta_s,0.09673278107557234,0.9481139074331972,PC1,0.09673278107557234,0.9481139074331972,,,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.03596757852077
apol,0.09664568149494782,0.9472602121005149,PC1,0.09664568149494782,0.9472602121005149,,,,,,,,,,,,,,,,,,,APol,continuous_float_like,False,False,False,0.0106382978723404
