descriptor_category,n_descriptors,mean_VIP,median_VIP,max_VIP,n_VIP_ge_1,mean_abs_coefficient,sum_abs_coefficient,prop_VIP_ge_1
Mannhold LogP,1,1.8677030062125584,1.8677030062125584,1.8677030062125584,1,0.026001567482435543,0.026001567482435543,1.0
Crippen logP and MR,2,1.5221375004459703,1.5221375004459703,1.6322256521565923,2,0.09274028657265466,0.18548057314530933,1.0
Vertex adjacency information (magnitude),1,1.4793218826550132,1.4793218826550132,1.4793218826550132,1,0.009529824180926488,0.009529824180926488,1.0
Autocorrelation (polarizability),5,1.4788578005818596,1.4857455153774257,1.4936379229632057,5,0.06376965538980274,0.3188482769490137,1.0
APol,1,1.4504885490346109,1.4504885490346109,1.4504885490346109,1,0.00297066211434066,0.00297066211434066,1.0
Zagreb index,1,1.4272259534974456,1.4272259534974456,1.4272259534974456,1,0.012782272774449804,0.012782272774449804,1.0
Chi path,16,1.4058543673034571,1.4253462044760534,1.5484415669687273,16,0.039514364116123815,0.632229825857981,1.0
McGowan volume,1,1.3821425156381042,1.3821425156381042,1.3821425156381042,1,0.0033147293090886962,0.0033147293090886962,1.0
Van der Waals volume,1,1.3730192564991077,1.3730192564991077,1.3730192564991077,1,0.0005518473402688689,0.0005518473402688689,1.0
Aromatic atoms count,1,1.2985927601551481,1.2985927601551481,1.2985927601551481,1,0.004221450811403925,0.004221450811403925,1.0
Weight,1,1.291979873884447,1.291979873884447,1.291979873884447,1,0.0014928434649715099,0.0014928434649715099,1.0
BPol,1,1.261844543645333,1.261844543645333,1.261844543645333,1,0.040324445279771914,0.040324445279771914,1.0
XLogP,1,1.2455908174359929,1.2455908174359929,1.2455908174359929,1,0.13007306087759565,0.13007306087759565,1.0
Aromatic bonds count,1,1.199929527481246,1.199929527481246,1.199929527481246,1,0.0019653198873167107,0.0019653198873167107,1.0
Eccentric connectivity index,1,1.1884859357976403,1.1884859357976403,1.1884859357976403,1,0.11100127320853327,0.11100127320853327,1.0
Bond count,9,1.1790563510627372,1.2784930863657742,1.4287860027045003,8,0.01637788682773297,0.14740098144959674,0.8888888888888888
