descriptor,coefficient_standardised_X,abs_coefficient_standardised_X
nAcid,-0.05459450031751099,0.05459450031751099
ALogP,0.021057309146913828,0.021057309146913828
ALogp2,-0.03500848957465714,0.03500848957465714
AMR,0.017634933281442555,0.017634933281442555
apol,-0.00297066211434066,0.00297066211434066
naAromAtom,0.004221450811403925,0.004221450811403925
nAromBond,-0.0019653198873167107,0.0019653198873167107
nAtom,-0.004273490241135686,0.004273490241135686
nHeavyAtom,0.007936563979372115,0.007936563979372115
nH,-0.013120776651302261,0.013120776651302261
nC,0.016918044144624084,0.016918044144624084
nN,-0.039511720572693705,0.039511720572693705
nO,0.015729495468535616,0.015729495468535616
nS,-0.06529668284295384,0.06529668284295384
nP,0.005849105229304109,0.005849105229304109
nF,0.059239300377171164,0.059239300377171164
nCl,-0.008593949186987988,0.008593949186987988
nBr,-0.02035966195707195,0.02035966195707195
nI,0.010580061972779454,0.010580061972779454
nX,0.04386481503980349,0.04386481503980349
ATSc1,-0.07939478183260562,0.07939478183260562
ATSc2,0.019816652850972154,0.019816652850972154
ATSc3,0.07141748455293877,0.07141748455293877
ATSc4,0.09811216982759954,0.09811216982759954
ATSc5,-0.016855329344142175,0.016855329344142175
ATSm1,-0.016882322540160033,0.016882322540160033
ATSm2,-0.005971506468074106,0.005971506468074106
ATSm3,0.025895373905999115,0.025895373905999115
ATSm4,0.029138548742162054,0.029138548742162054
ATSm5,0.15082167731281096,0.15082167731281096
ATSp1,-0.02901023708992336,0.02901023708992336
ATSp2,-0.04039958294138994,0.04039958294138994
ATSp3,-0.06403052577860441,0.06403052577860441
ATSp4,-0.06009092300117729,0.06009092300117729
ATSp5,-0.12531700813791868,0.12531700813791868
nBase,-0.013852439213357019,0.013852439213357019
BCUTw-1l,-0.04139159151487927,0.04139159151487927
BCUTw-1h,0.12123924917899115,0.12123924917899115
BCUTc-1l,0.03801902067629615,0.03801902067629615
BCUTc-1h,-0.0663233931235072,0.0663233931235072
BCUTp-1l,0.0016151569020717033,0.0016151569020717033
BCUTp-1h,0.18539079768181296,0.18539079768181296
nBonds,0.00930232550000725,0.00930232550000725
nBonds2,-0.003205512746259939,0.003205512746259939
nBondsS,-0.010255616300562626,0.010255616300562626
nBondsS2,-0.006440830449389657,0.006440830449389657
nBondsS3,0.003294778024978931,0.003294778024978931
nBondsD,0.04763266304767743,0.04763266304767743
nBondsD2,0.04600070719266853,0.04600070719266853
nBondsT,-0.0108805576956473,0.0108805576956473
nBondsM,0.010387990492405071,0.010387990492405071
bpol,-0.040324445279771914,0.040324445279771914
C1SP1,-0.01151781092625626,0.01151781092625626
C2SP1,0.023812218936650083,0.023812218936650083
C1SP2,-0.05247881401448448,0.05247881401448448
C2SP2,-0.0030593267538015076,0.0030593267538015076
C3SP2,0.2194645632451851,0.2194645632451851
C1SP3,0.1904799604615939,0.1904799604615939
C2SP3,-0.011307273455934054,0.011307273455934054
C3SP3,-0.12556267457244713,0.12556267457244713
C4SP3,-0.01539771996595355,0.01539771996595355
SCH-3,-0.008390183168770837,0.008390183168770837
SCH-4,0.01915636279071585,0.01915636279071585
SCH-5,-0.019131310412968543,0.019131310412968543
SCH-6,0.01769948901235363,0.01769948901235363
SCH-7,-0.043383474605730415,0.043383474605730415
VCH-3,-0.008390183168770857,0.008390183168770857
VCH-4,0.001789612804304658,0.001789612804304658
VCH-5,0.14263963075893354,0.14263963075893354
VCH-6,-0.011864021241655379,0.011864021241655379
VCH-7,-0.05837339673534577,0.05837339673534577
SC-3,0.03684355348529382,0.03684355348529382
SC-4,-0.022353260217983787,0.022353260217983787
SC-5,-0.13382277593721542,0.13382277593721542
SC-6,-0.09071835314027915,0.09071835314027915
VC-3,-0.00041828605745064225,0.00041828605745064225
VC-4,-0.05160772369078086,0.05160772369078086
VC-5,0.11000672658755659,0.11000672658755659
VC-6,0.11805317121967046,0.11805317121967046
SPC-4,-0.01481351005579829,0.01481351005579829
SPC-5,0.029241478735949004,0.029241478735949004
SPC-6,-0.010468326580718,0.010468326580718
VPC-4,0.06597198671365895,0.06597198671365895
VPC-5,0.11432975398873707,0.11432975398873707
VPC-6,0.12326279178105826,0.12326279178105826
SP-0,0.009033507053150825,0.009033507053150825
SP-1,0.005974082545980312,0.005974082545980312
SP-2,0.015993090281718813,0.015993090281718813
SP-3,0.0010614749521317569,0.0010614749521317569
SP-4,0.050791405865244596,0.050791405865244596
SP-5,0.010381528954176898,0.010381528954176898
SP-6,-0.06594635277154125,0.06594635277154125
SP-7,-0.1783873439230254,0.1783873439230254
VP-0,-0.008305575726388653,0.008305575726388653
VP-1,0.004017268187321427,0.004017268187321427
VP-2,-0.005062266402841633,0.005062266402841633
VP-3,0.006459183730550039,0.006459183730550039
VP-4,0.06752443201693671,0.06752443201693671
VP-5,0.05457545212937234,0.05457545212937234
VP-6,-0.03459660430257022,0.03459660430257022
VP-7,-0.11412025701503015,0.11412025701503015
CrippenLogP,-0.1643325955508122,0.1643325955508122
CrippenMR,-0.02114797759449714,0.02114797759449714
ECCEN,0.11100127320853327,0.11100127320853327
nHBd,0.023069293019968722,0.023069293019968722
nwHBd,0.0960022933900262,0.0960022933900262
nHBa,0.02599065366526062,0.02599065366526062
nwHBa,0.040416047572122964,0.040416047572122964
nHBint2,-0.006494262032381367,0.006494262032381367
nHBint3,-0.06466779675547353,0.06466779675547353
nHBint4,-0.010770231986344653,0.010770231986344653
nHBint5,-0.026142102004058507,0.026142102004058507
nHBint6,-0.1245339249244021,0.1245339249244021
nHBint7,-0.16189394524075057,0.16189394524075057
nHBint8,0.06193599248294123,0.06193599248294123
nHBint9,0.017477805369945622,0.017477805369945622
nHBint10,0.06393960439280234,0.06393960439280234
nHsOH,-0.018293857452710734,0.018293857452710734
nHdNH,-0.023593706549798085,0.023593706549798085
nHsSH,-0.0021195681230724655,0.0021195681230724655
nHsNH2,0.004252050061649814,0.004252050061649814
nHssNH,0.04382212575091804,0.04382212575091804
nHaaNH,0.0453371114232662,0.0453371114232662
nHtCH,0.035118853644346394,0.035118853644346394
nHdCH2,0.006639968174031549,0.006639968174031549
nHdsCH,0.02546021395480599,0.02546021395480599
nHaaCH,0.0246360307788219,0.0246360307788219
nHCHnX,0.027965263974104836,0.027965263974104836
nHCsats,0.09872426380276364,0.09872426380276364
nHCsatu,-0.043114728215374445,0.043114728215374445
nHAvin,-0.08112195760353172,0.08112195760353172
nHother,0.030342833864439936,0.030342833864439936
nsCH3,-0.022369728761385495,0.022369728761385495
ndCH2,0.006639968174031447,0.006639968174031447
nssCH2,-0.04715571235997085,0.04715571235997085
ntCH,0.035118853644346436,0.035118853644346436
ndsCH,0.02546021395480604,0.02546021395480604
naaCH,0.0246360307788219,0.0246360307788219
nsssCH,0.1286431768365419,0.1286431768365419
ntsC,-0.009789466933327365,0.009789466933327365
ndssC,-0.0002521455959905261,0.0002521455959905261
naasC,-0.017491797021709242,0.017491797021709242
naaaC,0.10412261350191239,0.10412261350191239
nssssC,-0.053242486790472596,0.053242486790472596
nsNH2,0.004252050061649814,0.004252050061649814
ndNH,-0.023593706549798085,0.023593706549798085
nssNH,0.04382212575091804,0.04382212575091804
naaNH,0.0453371114232662,0.0453371114232662
ntN,-0.02762190787264223,0.02762190787264223
ndsN,-0.0175190562819351,0.0175190562819351
naaN,-0.10929006753178139,0.10929006753178139
nsssN,-0.07125788659340762,0.07125788659340762
naasN,0.0903497402545719,0.0903497402545719
nssssNp,0.003856252058041379,0.003856252058041379
nsOH,-0.018293857452710734,0.018293857452710734
ndO,0.07330896880198118,0.07330896880198118
nssO,-0.04062862381771863,0.04062862381771863
naaO,0.008385709085105764,0.008385709085105764
nsOm,-0.03313986466325286,0.03313986466325286
nsF,0.059239300377171164,0.059239300377171164
ndsssP,0.005849105229304109,0.005849105229304109
nsSH,-0.0021195681230724655,0.0021195681230724655
ndS,-0.07643112024335763,0.07643112024335763
nssS,-0.026936810118518166,0.026936810118518166
naaS,-0.06079052615443689,0.06079052615443689
ndssS,0.020045929679254927,0.020045929679254927
nddssS,0.012810315098769355,0.012810315098769355
nsCl,-0.008593949186987988,0.008593949186987988
nsBr,-0.02035966195707195,0.02035966195707195
nsI,0.010580061972779454,0.010580061972779454
SHBd,0.07650034581104953,0.07650034581104953
SwHBd,0.02166223496007496,0.02166223496007496
SHBa,0.03851744789289232,0.03851744789289232
SwHBa,0.045368465899866886,0.045368465899866886
SHBint2,0.018440202293853784,0.018440202293853784
SHBint3,-0.06296375589818154,0.06296375589818154
SHBint4,0.012058335007562112,0.012058335007562112
SHBint5,0.05945214607919626,0.05945214607919626
SHBint6,-0.0684092740364112,0.0684092740364112
SHBint7,-0.05975844151682509,0.05975844151682509
SHBint8,0.10488482450353523,0.10488482450353523
SHBint9,0.027369502338414828,0.027369502338414828
SHBint10,-0.11048311428862453,0.11048311428862453
SHsOH,0.053009878140724026,0.053009878140724026
SHdNH,-0.017332655086113976,0.017332655086113976
SHsSH,-0.0021195681230724685,0.0021195681230724685
SHsNH2,0.022575588772210952,0.022575588772210952
SHssNH,0.05774609400206544,0.05774609400206544
SHaaNH,0.051927722252413114,0.051927722252413114
SHtCH,-0.06109350228299194,0.06109350228299194
SHdCH2,0.007310730968294662,0.007310730968294662
SHdsCH,0.10742006558185678,0.10742006558185678
SHaaCH,-0.027871043603232615,0.027871043603232615
SHCHnX,-0.01418396584771746,0.01418396584771746
SHCsats,0.12640234330745548,0.12640234330745548
SHCsatu,0.04387003583989024,0.04387003583989024
SHAvin,-0.0552660389038702,0.0552660389038702
SHother,-0.0023808268029941026,0.0023808268029941026
SsCH3,-0.04579875049196318,0.04579875049196318
SdCH2,-0.0010872195486885646,0.0010872195486885646
SssCH2,-0.10393543494289326,0.10393543494289326
StCH,0.05262260591931707,0.05262260591931707
SdsCH,-0.051492467793461234,0.051492467793461234
SaaCH,0.05731815753379117,0.05731815753379117
SsssCH,0.12552233148045733,0.12552233148045733
StsC,-0.005229212218541198,0.005229212218541198
SdssC,-0.06714406526059541,0.06714406526059541
SaasC,0.05008659622347466,0.05008659622347466
SaaaC,0.010839902778092578,0.010839902778092578
SssssC,0.1249289628121935,0.1249289628121935
SsNH2,-0.006508561684167911,0.006508561684167911
SdNH,-0.02554819814551562,0.02554819814551562
SssNH,0.029931796009579667,0.029931796009579667
SaaNH,0.04387170186429966,0.04387170186429966
StN,-0.03604651417167268,0.03604651417167268
SdsN,-0.0215280095245872,0.0215280095245872
SaaN,-0.11414934788299502,0.11414934788299502
SsssN,-0.021447676426690335,0.021447676426690335
SaasN,-0.06364400534161226,0.06364400534161226
SssssNp,0.003856252058041393,0.003856252058041393
SsOH,-0.03263510291646551,0.03263510291646551
SdO,0.035653008905383254,0.035653008905383254
SssO,-0.009060797268379347,0.009060797268379347
SaaO,-0.04028178811814709,0.04028178811814709
SsOm,-0.03004578537710925,0.03004578537710925
SsF,0.07371019343653326,0.07371019343653326
SdsssP,-0.005803515901462941,0.005803515901462941
SsSH,-0.002119568123072477,0.002119568123072477
SdS,0.044655705111338276,0.044655705111338276
SssS,0.047993307774536365,0.047993307774536365
SaaS,-0.036987295178970266,0.036987295178970266
SdssS,-0.02004592967925495,0.02004592967925495
SddssS,0.028989115353194254,0.028989115353194254
SsCl,-0.060370365197065005,0.060370365197065005
SsBr,0.02670389195831234,0.02670389195831234
SsI,0.013774453586887683,0.013774453586887683
minHBd,-0.004843125970502545,0.004843125970502545
minwHBd,-0.0610722949552444,0.0610722949552444
minHBa,-0.10610444064853201,0.10610444064853201
minwHBa,0.17778464199350874,0.17778464199350874
minHBint2,0.05849018905106688,0.05849018905106688
minHBint3,0.057095750939021334,0.057095750939021334
minHBint4,-0.01505115913581215,0.01505115913581215
