descriptor,PLS1_corr_loading,PLS2_corr_loading,PLS3_corr_loading,PLS4_corr_loading,PLS5_corr_loading,PLS6_corr_loading,PLS7_corr_loading,PLS8_corr_loading,PLS9_corr_loading,PLS10_corr_loading,PLS11_corr_loading,PLS12_corr_loading,PLS13_corr_loading,PLS14_corr_loading,PLS15_corr_loading,PLS16_corr_loading,PLS17_corr_loading,PLS18_corr_loading,PLS19_corr_loading,PLS20_corr_loading
nAcid,0.06966873228746924,0.043407465706076453,0.07824343016521437,-0.10678840847096284,-0.2035207131459231,0.14162473926425193,-0.1996338751337865,0.15697058969146205,0.07869230802760913,0.012994325821856589,0.16312614419556834,-0.11327972380143761,0.18457813427601977,0.2893949849510076,-0.050720996100752175,-0.2168282673700758,0.019111171964450262,0.018300101169331263,0.0973172594140153,0.07382385269225945
ALogP,-0.0002063859996621302,-0.5368652631476079,-0.17453923073365657,-0.0331471299095506,-0.2618264326818797,0.08437937694052353,-0.13874742964202533,0.20876594570470886,0.02530162728730742,0.13619201343038703,-0.02340140643372965,0.02069195218010749,0.14076885337855,0.2857578157116525,-0.2682241026543123,-0.11222236716452239,0.06095255232542401,0.13463179314504736,0.10828392102570997,0.03956866838052929
ALogp2,0.23103131074213087,0.5414774361993429,0.4639570586492114,-0.029982728295136745,0.08683884147726542,-0.19319424374542885,0.11109065984147691,-0.0027674421279047768,-0.015539989151466819,-0.04322853034333796,-0.060235656941496935,-0.10604677789978727,0.07905571609816421,0.05691569841713529,-0.10669536690028035,-0.025823975825602734,0.019185319546409833,0.04004164705709245,0.03917744826416283,-0.03844766210991518
AMR,0.9092199931634216,0.3112182792681262,-0.022445843375650563,-0.1268923257659272,-0.15357676578286406,-0.06328404359109706,0.06756172421236308,-0.032475537340872614,-0.011727157901915239,0.01961494433937044,0.011374349915928427,-0.004756699327223599,0.022257252727237938,0.06075220273167982,-0.0828447343240036,-0.051499960074948725,0.022038831221404112,-0.003553441676319206,-0.012048531360236205,0.0035992435886223672
apol,0.8886338628643144,0.41762198330373,0.0042698331901590844,0.006699288710591056,0.020524234119876254,-0.018726192066860055,0.059823976751695616,-0.06305393154915592,-0.06578468556210257,0.02968189154190202,0.03469716326971992,-0.02372609157694277,-0.018777607654239248,0.016542255032871617,-0.06122381724792853,-0.06180449133839703,0.032842206175451645,-0.017612247070382104,-0.017248892767242258,-0.004992577583533685
naAromAtom,0.45951844393206775,-0.2938542951938619,-0.08691132967336879,-0.4319062713815664,-0.49575788033364027,-0.38011492992387486,0.16506936386380044,0.08505425132838222,0.08457069701728749,0.04787789876976787,0.009004395788142461,0.04181857443811837,0.007118025772766625,0.08790611461753478,-0.1425200689259542,-0.0730405026473438,-0.017594975594140732,-0.031960864320176696,-0.014682806029357873,0.0018348052251556976
nAromBond,0.3883079140930708,-0.29724447215540756,-0.0709610974648778,-0.40680958186593463,-0.4861712543008716,-0.4477328072767442,0.19479881167468005,0.13231335420071483,0.11633855366202507,0.05355745638392097,-0.007281031548935706,0.06027593459305835,0.0001211384319370388,0.0990126353495072,-0.14934645141722155,-0.07250165270703196,-0.014988006792791062,-0.040711808813979684,-0.025010349501646094,-0.023236367499453334
nAtom,0.8599768272923336,0.44343415292223176,0.032981408344586204,0.04007250913431867,0.09560713726060156,0.004591089934899102,0.061775741911852054,-0.0707180578358755,-0.08515018198385242,0.05388698106291488,0.06596547974627748,-0.034654410593952266,-0.041410217868174753,-0.010643424749667221,-0.0561671625491904,-0.07618776969620562,0.04495493053829524,-0.01615317542909294,-0.009860008295251564,-0.012466401557841232
nHeavyAtom,0.8537320377342279,0.4638804047485323,0.05779010449263826,-0.1457570495511274,-0.11855307504827513,-0.043764731486307946,0.015661319448636853,-0.00451033496015506,-0.01570735650990161,0.003212239249629359,0.014089747748861493,-0.0015408583965643974,-0.027814417093381175,-0.002836559932680744,-0.05020516040004972,-0.052960277906090085,0.034730014611028405,0.0025739860989017474,-0.0017716753980212628,-0.013939088262482018
nH,0.8039862402982817,0.39683072789827406,0.012065926607734067,0.176484199618407,0.24932861407971305,0.04049934008323996,0.09197028621849276,-0.11533728579636758,-0.13117525549630132,0.08805502695547429,0.1001812912447501,-0.05702099513931116,-0.04867589510854494,-0.015742094450062562,-0.0566718987270025,-0.08821681011973491,0.04944479212015242,-0.02904552378622078,-0.0152248454479828,-0.010483463621730327
