dataset_name,n_components,fold,rmse,mae,r2
primary_remove_constant_only,1,1,1.1382015609789276,0.897812576010523,0.36057224365033236
primary_remove_constant_only,1,2,1.2597910916540478,0.9906060841506882,0.2314881701444108
primary_remove_constant_only,1,3,1.1036333663086328,0.9002946414183274,0.4111704804987484
primary_remove_constant_only,1,4,1.0912627742281247,0.8958680433793618,0.383171834001518
primary_remove_constant_only,1,5,1.1318193803981798,0.9145309569365135,0.3635811528502414
primary_remove_constant_only,2,1,1.0471266184048633,0.8072123744906655,0.45880779850651887
primary_remove_constant_only,2,2,1.1056495064164853,0.8181929349439316,0.4080453399396953
primary_remove_constant_only,2,3,0.9711083170805133,0.7834777670361901,0.5440940320517429
primary_remove_constant_only,2,4,0.9709241565929772,0.767510973046204,0.5117119134194613
primary_remove_constant_only,2,5,1.0287252329183851,0.818736823194023,0.4742399717030491
primary_remove_constant_only,3,1,0.9940228837017194,0.7850070555878157,0.5123077035592125
primary_remove_constant_only,3,2,1.0219817330744148,0.7642203199836674,0.49424549769289794
primary_remove_constant_only,3,3,0.907596640298525,0.7287497145874755,0.6017775966494051
primary_remove_constant_only,3,4,0.9061619828390488,0.7022384405522001,0.5746786427995123
primary_remove_constant_only,3,5,0.9712095028180637,0.7724958348590018,0.5313866827644268
primary_remove_constant_only,4,1,0.9706442274398756,0.7619891631231598,0.5349782323965486
primary_remove_constant_only,4,2,1.0022607708474687,0.7276691510532871,0.5135760441810175
primary_remove_constant_only,4,3,0.8648664794646393,0.6840948597194972,0.638391974993028
primary_remove_constant_only,4,4,0.8899180710287048,0.6837769236287584,0.5897906387418537
primary_remove_constant_only,4,5,0.9431795345315747,0.7433806142627895,0.5580455434549089
primary_remove_constant_only,5,1,0.9289426485751746,0.7264635827183209,0.5740771548875685
primary_remove_constant_only,5,2,0.9686311519259835,0.7037871374842053,0.5456711082367185
primary_remove_constant_only,5,3,0.8597016224078715,0.6686849421985752,0.6426980202043935
primary_remove_constant_only,5,4,0.9036013121992742,0.6952378839581987,0.5770790284015987
primary_remove_constant_only,5,5,0.9011811217481539,0.7098114978293042,0.5965284181984137
primary_remove_constant_only,6,1,0.9280730074619118,0.7174741889647791,0.5748742474540129
primary_remove_constant_only,6,2,0.9275435890081083,0.7066249527946028,0.5833972359143607
primary_remove_constant_only,6,3,0.842709437284659,0.6506506468735899,0.6566827343262016
primary_remove_constant_only,6,4,0.8834892726254715,0.6763025083722138,0.5956959640289468
primary_remove_constant_only,6,5,0.8782255179051829,0.6857467341167243,0.6168217197180168
primary_remove_constant_only,7,1,0.9340029435819499,0.7132254480171228,0.5694241968263926
primary_remove_constant_only,7,2,0.9965610740120155,0.7052175574216056,0.519092743762163
primary_remove_constant_only,7,3,0.8318814932807167,0.6384326798705303,0.6654485970647952
primary_remove_constant_only,7,4,0.8739774003333979,0.6716214358314458,0.6043547822893138
primary_remove_constant_only,7,5,0.8764643870362979,0.6807807836552109,0.6183569756605065
primary_remove_constant_only,8,1,0.9314198289838476,0.7217692184071913,0.5718025375841579
primary_remove_constant_only,8,2,1.0338951519826083,0.7199151436968413,0.4823854343721349
primary_remove_constant_only,8,3,0.8237904405105352,0.6356599285388298,0.6719247821260466
primary_remove_constant_only,8,4,0.8594222886589779,0.6589536555072408,0.6174231026283777
primary_remove_constant_only,8,5,0.8564643435887632,0.6660771446389017,0.6355756781146328
primary_remove_constant_only,9,1,0.9317593446513066,0.7158567447413409,0.5714903126578336
primary_remove_constant_only,9,2,1.0596006570636636,0.7210990315477226,0.45632679543032595
primary_remove_constant_only,9,3,0.8126085204317319,0.6270059378281513,0.680770753077622
primary_remove_constant_only,9,4,0.8546486882099329,0.6522451738590153,0.6216612922385196
primary_remove_constant_only,9,5,0.8301985326691574,0.6482390534494336,0.6575850617195387
primary_remove_constant_only,10,1,0.9301131552788766,0.7081452840303515,0.573003117345253
primary_remove_constant_only,10,2,1.1124479573856205,0.7137809073459631,0.4007433019842751
primary_remove_constant_only,10,3,0.8009774963670517,0.6197439897884521,0.6898437341715874
primary_remove_constant_only,10,4,0.8477639115265769,0.6424886970652305,0.6277322917540384
primary_remove_constant_only,10,5,0.8374090453172287,0.6494272034479829,0.6516112877910858
primary_remove_constant_only,11,1,0.9111421578299386,0.6918567494000716,0.5902439131876209
primary_remove_constant_only,11,2,1.1243566041027655,0.7083003435236903,0.38784466137197615
primary_remove_constant_only,11,3,0.8060281686035816,0.6235428680183939,0.6859199372369704
primary_remove_constant_only,11,4,0.8449383389876891,0.6384229877886326,0.6302096713030539
primary_remove_constant_only,11,5,0.8371351159860653,0.6518327683456278,0.6518391770848795
primary_remove_constant_only,12,1,0.9151645563029477,0.6936279265069248,0.5866180456231888
primary_remove_constant_only,12,2,1.0908013823357192,0.6900465586988657,0.4238376832425247
primary_remove_constant_only,12,3,0.8154580381021778,0.6305088540986024,0.6785279897809993
primary_remove_constant_only,12,4,0.8425774467892256,0.6325135384926607,0.6322732902971198
primary_remove_constant_only,12,5,0.8370897025173837,0.6523990834850062,0.6518769505851367
primary_remove_constant_only,13,1,0.9026751746343313,0.6842592984390798,0.5978240208821022
primary_remove_constant_only,13,2,1.0633478957395384,0.680363172025435,0.4524746354368463
primary_remove_constant_only,13,3,0.8100187483472463,0.6262780413495479,0.6828022690693305
primary_remove_constant_only,13,4,0.8451846118511861,0.6284728526906684,0.6299940754640303
primary_remove_constant_only,13,5,0.8353388994374815,0.6508234457821457,0.653331651353909
primary_remove_constant_only,14,1,0.8905740537336917,0.6740443007591221,0.6085347585633363
primary_remove_constant_only,14,2,1.010854781537211,0.6648894226320158,0.5051984738089215
primary_remove_constant_only,14,3,0.804529141387987,0.6241691512664362,0.68708708443311
primary_remove_constant_only,14,4,0.845781307172446,0.6269742212581573,0.6294714470681011
primary_remove_constant_only,14,5,0.8391642805834991,0.6481950042615973,0.6501492901609542
primary_remove_constant_only,15,1,0.8909480277516787,0.672417144375612,0.6082059177069052
primary_remove_constant_only,15,2,0.9901216697007627,0.6588646376430142,0.5252875496807023
primary_remove_constant_only,15,3,0.8069370653413058,0.6244549396317709,0.6852112094160053
primary_remove_constant_only,15,4,0.8430428768501499,0.6285301745730256,0.6318669221074898
primary_remove_constant_only,15,5,0.833299383753492,0.6427714362749886,0.6550223960466784
primary_remove_constant_only,16,1,0.8858929153752806,0.6724239796764926,0.6126392725967305
primary_remove_constant_only,16,2,0.9743971130564414,0.6441251248891153,0.5402460510601376
primary_remove_constant_only,16,3,0.8078589131850737,0.6234489591518354,0.6844915668667502
primary_remove_constant_only,16,4,0.8327958549451578,0.6249957813977692,0.6407617060539567
primary_remove_constant_only,16,5,0.8385403836382715,0.6473338836078677,0.6506693066937327
primary_remove_constant_only,17,1,0.8860230929942073,0.6711803674072889,0.6125254227144517
primary_remove_constant_only,17,2,0.9683320065674647,0.644795831912013,0.5459516885012085
primary_remove_constant_only,17,3,0.8122659968821946,0.6253545894056767,0.6810398137317105
primary_remove_constant_only,17,4,0.8353191067935399,0.6233791097912191,0.6385815273499008
primary_remove_constant_only,17,5,0.8304376145104363,0.63488760563569,0.6573878149682248
primary_remove_constant_only,18,1,0.8872994089760989,0.6693825894517903,0.6114083046803236
primary_remove_constant_only,18,2,0.9453364736383952,0.6478697446346879,0.5672607181533569
primary_remove_constant_only,18,3,0.8136304418561853,0.6253119857045063,0.6799673346364392
primary_remove_constant_only,18,4,0.8288888361368152,0.6237066408314279,0.6441244951931598
primary_remove_constant_only,18,5,0.8332105599795158,0.638409047046911,0.6550959364337161
primary_remove_constant_only,19,1,0.8807061564587404,0.6665500274501612,0.6171618623103003
