descriptor,VIP,VIP_ge_1,coefficient_standardised_X,abs_coefficient_standardised_X,descriptor_category,descriptor_numeric_type,candidate_super_block,is_near_constant,is_rare_binary_like,dominant_value_ratio
maxsOH,2.0117570582577238,True,0.06581618899737149,0.06581618899737149,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.21580547112462
minsOH,2.009545844314274,True,0.0366852613678671,0.0366852613678671,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.21580547112462
maxHsOH,1.9797777886546688,True,0.10975398652647368,0.10975398652647368,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.21580547112462
minHsOH,1.9753987396591501,True,-0.0316626957145979,0.0316626957145979,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.21580547112462
MDEC-23,1.8973336340098381,True,0.01726989496091024,0.01726989496091024,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0060790273556231
MLogP,1.8677030062125584,True,0.026001567482435543,0.026001567482435543,Mannhold LogP,continuous_float_like,not_assigned,False,False,0.0587639311043566
C1SP2,1.8014430772323018,True,-0.05247881401448448,0.05247881401448448,Carbon types,integer_low_cardinality,block_Y_topological_connectivity_structure,True,False,0.4868287740628166
MLFER_A,1.765960176241279,True,0.1464583023353383,0.1464583023353383,Molecular linear free energy relation,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.232016210739615
LipoaffinityIndex,1.7552214901183771,True,0.025105659609599127,0.025105659609599127,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
maxHBd,1.6642807608849435,True,0.11739084564829695,0.11739084564829695,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0633232016210739
nT6Ring,1.6622668400787701,True,-0.03622518361106058,0.03622518361106058,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,True,False,0.3632218844984802
nC,1.6512180909222172,True,0.016918044144624084,0.016918044144624084,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0825734549138804
n6Ring,1.6487346892210262,True,-0.027802121724048973,0.027802121724048973,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,True,False,0.3703140830800405
nsOH,1.6413339551179102,True,-0.018293857452710734,0.018293857452710734,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.4290780141843971
nHsOH,1.6413339551179102,True,-0.018293857452710734,0.018293857452710734,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.4290780141843971
mindO,1.6403575978681952,True,-0.11117554152985963,0.11117554152985963,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.4680851063829787
SHsOH,1.6354710899352203,True,0.053009878140724026,0.053009878140724026,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.21580547112462
SsOH,1.63299818099509,True,-0.03263510291646551,0.03263510291646551,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.21580547112462
CrippenLogP,1.6322256521565923,True,-0.1643325955508122,0.1643325955508122,Crippen logP and MR,continuous_float_like,not_assigned,False,False,0.0040526849037487
BCUTp-1h,1.6313301267302183,True,0.18539079768181296,0.18539079768181296,BCUT,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
maxdO,1.6047476128447529,True,-0.04563800834038106,0.04563800834038106,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.4680851063829787
C2SP2,1.592896654511461,True,-0.0030593267538015076,0.0030593267538015076,Carbon types,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.1494427558257345
SwHBa,1.5768584421709673,True,0.045368465899866886,0.045368465899866886,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
nHBAcc,1.5735413040510131,True,-0.20224397992291535,0.20224397992291535,Hbond acceptor count,integer_low_cardinality,not_assigned,True,False,0.2968591691995947
minsssN,1.5717514824169978,True,0.08790317437944098,0.08790317437944098,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.5536980749746707
minHBd,1.5546667802371708,True,-0.004843125970502545,0.004843125970502545,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0633232016210739
AMR,1.55020851170119,True,0.017634933281442555,0.017634933281442555,ALOGP,continuous_float_like,not_assigned,False,False,0.0045592705167173
SaaCH,1.54981589738568,True,0.05731815753379117,0.05731815753379117,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0288753799392097
SP-5,1.5484415669687273,True,0.010381528954176898,0.010381528954176898,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0050658561296859
hmin,1.5355260896569332,True,-0.11684093405794024,0.11684093405794024,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0075987841945288
maxsssN,1.5284239280388519,True,0.0583800537843982,0.0583800537843982,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.5536980749746707
SP-7,1.5199438233434226,True,-0.1783873439230254,0.1783873439230254,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0050658561296859
ATSc3,1.5165571921451309,True,0.07141748455293877,0.07141748455293877,Autocorrelation (charge),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
naaCH,1.509742291621235,True,0.0246360307788219,0.0246360307788219,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,0.2051671732522796
nHaaCH,1.509742291621235,True,0.0246360307788219,0.0246360307788219,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,0.2051671732522796
minHssNH,1.5034313199676386,True,-0.009985347556587773,0.009985347556587773,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.8302938196555217
maxHssNH,1.4997473071945036,True,-0.00862124865515346,0.00862124865515346,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.8302938196555217
minHBint10,1.4996253053566249,True,0.1291021489227757,0.1291021489227757,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.5015197568389058
ATSp2,1.4936379229632057,True,-0.04039958294138994,0.04039958294138994,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
SP-6,1.491698093165243,True,-0.06594635277154125,0.06594635277154125,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545
ATSp4,1.4886801240398375,True,-0.06009092300117729,0.06009092300117729,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
C3SP2,1.4862536107773856,True,0.2194645632451851,0.2194645632451851,Carbon types,integer_low_cardinality,block_Y_topological_connectivity_structure,True,False,0.2168186423505572
ATSp1,1.4857455153774257,True,-0.02901023708992336,0.02901023708992336,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
MDEC-22,1.4854280253368857,True,0.04691143831373624,0.04691143831373624,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0476190476190476
VAdjMat,1.4793218826550132,True,0.009529824180926488,0.009529824180926488,Vertex adjacency information (magnitude),continuous_float_like,not_assigned,False,False,0.0795339412360689
nHother,1.4753459811250393,True,0.030342833864439936,0.030342833864439936,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,0.1666666666666666
ATSp3,1.464289946769849,True,-0.06403052577860441,0.06403052577860441,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
ATSp5,1.4619354937589808,True,-0.12531700813791868,0.12531700813791868,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
apol,1.4504885490346109,True,-0.00297066211434066,0.00297066211434066,APol,continuous_float_like,not_assigned,False,False,0.0106382978723404
VP-3,1.4474398194919966,True,0.006459183730550039,0.006459183730550039,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0030395136778115
