descriptor,mean_standardised_value_high_residual,mean_standardised_value_other,mean_difference_high_minus_other,abs_mean_difference,descriptor_category,descriptor_numeric_type,candidate_super_block,is_near_constant,is_rare_binary_like,dominant_value_ratio,VIP,VIP_ge_1,coefficient_standardised_X,abs_coefficient_standardised_X
nHBd,0.6110501834426063,-0.03226344968576967,0.643313633128376,0.643313633128376,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.4741641337386018,1.0217586379039636,True,0.0230692930199687,0.0230692930199687
nHBDon,0.5856019431014895,-0.03091978259575869,0.6165217256972482,0.6165217256972482,Hbond donor count,integer_low_cardinality,not_assigned,True,False,0.4772036474164133,1.0190669566340689,True,0.0210468098928007,0.0210468098928007
SHBd,0.568180536895816,-0.02999993234809899,0.598180469243915,0.598180469243915,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0633232016210739,1.1227919541192308,True,0.0765003458110495,0.0765003458110495
nHBint10,0.552300745494193,-0.029161479362093404,0.5814622248562864,0.5814622248562864,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.5015197568389058,1.02330510581072,True,0.0639396043928023,0.0639396043928023
MLFER_A,0.5418808954444946,-0.028611311279469222,0.5704922067239638,0.5704922067239638,Molecular linear free energy relation,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.232016210739615,1.765960176241279,True,0.1464583023353383,0.1464583023353383
sumI,0.5346165011556994,-0.028227751261020756,0.5628442524167201,0.5628442524167201,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0070921985815602,1.0978426847648142,True,0.0366777593936031,0.0366777593936031
nBondsD2,0.5196821176050885,-0.02743921580954875,0.5471213334146373,0.5471213334146373,Bond count,integer_low_cardinality,block_Y_topological_connectivity_structure,True,False,0.32016210739615,1.3324595350548654,True,0.0460007071926685,0.0460007071926685
ATSm5,0.4728785617243995,-0.02496798805904838,0.4978465497834479,0.4978465497834479,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545,1.118548784117825,True,0.1508216773128109,0.1508216773128109
TopoPSA,0.45208689653902034,-0.023870188137260447,0.4759570846762808,0.4759570846762808,Topological polar surface area,continuous_float_like,not_assigned,False,False,0.0531914893617021,1.0040155334046743,True,-0.029634496384071,0.029634496384071
ndO,0.447229517154179,-0.02361371850574066,0.4708432356599197,0.4708432356599197,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.4680851063829787,1.4357127683534958,True,0.0733089688019811,0.0733089688019811
SHBint10,0.44677854935919126,-0.023589907406165456,0.4703684567653567,0.4703684567653567,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.5015197568389058,1.0560327642407363,True,-0.1104831142886245,0.1104831142886245
ETA_Eta_R,0.4451488002860015,-0.02350385665510098,0.4686526569411025,0.4686526569411025,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0055724417426545,1.2193537126122338,True,-0.0157416803134615,0.0157416803134615
ndssC,0.44130686902018185,-0.023301002684265496,0.46460787170444734,0.46460787170444734,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.3824721377912867,1.114678295493964,True,-0.0002521455959905,0.0002521455959905
SdO,0.4408766998326962,-0.02327828975116634,0.46415498958386253,0.46415498958386253,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.4680851063829787,1.409745015358176,True,0.0356530089053832,0.0356530089053832
ETA_Eta_F,0.4336690353040243,-0.0228977250640527,0.456566760368077,0.456566760368077,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115,1.110079201414412,True,-0.0394409457575479,0.0394409457575479
SPC-5,0.4252000906355091,-0.022450564785554645,0.44765065542106375,0.44765065542106375,Chi path cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0081053698074974,1.001028392712426,True,0.029241478735949,0.029241478735949
nHBAcc,0.42173515900881703,-0.022267616395665633,0.4440027754044827,0.4440027754044827,Hbond acceptor count,integer_low_cardinality,not_assigned,True,False,0.2968591691995947,1.5735413040510131,True,-0.2022439799229153,0.2022439799229153
ECCEN,0.41790455084205114,-0.022065360284460166,0.4399699111265113,0.4399699111265113,Eccentric connectivity index,integer_count_like,not_assigned,False,False,0.0106382978723404,1.1884859357976405,True,0.1110012732085332,0.1110012732085332
nHBAcc_Lipinski,0.41671857246551497,-0.02200274062617932,0.43872131309169426,0.43872131309169426,Hbond acceptor count,integer_low_cardinality,not_assigned,True,False,0.2537993920972644,1.1123606137090296,True,-0.0195786624218703,0.0195786624218703
Kier1,0.416624268936063,-0.02199776139982364,0.43862203033588665,0.43862203033588665,Kappa shape indices,continuous_float_like,not_assigned,False,False,0.0577507598784194,1.2420549361832909,True,0.0086815368298127,0.0086815368298127
SP-0,0.4144771198672756,-0.02188439192899256,0.43636151179626814,0.43636151179626814,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0263424518743667,1.3124455761820095,True,0.0090335070531508,0.0090335070531508
MW,0.4137983288022591,-0.02184855176075915,0.43564688056301826,0.43564688056301826,Weight,continuous_float_like,not_assigned,False,False,0.0106382978723404,1.291979873884447,True,-0.0014928434649715,0.0014928434649715
SsOH,0.41206351972274,-0.02175695384136073,0.43382047356410075,0.43382047356410075,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.21580547112462,1.63299818099509,True,-0.0326351029164655,0.0326351029164655
SP-2,0.41141960800742117,-0.021722955302792085,0.4331425633102133,0.4331425633102133,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545,1.3797468834480306,True,0.0159930902817188,0.0159930902817188
ATSm3,0.40388111492964834,-0.021324922868285422,0.42520603779793376,0.42520603779793376,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545,1.215660622699671,True,0.0258953739059991,0.0258953739059991
nHsOH,0.4033502018089853,-0.02129689065551441,0.4246470924644997,0.4246470924644997,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.4290780141843971,1.6413339551179102,True,-0.0182938574527107,0.0182938574527107
nsOH,0.4033502018089853,-0.02129689065551441,0.4246470924644997,0.4246470924644997,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.4290780141843971,1.6413339551179102,True,-0.0182938574527107,0.0182938574527107
ETA_Eta,0.39586646819698745,-0.02090174952080086,0.4167682177177883,0.4167682177177883,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115,1.200420082093426,True,0.0058684632719554,0.0058684632719554
ETA_dEpsilon_D,0.3929799835048523,-0.020749343129055946,0.41372932663390827,0.41372932663390827,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0633232016210739,1.0188064096320315,True,-0.0732616890068376,0.0732616890068376
ATSm4,0.3892552421258606,-0.020552676784245463,0.40980791891010604,0.40980791891010604,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0050658561296859,1.2067692998927804,True,0.029138548742162,0.029138548742162
fragC,0.38148117456567016,-0.020142206017067458,0.4016233805827376,0.4016233805827376,Fragment complexity,continuous_float_like,not_assigned,False,False,0.011144883485309,1.084814039477524,True,-0.0208058856525018,0.0208058856525018
WPOL,0.3787506838819245,-0.019998036108965608,0.3987487199908901,0.3987487199908901,Wiener numbers,integer_count_like,not_assigned,False,False,0.0415400202634245,1.408166000201465,True,0.0148003163750169,0.0148003163750169
SHssNH,0.37694277579796576,-0.019902578562132643,0.3968453543600984,0.3968453543600984,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.8302938196555217,1.2156068614873028,True,0.0577460940020654,0.0577460940020654
nHeavyAtom,0.3765008851449804,-0.019879246735655002,0.3963801318806354,0.3963801318806354,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0795339412360689,1.3722558843238348,True,0.0079365639793721,0.0079365639793721
SPC-6,0.3747676498189872,-0.019787731910442943,0.3945553817294301,0.3945553817294301,Chi path cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545,1.006627026912028,True,-0.010468326580718,0.010468326580718
nHssNH,0.37373433415640667,-0.019733172843458262,0.39346750699986494,0.39346750699986494,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.8302938196555217,1.103216215948416,True,0.043822125750918,0.043822125750918
nssNH,0.37373433415640667,-0.019733172843458262,0.39346750699986494,0.39346750699986494,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.8302938196555217,1.103216215948416,True,0.043822125750918,0.043822125750918
VABC,0.37224988900529343,-0.019654794139479494,0.39190468314477295,0.39190468314477295,Van der Waals volume,continuous_float_like,not_assigned,False,False,0.0106382978723404,1.3730192564991075,True,0.0005518473402688,0.0005518473402688
Zagreb,0.37129765696106903,-0.019604516287544522,0.39090217324861354,0.39090217324861354,Zagreb index,integer_count_like,not_assigned,False,False,0.0349544072948328,1.4272259534974456,True,0.0127822727744498,0.0127822727744498
SssNH,0.3680780923824268,-0.01943452327779211,0.3875126156602189,0.3875126156602189,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.8302938196555217,1.1025633674705717,True,0.0299317960095796,0.0299317960095796
Kier3,0.3660101612245142,-0.01932533651265479,0.38533549773716896,0.38533549773716896,Kappa shape indices,continuous_float_like,not_assigned,False,False,0.0162107396149949,1.013037889065968,True,0.0008281406793678,0.0008281406793678
MLFER_L,0.3612105681539737,-0.019071917998529957,0.38028248615250365,0.38028248615250365,Molecular linear free energy relation,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0040526849037487,1.2467921508213795,True,-0.043600781057707,0.043600781057707
ATSm2,0.35994029169373204,-0.01900484740142932,0.37894513909516137,0.37894513909516137,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0116514690982776,1.2551463678491313,True,-0.0059715064680741,0.0059715064680741
ETA_Alpha,0.3585325044953705,-0.018930516237355248,0.37746302073272575,0.37746302073272575,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0187436676798378,1.406464903407321,True,0.0024441743878191,0.0024441743878191
ATSc1,0.3583400414549281,-0.018920354188820238,0.37726039564374836,0.37726039564374836,Autocorrelation (charge),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0035460992907801,1.0255260859398587,True,-0.0793947818326056,0.0793947818326056
WTPT-1,0.3552766392214775,-0.018758606550894303,0.3740352457723718,0.3740352457723718,Weighted path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545,1.4100519277648336,True,0.0072021684899732,0.0072021684899732
nBondsS3,0.35167219332856536,-0.018568291807748348,0.3702404851363137,0.3702404851363137,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0628166160081053,1.1595735030627836,True,0.0032947780249789,0.0032947780249789
SP-1,0.3511958614923113,-0.01854314148679414,0.36973900297910545,0.36973900297910545,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0116514690982776,1.394672176215552,True,0.0059740825459803,0.0059740825459803
ETA_Eta_R_L,0.35119534481897724,-0.01854311420644188,0.36973845902541913,0.36973845902541913,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0116514690982776,1.394672231900146,True,0.0059737704145709,0.0059737704145709
nBonds,0.3489046298463514,-0.0184221644558873,0.3673267943022387,0.3673267943022387,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0678824721377912,1.4287860027045003,True,0.0093023255000072,0.0093023255000072
Kier2,0.3480878360899835,-0.018379037745550917,0.36646687383553445,0.36646687383553445,Kappa shape indices,continuous_float_like,not_assigned,False,False,0.0288753799392097,1.1729930016935193,True,-0.0168163599264153,0.0168163599264153
ETA_Beta_s,0.34666349758096765,-0.018303832672275106,0.36496733025324274,0.36496733025324274,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.03596757852077,1.2983133207053636,True,-0.0135697189445232,0.0135697189445232
WTPT-3,0.343429813772974,-0.018133094167213374,0.36156290794018736,0.36156290794018736,Weighted path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0035460992907801,1.021274839584346,True,-0.0271698409505038,0.0271698409505038
McGowan_Volume,0.34263794580985146,-0.018091283538760414,0.3607292293486119,0.3607292293486119,McGowan volume,continuous_float_like,not_assigned,False,False,0.0106382978723404,1.3821425156381042,True,-0.0033147293090886,0.0033147293090886
SP-3,0.34237920385827403,-0.01807762196371741,0.36045682582199146,0.36045682582199146,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545,1.440904273008526,True,0.0010614749521317,0.0010614749521317
VP-0,0.3401775476572023,-0.017961374516300203,0.3581389221735025,0.3581389221735025,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0060790273556231,1.3671253998029365,True,-0.0083055757263886,0.0083055757263886
ATSp1,0.3251190978591378,-0.017166288366962393,0.34228538622610016,0.34228538622610016,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115,1.4857455153774255,True,-0.0290102370899233,0.0290102370899233
CrippenMR,0.3248339792778339,-0.017151234105869436,0.34198521338370336,0.34198521338370336,Crippen logP and MR,continuous_float_like,not_assigned,False,False,0.0040526849037487,1.4120493487353485,True,-0.0211479775944971,0.0211479775944971
ATSp2,0.319444245151517,-0.01686665614399937,0.33631090129551633,0.33631090129551633,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115,1.4936379229632055,True,-0.0403995829413899,0.0403995829413899
SHsOH,0.31621515642623876,-0.016696160259305454,0.3329113166855442,0.3329113166855442,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.21580547112462,1.6354710899352205,True,0.053009878140724,0.053009878140724
ATSp3,0.31252413231824855,-0.016501274186403604,0.3290254065046522,0.3290254065046522,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115,1.464289946769849,True,-0.0640305257786044,0.0640305257786044
ATSp5,0.3118203299375784,-0.016464113420704068,0.3282844433582825,0.3282844433582825,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115,1.4619354937589808,True,-0.1253170081379186,0.1253170081379186
VP-2,0.3113747422122232,-0.01644058638880556,0.3278153286010288,0.3278153286010288,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0035460992907801,1.4240319165790518,True,-0.0050622664028416,0.0050622664028416
AMR,0.31126319298412514,-0.016434696589561523,0.3276978895736867,0.3276978895736867,ALOGP,continuous_float_like,not_assigned,False,False,0.0045592705167173,1.55020851170119,True,0.0176349332814425,0.0176349332814425
