score_coordinate,score_bin,n_compounds,mean_score,mean_residual,median_residual,mean_abs_residual,median_abs_residual,prop_large_residual
T1,"(-17.762, -7.111]",395,-9.469122146476606,-0.008593008037860506,-0.0610318235114588,0.5623281275101326,0.4613281296498739,0.027848101265822784
T1,"(-7.111, -4.006]",395,-5.762331743645043,0.016664378463621763,0.0525858221929516,0.5899602661512323,0.4878036744373855,0.03291139240506329
T1,"(-4.006, 2.064]",394,-0.898929942902204,-0.0007897358065590841,0.02570082751824545,0.7532996992657085,0.587968884147589,0.09390862944162437
T1,"(2.064, 8.409]",395,5.550345205477053,-0.03606169401901873,-0.0081971888189089,0.7063014387336892,0.5298296716187938,0.060759493670886074
T1,"(8.409, 58.58]",395,10.577762855539453,0.039476407890806635,0.0741679759269171,0.5937863960987618,0.4236890308054724,0.035443037974683546
T2,"(-9.408, -4.265]",395,-5.67298923739097,-0.004053989691047545,0.01405418625429,0.5365331652495254,0.3848619932502792,0.027848101265822784
T2,"(-4.265, -2.542]",395,-3.4549563265768497,-0.03548224826605135,0.0525858221929516,0.5785211158091964,0.4613281296498739,0.027848101265822784
T2,"(-2.542, -0.247]",394,-1.398609594364724,0.04954534676336193,0.037381629288459395,0.6488146714589851,0.504192498342479,0.06852791878172589
T2,"(-0.247, 3.911]",395,1.6869991004631204,0.015622104457739134,-0.0037151249137377,0.7605304608607251,0.6197733346899712,0.07088607594936709
T2,"(3.911, 143.3]",395,8.83601527408622,-0.014807434184227477,0.0052769734711386,0.681011995323354,0.5274114290806304,0.05569620253164557
T3,"(-11.837, -3.106]",395,-5.635598509578635,0.03258913743588632,0.025065778937594,0.6414412497469872,0.5242467176202119,0.035443037974683546
T3,"(-3.106, -0.8]",395,-1.9276573191094692,-0.04296382138496214,-0.0137387668387622,0.6409080938177422,0.4690482281767423,0.053164556962025315
T3,"(-0.8, 1.049]",394,0.10096471485181144,0.06702881123768573,0.08577070951842145,0.6200202915126823,0.4861022439281965,0.04314720812182741
T3,"(1.049, 2.86]",395,1.9248969822829738,-0.05842876739549546,-0.0377542288238537,0.6457697127643073,0.5161287956214604,0.05063291139240506
T3,"(2.86, 78.879]",395,5.537649738426362,0.012642681122038278,0.0640570575698156,0.6571991636956459,0.4798027542326171,0.06835443037974684
T4,"(-11.059999999999999, -3.004]",395,-5.375116277798399,-0.020573702083501618,-0.0096978476500835,0.759747487000112,0.6130635036324907,0.0810126582278481
T4,"(-3.004, -1.096]",395,-2.0094344973347655,0.0005570921125334977,-0.005717699629951,0.5800002716741588,0.4424529467951537,0.0379746835443038
T4,"(-1.096, 0.607]",394,-0.2382744406579455,0.008881630266512775,0.0411538387368444,0.6111523830443243,0.5025265080262691,0.04314720812182741
T4,"(0.607, 2.809]",395,1.5798133372585308,0.0469372273571753,0.0442662788939509,0.6550614445098624,0.5125222152702174,0.03291139240506329
T4,"(2.809, 17.577]",395,6.0424086521005345,-0.025081414690658804,0.0244322885599181,0.5993544749077216,0.4440720809360092,0.05569620253164557
T5,"(-12.641, -2.999]",396,-4.921469833252228,-0.026101823160916904,-0.008022494039758351,0.6396449527486261,0.4879118720839646,0.05555555555555555
T5,"(-2.999, -1.216]",394,-2.04361281813276,0.02482891783581766,0.10923725666411774,0.6427761503346782,0.5115241037542821,0.04568527918781726
T5,"(-1.216, 0.57]",394,-0.32559513136809304,0.07038401102896673,0.06884561507027781,0.6350696386043235,0.502428292628907,0.03299492385786802
T5,"(0.57, 2.516]",395,1.4841359459362202,0.0204801644572175,0.0098828798014904,0.6030111648784211,0.4739297967181262,0.04050632911392405
T5,"(2.516, 21.544]",395,5.81300325930737,-0.0785857963844436,-0.0824221087092764,0.6848826316667026,0.4844815728856773,0.0759493670886076
