descriptor,VIP,VIP_ge_1
nAcid,0.6624181290718693,False
ALogP,1.1085357816968093,True
ALogp2,0.7795622923264849,False
AMR,1.55020851170119,True
apol,1.4504885490346109,True
naAromAtom,1.2985927601551481,True
nAromBond,1.199929527481246,True
nAtom,1.3953487391310442,True
nHeavyAtom,1.3722558843238348,True
nH,1.3360874999472532,True
nC,1.6512180909222172,True
nN,1.1904960591775011,True
nO,0.8210429581823947,False
nS,0.8702369052015778,False
nP,0.2844338394402036,False
nF,0.9824427044477663,False
nCl,0.4332439090892231,False
nBr,0.500778276508819,False
nI,0.4631429250900393,False
nX,0.9286832514980281,False
ATSc1,1.0255260859398587,True
ATSc2,1.0690742863249212,True
ATSc3,1.5165571921451309,True
ATSc4,1.3995295264347254,True
ATSc5,0.8749945354845327,False
ATSm1,0.6924477045720945,False
ATSm2,1.2551463678491313,True
ATSm3,1.215660622699671,True
ATSm4,1.2067692998927804,True
ATSm5,1.118548784117825,True
ATSp1,1.4857455153774257,True
ATSp2,1.4936379229632057,True
ATSp3,1.464289946769849,True
ATSp4,1.4886801240398375,True
ATSp5,1.4619354937589808,True
nBase,0.9277219459894148,False
BCUTw-1l,0.7531358974982364,False
BCUTw-1h,0.7389299572661049,False
BCUTc-1l,1.3408093223756365,True
BCUTc-1h,1.2707280227957427,True
BCUTp-1l,0.8533484285381185,False
BCUTp-1h,1.6313301267302183,True
nBonds,1.4287860027045003,True
nBonds2,1.4283885679715378,True
nBondsS,1.3908137656496737,True
nBondsS2,1.2784930863657742,True
nBondsS3,1.1595735030627836,True
nBondsD,1.0095638029540794,True
nBondsD2,1.3324595350548654,True
nBondsT,0.5569818007559911,False
nBondsM,1.0264470950454296,True
bpol,1.261844543645333,True
C1SP1,0.5548358707748744,False
C2SP1,0.42499847033248955,False
C1SP2,1.8014430772323018,True
C2SP2,1.592896654511461,True
C3SP2,1.4862536107773856,True
C1SP3,1.297704050916832,True
C2SP3,0.9503152117095819,False
C3SP3,0.7171460029406914,False
C4SP3,0.7326507779582718,False
SCH-3,0.440286313917598,False
SCH-4,0.5439849341428807,False
SCH-5,0.953225656810327,False
SCH-6,0.9261381450100749,False
SCH-7,0.8201978631626883,False
VCH-3,0.4402863139175982,False
VCH-4,0.5560571855614104,False
VCH-5,0.8816235653793312,False
VCH-6,0.9482132342528418,False
VCH-7,0.7884715588261185,False
SC-3,0.979146956384104,False
SC-4,0.6179361444005879,False
SC-5,0.8366186927098194,False
SC-6,0.6928941712386568,False
VC-3,0.9670372932726718,False
VC-4,0.7473611867693296,False
VC-5,0.7255263607735163,False
VC-6,0.8236678121687823,False
SPC-4,0.996658375671541,False
SPC-5,1.001028392712426,True
SPC-6,1.0066270269120279,True
VPC-4,1.011474453604221,True
VPC-5,0.9780389355300502,False
VPC-6,0.9686057637471204,False
SP-0,1.3124455761820097,True
SP-1,1.394672176215552,True
SP-2,1.3797468834480306,True
SP-3,1.440904273008526,True
SP-4,1.4474230709933806,True
SP-5,1.5484415669687273,True
SP-6,1.491698093165243,True
SP-7,1.5199438233434226,True
VP-0,1.3671253998029365,True
VP-1,1.4383828912205494,True
VP-2,1.4240319165790518,True
VP-3,1.4474398194919966,True
VP-4,1.426660492373055,True
VP-5,1.407780492845951,True
VP-6,1.2545059755910493,True
VP-7,1.1924674256258319,True
CrippenLogP,1.6322256521565923,True
CrippenMR,1.4120493487353483,True
ECCEN,1.1884859357976403,True
nHBd,1.0217586379039636,True
nwHBd,0.669825927872126,False
nHBa,0.9007162197942606,False
nwHBa,1.3742132768715827,True
nHBint2,0.9947016604354979,False
nHBint3,0.9720804119307007,False
nHBint4,0.6409784742646029,False
nHBint5,0.8866462079809929,False
nHBint6,0.9455755720245729,False
nHBint7,0.8827348335100463,False
nHBint8,0.9413914594484871,False
nHBint9,0.909095769211569,False
nHBint10,1.02330510581072,True
nHsOH,1.6413339551179102,True
nHdNH,0.8972824410067307,False
nHsSH,0.2618341071474338,False
nHsNH2,0.9262799981390122,False
nHssNH,1.103216215948416,True
nHaaNH,0.8431168044219128,False
nHtCH,0.515358955578174,False
nHdCH2,0.5201518183785473,False
nHdsCH,0.5895712936617493,False
nHaaCH,1.509742291621235,True
nHCHnX,0.6404461450794509,False
nHCsats,1.1688697187292378,True
nHCsatu,0.9178471253015665,False
nHAvin,0.5666970273347851,False
nHother,1.4753459811250393,True
nsCH3,0.8258458763474553,False
ndCH2,0.5201518183785471,False
nssCH2,1.152548980061604,True
ntCH,0.515358955578174,False
ndsCH,0.5895712936617493,False
naaCH,1.509742291621235,True
nsssCH,0.98623703234613,False
ntsC,0.5398771656272788,False
ndssC,1.114678295493964,True
naasC,1.353753196610474,True
naaaC,0.6641874777387171,False
nssssC,0.7058595518186048,False
nsNH2,0.9262799981390122,False
ndNH,0.8972824410067307,False
nssNH,1.103216215948416,True
naaNH,0.8431168044219128,False
ntN,0.49061638271365254,False
ndsN,1.0835240309675047,True
naaN,1.3106090241732427,True
nsssN,0.9823955538229046,False
naasN,0.7723699591098252,False
nssssNp,0.19120010831441306,False
nsOH,1.6413339551179102,True
ndO,1.4357127683534958,True
nssO,1.0448662110685505,True
naaO,1.0732969916206638,True
nsOm,0.4075855015524308,False
nsF,0.9824427044477663,False
ndsssP,0.2844338394402036,False
nsSH,0.2618341071474338,False
ndS,0.7514458018700428,False
nssS,0.8959458965787074,False
naaS,0.6681600883712322,False
ndssS,0.27208016003226354,False
nddssS,0.5569704520751656,False
nsCl,0.4332439090892231,False
nsBr,0.500778276508819,False
nsI,0.4631429250900393,False
SHBd,1.1227919541192308,True
SwHBd,0.6274318516613191,False
SHBa,0.8418183398735416,False
SwHBa,1.5768584421709673,True
SHBint2,0.9641395183551109,False
SHBint3,0.9418063475612514,False
SHBint4,0.9106024507522475,False
SHBint5,0.9142386235456538,False
SHBint6,0.9269881261549539,False
SHBint7,0.718775968641736,False
SHBint8,0.986641910357004,False
SHBint9,0.8272555031319401,False
SHBint10,1.0560327642407363,True
SHsOH,1.6354710899352203,True
SHdNH,0.9010037180073581,False
SHsSH,0.2618341071474338,False
SHsNH2,0.9248963303975644,False
SHssNH,1.2156068614873028,True
SHaaNH,0.8819979144516235,False
SHtCH,0.5159036470874632,False
SHdCH2,0.5010271529125438,False
SHdsCH,0.6099985986290201,False
SHaaCH,1.3537472132802064,True
SHCHnX,0.6277006387010527,False
SHCsats,1.173912269094199,True
SHCsatu,0.8856294605085364,False
SHAvin,0.5614746556750662,False
SHother,1.3053486438176929,True
SsCH3,0.7746695318839141,False
SdCH2,0.5252744757285576,False
SssCH2,1.2560293371146825,True
StCH,0.5214804731960447,False
SdsCH,0.6700285600765954,False
SaaCH,1.54981589738568,True
SsssCH,0.9183774610836767,False
StsC,0.5276564180902754,False
SdssC,0.8534380485758523,False
SaasC,1.3171744354492056,True
SaaaC,0.6128925861421429,False
SssssC,0.6724876828535157,False
SsNH2,0.9232124450186754,False
SdNH,0.8935339109950252,False
SssNH,1.1025633674705715,True
SaaNH,0.8165604155198294,False
StN,0.4912167683872854,False
SdsN,1.1097030924801432,True
SaaN,1.321411937162831,True
SsssN,1.2064466939756793,True
SaasN,0.8153581001998764,False
SssssNp,0.19120010831441306,False
SsOH,1.63299818099509,True
SdO,1.409745015358176,True
SssO,1.1004091342794833,True
SaaO,1.0754780968820417,True
SsOm,0.40765154163359246,False
SsF,1.0001294415436424,True
SdsssP,0.2844850629985826,False
SsSH,0.26183410714743394,False
SdS,0.7563962747207833,False
SssS,0.9109473785237309,False
SaaS,0.6477269168829302,False
SdssS,0.27208016003226354,False
SddssS,0.5616277547730444,False
SsCl,0.4279838671012555,False
SsBr,0.5837252674614843,False
SsI,0.46487399120571615,False
minHBd,1.5546667802371708,True
minwHBd,0.6249151791144448,False
minHBa,0.8936265341898804,False
minwHBa,0.786327452256719,False
minHBint2,0.49699647696407684,False
minHBint3,0.8102424125767558,False
minHBint4,0.7536309165120166,False
minHBint5,1.0542632704821688,True
minHBint6,0.650691175556538,False
