descriptor,PLS1_x_loading,PLS2_x_loading,PLS3_x_loading,PLS4_x_loading,PLS5_x_loading,PLS6_x_loading,PLS7_x_loading,PLS8_x_loading,PLS9_x_loading,PLS10_x_loading,PLS11_x_loading,PLS12_x_loading,PLS13_x_loading,PLS14_x_loading,PLS15_x_loading,PLS16_x_loading,PLS17_x_loading,PLS18_x_loading,PLS19_x_loading,PLS20_x_loading
nAcid,0.009194462162955365,0.006402562406935115,0.01739476429654283,-0.025918290867315195,-0.050524594478442326,0.04809209835002788,-0.06997980640165842,0.058145662120752555,0.032697565354670534,0.006402072123234913,0.08448883428755687,-0.06239524341687018,0.09028867262296739,0.149032476564548,-0.026871116571416317,-0.11031931231884222,0.009914473778678582,0.011908961323919342,0.0600151623283463,0.04745308385814134
ALogP,-2.723758855016492e-05,-0.07918714662342104,-0.03880285888158372,-0.008045039407493572,-0.06499915478138225,0.028653053948195503,-0.04863662671763355,0.07733190125057947,0.010513119166818583,0.06709937125967359,-0.012120421039957783,0.01139726819347756,0.06885882213545401,0.14715940906990135,-0.14210054383337836,-0.05709723424230674,0.03162090126644584,0.08761289365007753,0.06677825842033411,0.025434263728329083
ALogp2,0.030490129148776978,0.07986743802756034,0.1031450648556599,-0.007277017085242323,0.021557988780585503,-0.06560376823380053,0.03894180215421431,-0.0010251267783613442,-0.00645704546768007,-0.021297924404358085,-0.03119818998131216,-0.05841128755072074,0.038671079311525705,0.029310416322323556,-0.05652538124275816,-0.013138892308522242,0.009952939983600919,0.026057474859652315,0.024160574715542248,-0.024713694391658082
AMR,0.11999341096733616,0.0459044181175083,-0.004990069506565953,-0.030797651684505593,-0.038125867841896144,-0.02148962437058275,0.02368313682923261,-0.012029716045049491,-0.004872769925465671,0.009663932556059776,0.005891180533412498,-0.00262002238726511,0.010887409892068198,0.03128613728875275,-0.04388972387147775,-0.026202488489285757,0.011433281782183898,-0.002312435275549574,-0.0074302808130518525,0.002313550452978203
apol,0.11727657674483583,0.06159886939070582,0.0009492521195906432,0.0016259640525725485,0.005095199352725601,-0.006358930475561798,0.020970741105212548,-0.023356684882491048,-0.027334298731568833,0.014623737545942447,0.017970895420841536,-0.013068492838746785,-0.009185298555466015,0.008518921763376774,-0.03243533165137848,-0.03144529569583594,0.017037845327652328,-0.011461333860820096,-0.010637322769296962,-0.0032091687726905245
naAromAtom,0.06064449297685078,-0.04334324598133031,-0.01932177680829105,-0.10482666170765981,-0.1230733003838784,-0.12907719858254463,0.05786353702893511,0.0315061297112696,0.03514010406001321,0.023588585143634693,0.00466369696504247,0.023033955626397786,0.0034818701643072737,0.0452698444958751,-0.07550469589099426,-0.03716202744785474,-0.009127903013435882,-0.02079883021116251,-0.00905482740259564,0.0011793907123164634
nAromBond,0.05124655360417717,-0.043843294054024214,-0.015775785417627596,-0.0987355202814842,-0.12069339327154992,-0.15203848080461985,0.06828491967674136,0.049012032142710917,0.04834001641300551,0.026386801686174844,-0.0037711053063510585,0.033200395312629645,5.9256359189723805e-05,0.0509894746787601,-0.0791211966261051,-0.03688786783029536,-0.007775462468664826,-0.026493588866328657,-0.015423781909478997,-0.01493605732156214
nAtom,0.11349459276697556,0.0654061413461776,0.007332293882191787,0.00972587720331864,0.023734743086681432,0.001559015393991418,0.021654914309573406,-0.026195660631988527,-0.03538088677488361,0.02654915260689419,0.03416586908534212,-0.01908788538598448,-0.02025631919517751,-0.005481145258408073,-0.02975640244420588,-0.03876331468187391,0.023321671788277668,-0.010511829397202176,-0.006080627444314846,-0.008013252857440385
nHeavyAtom,0.11267044283023338,0.06842194522176477,0.012847663301562836,-0.03537625160183017,-0.02943113724592618,-0.01486137084407929,0.0054899305154280835,-0.001670735984110632,-0.006526588543462515,0.0015826128754307747,0.007297581687947346,-0.0008487152995984262,-0.01360576543366456,-0.0014607701365756175,-0.026597835636283592,-0.026945478602394414,0.018017200610965695,0.0016750454337104807,-0.001092585089691411,-0.008959878143760794
nH,0.10610529032532535,0.05853217779545504,0.002682448212172508,0.04283394503851012,0.06189653585390798,0.013752528382490227,0.03223933222736897,-0.04272369023408872,-0.054504837855322334,0.043383138233623164,0.05188745529682613,-0.0314075524921464,-0.023810414897320283,-0.008106855488884863,-0.030023803041876622,-0.04488352900390407,0.02565091747797284,-0.018901645198703586,-0.009389100931186787,-0.006738644221665074
nC,0.12467647060537738,0.03563527348751525,-0.010464171847214465,-0.016151622094317104,-0.001517618423472248,-0.011760590302625861,0.015447846586230767,0.005946874913532174,-0.004709833551158214,0.01066184986151476,0.030820056088531427,-0.026962410832464086,-0.009942289001974277,-0.004317904048315122,-0.03907288886325463,-0.05031733892589778,0.040202344157323947,0.007232821683402854,-0.002883082495037426,-0.002897360980494953
nN,0.0112726309833227,0.11315218428393037,0.02438902267382575,0.012960760753440978,-0.042356089168073645,-0.09563435923410972,0.09743416600664498,-0.052269018210195285,-0.009383765894806419,-0.02104669400982176,-0.03790559471111555,-0.004140938460357888,-0.007842919242525765,-0.001605582345984886,-0.048167571221513904,-0.04972444019809128,0.013093230408518253,0.012940671325529255,0.0317359453823281,-0.06025720314945292
nO,0.04437009057404622,0.05160919663871246,0.05294202107015401,-0.13747003342973846,-0.013782276199942226,0.08229867882561186,-0.04100124956949494,0.014189112945645123,0.04432641495734474,-0.005777119796397797,0.03123056147136844,0.03961779746330665,-0.007024103737233703,-0.06757600059026463,0.1221641302322786,0.09700583069039223,-0.07900914549593718,-0.019116897516957356,-0.009603571841134587,0.07305374277076371
nS,0.011380341348413814,0.03729753697290537,-0.02082240549790189,0.02500023005745603,-0.10837554236751379,0.050150629607217174,-0.01592419275381026,-0.1028994628819758,0.005833762639908674,-0.060501677477078256,-0.12010924304589314,0.08918935941507243,0.05110953849915645,0.14090198268647855,-0.008564080145022728,0.10115898765743114,-0.11945842754654544,-0.12066365992317735,-0.10259168374718673,0.018566730571595715
nP,-0.0019372072708616038,0.009986236117692534,-0.011268925756057533,-0.005309007236399369,-0.00774262657794129,0.02695898426874125,-0.012613234002054097,0.017528783393839786,-0.018137259803819,0.03436082399025959,-0.006956603512809866,0.03781552888641057,-0.00479431503868547,0.04640753163803341,0.003808283444027071,-0.0033438249504199945,-0.00716737915916772,-0.08423513318943705,-0.010262443928413169,-0.028534707427982146
nF,-0.004385754014930361,-0.000990801708256285,0.06618512119804754,-0.007322637998392882,-0.07412736890839909,0.008071118613753718,-0.20262286935603027,0.10998626634238239,-0.05771563830938243,0.04015503775263247,-0.012561011466931265,0.03479567932518099,-0.0954002673397145,-0.02223878913192082,-0.09355647152176606,-0.08339737395112516,0.09221083608907435,0.03695978734721169,0.04727385700007056,-0.1399233858664905
nCl,-0.016692662109673437,-0.0006852832876616171,0.005861462590496585,0.00599519558997704,-0.02082869819044628,-0.03291801621778579,-0.00048589237868155815,-0.015462266535950972,-0.04097568356747844,0.002972094773989214,-0.0469124762095105,0.09571094149350512,0.00115536445871363,0.16191344021358053,0.02827488350392556,0.11905715852189871,0.0197666245677213,0.06385350446528343,-0.04850104405410757,0.14974247686444808
nBr,-0.022773196309194017,-0.0008312483735558153,0.006738879358085248,0.024598878482186507,-0.006681073754594281,-0.05761553944489007,-0.03931637404647206,0.007570300630735095,-0.04284374877726445,-0.028550131422825382,-0.08976470858146285,0.027348524762287746,0.08401100356934146,0.03216548408992974,0.028104250850577155,0.07871437359807473,-0.08940992009326361,-0.026661954023768652,0.0009160375947240365,-0.05995093978312758
nI,-0.006308446244159818,0.0006104299510972121,-4.446288097227703e-05,0.0024543910602678547,0.02265225384962805,-0.0262480032918157,-0.023458196599481163,-0.0030544533428027037,-0.10408540181440924,-0.008503251659866823,-0.09345197802026918,-0.04645527122674006,0.06711624075080094,-0.037869070507299776,-0.017299143422795676,-0.019408521068689764,-0.09950916987041185,-0.033832176051346315,0.0702145787355593,0.031246478254454958
nX,-0.018158694891279862,-0.001363244192351394,0.06323445575377043,0.0034779644902100297,-0.07470545286555613,-0.025846363233666028,-0.19370004427851029,0.09315950800656139,-0.08973203698535445,0.027792185436212164,-0.06508886409050577,0.0754206325805887,-0.05392669185831916,0.05475660022722641,-0.06433095466716104,-0.0023457208487085127,0.05563428098202242,0.0490447315063502,0.02763767190482013,-0.07635862191662787
ATSc1,0.04711070851409044,0.09983563823688382,0.032523581766668815,-0.09534750084758199,-0.060572003274626494,0.02725673613204334,-0.03906661464163017,-0.024326377993052026,-0.008269440207621192,0.00830830796862926,0.006857793909659456,0.07419778856421327,-0.08061921900752206,-0.06093854063133658,0.04434685824342383,0.032641147164638035,-0.013186241392442198,0.05440056935564125,0.04791374458584523,-0.04843970056147784
ATSc2,-0.04180712737846667,-0.09630989428899574,-0.0053801928782589055,0.08972583724685965,0.06676902932754705,-0.03596816945598898,0.030792404860176207,0.036665563967638,0.0446040003976754,-0.03078026370072734,-0.007207240620229644,-0.03614585565725768,0.06165100826835212,0.04816603101717304,0.016964801385336025,-0.015955723299624837,0.00046160150050356585,-0.05759592137378952,-0.02186977720588318,0.07071085665054141
ATSc3,-0.042515198736318836,0.04005346138409979,-0.04171643869207078,-0.05676153134632428,-0.011451563215909658,0.03501035220084399,-0.019577610501584224,0.04430331784175,-0.05744576123363954,0.015969297898885043,-0.031061155644669235,-0.14125043297337078,0.04182773861503089,-0.025872975207681895,-0.10899751748095753,0.00157695477138649,0.029853157153897587,-0.024948085741306927,-0.10774777601759519,-0.008852252105030522
