descriptor,PLS1_weight,PLS2_weight,PLS3_weight,PLS4_weight,PLS5_weight,PLS6_weight,PLS7_weight,PLS8_weight,PLS9_weight,PLS10_weight,PLS11_weight,PLS12_weight,PLS13_weight,PLS14_weight,PLS15_weight,PLS16_weight,PLS17_weight,PLS18_weight,PLS19_weight,PLS20_weight
nAcid,0.014215412516216845,-0.00928619373890485,0.03154622878135276,0.023605523464586175,-0.05744185374361393,0.010836838632877347,-0.05064169756402365,0.018866385758526526,0.0457504355208889,0.01637425369903309,-0.01296118764469149,-0.10391426370754508,-0.0437415174622531,0.1515672343994787,0.002574057329506494,-0.027493294566377086,0.10127106678580912,-0.1051803527326836,0.11829797538668287,0.06866794928589977
ALogP,0.041164671531645415,-0.07618399339818704,-0.0060386022848477215,0.05465281905799594,-0.07272220980144738,0.01209922858127875,-0.022501891655667156,0.025497218860220997,0.06037431220923485,0.06254868195394915,0.005914687529089006,0.019231447984086655,0.008253540418686594,0.06853511834886682,-0.07984330061780387,-0.058130297765459533,-0.001263122964089248,0.03785991961814754,0.05026655203222272,-0.019453848525595743
ALogp2,0.007235898841458705,0.04300844913604825,0.0741143584240933,-0.04842502502828836,0.047726894343494954,-0.04099719208330421,0.033448130464270955,-0.005359662116052281,0.005048638820412433,0.014433376806412098,-0.04644120208418029,-0.016254140819547368,0.0444138025654364,-0.0064941240549117926,-0.03635966257508128,-0.018828961422970438,-0.006957226544771415,0.019468953708505734,0.006656531548183758,-0.020623005058305936
AMR,0.09308669906448203,0.0497636746088311,-0.007760015330053608,-0.0046204420187150996,-0.030362512850098656,-0.01216236403331705,0.012678700958921976,-0.010735999777816965,-0.0015068526752001854,0.004222395709446207,0.007072552741681901,0.0012597372555977278,0.0040874416828603636,0.007689703154331779,-0.023962278919468213,-0.018606482538168788,0.009287608493746205,0.0024703490563549816,-0.004832154904434281,0.0030610735613046014
apol,0.08391355479480556,0.06170455068173846,-0.00021249907601558326,-0.0019378732948332103,0.004133636038285568,0.0015064212680804916,0.010691504159688748,-0.010028490952544971,-0.015523979397652663,0.014815528123510337,-0.00024927681525319117,-0.019428787649270828,-0.00670075894305486,-0.002809626678658542,-0.011504188979332792,-0.019543646542205882,0.014552102576037047,0.0028618766397866553,-0.014471062683311555,-0.0045168557277320606
naAromAtom,0.07126159793522194,-0.019636221562254422,-0.04766899358350909,-0.0472849217451226,-0.06674171316711316,-0.08825118406007804,0.05549548428565684,-0.002310287780792566,0.03938758478518907,0.005328278462140922,0.023733549128592744,0.020334830175459416,-0.002843608597179472,0.007153129615958819,-0.038707685586867616,-0.03435778803200298,0.0034287332033135767,-0.01445666243607194,-0.006407635174915997,0.0031188827735268688
nAromBond,0.06261574674077768,-0.021027200568298727,-0.0458775506679208,-0.050211617794326376,-0.05628207252084033,-0.10090919862154776,0.06950088832124793,0.0011863069812125522,0.05570488964875849,0.009238910775006659,0.022287704061642055,0.02778739229482089,-0.005702758985377337,0.006515940399607713,-0.045163062641614286,-0.03170709684723074,0.006334509595715792,-0.016245043624427052,-0.010354336452852466,0.005972745741953722
nAtom,0.0792576754106919,0.0633208108474532,0.004193086589272816,-0.005236393130388715,0.01735449007261948,0.009995544434548972,0.011467915011349101,-0.009938503299149175,-0.01893548194345766,0.020630039789255514,0.007693274669777742,-0.02822862532585548,-0.009630040229720548,-0.012016663661579528,-0.006636846650980436,-0.021586992822855113,0.021001425461717016,0.002671337875256699,-0.013319251291898013,-0.008528439675141046
nHeavyAtom,0.07678816512217934,0.0663638871421486,0.004138248464145832,-0.01452784597156999,-0.02418172112057032,-0.008223932815953844,0.009022380511429914,0.0034462813740905253,-0.005960032729390764,0.0007107194445465489,0.0011332299034035277,-0.006573257391060535,-0.006030974625702632,-0.008565906630344925,-0.007215296237334244,-0.018097698010981232,0.01081814873506365,0.00828838719488105,-0.006681608370414401,-0.006584904658158144
nH,0.07551655975290376,0.05657352858272235,0.00393836168992055,0.0020949418415524288,0.04725249649829269,0.022941903049570125,0.012491270661536439,-0.019266338327719196,-0.027321889944877362,0.03409981710575599,0.012065852009376774,-0.042463126259183366,-0.011647374374454853,-0.013754501226681348,-0.005735208194445552,-0.02267853791561027,0.02714996080339705,-0.0017258733118188105,-0.01735306980225141,-0.009383030465694575
nC,0.10061858772184654,0.04449479594221241,-0.017814319991423796,-0.012260504534534616,-0.004513242947529905,0.0046930580924376426,0.02236571942253852,0.006749122091205375,-0.0009344153246481226,0.004736096741452507,0.007701905299402375,-0.02465166831057808,0.002434435679460101,-0.01399614467230119,-0.009828294392303264,-0.02730601126587052,0.028135865559217973,0.0138923358830938,-0.006728257426646699,-0.004530328296523299
nN,-0.040773222228051006,0.09625824639223421,0.03396955276729977,0.015980920431763527,-0.003503033295495013,-0.06086865921091889,0.047257597438396255,-0.04895258924209893,-0.003862802060437467,0.0069258072236946045,-0.03635682268951757,0.001651508138059663,0.006102514034772531,-0.015770109353710662,-0.014384137238191898,-0.031543977464440195,0.022229184810007276,-0.010518375027660282,0.023701203738738363,-0.009466413900699749
nO,0.0157608462856371,0.05291248996581903,-0.002620602237929352,-0.0926819135687877,-0.05194899999548169,0.05979342555517184,-0.030591767132379325,0.01015555930800372,0.00469807116396947,-0.049712020933493944,0.05710370328302935,0.02758940868201004,-0.012672263801899585,0.006387187841057853,0.07510993147812862,0.04393504182674097,-0.06488945803779692,-0.016256229117547344,-0.002890197817191729,0.007909598092871192
nS,0.0014250313305550347,0.0184122389293584,0.03797368810807462,0.09807554325784837,-0.08475884803610123,-0.03699880193881335,-0.11846367972571012,-0.10003819571686128,-0.0033326535279935916,-0.011498867446992632,-0.06369063891280687,0.06016107119989279,-0.030582161307615912,0.09238056743210012,-0.04927370293618669,0.03801103891760341,-0.07721076429546934,-0.04864043170406929,-0.07276669222790602,0.03513936437914253
nP,-0.007869313559192747,0.01097136685238,-0.0019808555405607386,0.015493079154314688,-0.02412799620015747,0.025669936564334025,-0.00175222410171892,0.010596072461238738,0.008074857122672066,0.0328819521743109,0.0019221406031631073,0.009467706001138543,-0.029865270930573493,0.02835133969345764,-0.018336139483390423,0.020676500148869854,0.02936956301119085,-0.04206558430820672,-0.0426048465294427,-0.038105340923896794
nF,0.0190623104362708,-0.043366943302823334,0.08520799515184511,0.03173133762673353,-0.04529806086685264,-0.04516507870635672,-0.07236485330157647,0.1270805744065841,-0.01991055109196399,0.04742482544675636,-0.009448793298076867,0.003318663794027545,-0.03316196805406796,-0.07038180644565613,-0.048889438222943046,-0.04170611822578622,0.05097574479028218,0.04747464090996512,-0.01062339375700743,-0.0682136854787825
nCl,-0.013384694709109338,-0.006118050170256285,0.01092395760383669,0.008444556742167812,-0.002840973518851128,-0.028180246274731372,0.006440129914693213,0.006757072754946039,-0.025879917953950036,0.01893697652618768,-0.02075010633758864,0.027897822372737312,-0.07144312927964563,0.08209757003623283,-0.08105335460834462,0.10208102234198316,-0.020756659169334946,0.04665512512071812,0.01737591062674312,0.07761525475111093
nBr,-0.020256329364625642,-0.004654918375587055,0.0076884596552581124,0.0015839590319774693,0.026694624693485488,-0.052287624979232575,0.00724232323342522,0.04542297029518839,-0.04408879906052666,-0.0015618610272360883,-0.03507758399143519,0.058314735834604774,0.032623820429206724,0.05811088701118373,0.026347666682830114,0.001640142663684339,-0.09423837823217365,0.005559083515361968,-0.03255364109396709,-0.03943348095621241
nI,-0.009682703660747412,0.006240652842746242,-0.011320993058908978,-0.018809954121718132,0.024664162532217194,-0.003151931842005732,0.03139487616402046,0.053515017393154965,-0.06588914468508746,0.047915530961740296,-0.073329433753835,0.021457351470097762,0.0715479592438343,-0.00501158220546445,0.033366918696127096,-0.0473074798281378,-0.034111954099091235,-0.0752928934425787,0.04188869808470486,-0.03337313410154789
nX,0.004523332967600631,-0.04195016685476318,0.08161031607206252,0.030652078616387024,-0.031518805857460815,-0.06765782613905713,-0.05683502075250513,0.13352641420996605,-0.047017249564522676,0.05358382922854085,-0.03352228720631351,0.03366051161044375,-0.04399552416827277,-0.011230601256184877,-0.06701028291194612,0.0025017193283271622,0.00592694724713101,0.05722887340193418,-0.008268623181590254,-0.042304266397888035
ATSc1,-0.006158348179743644,0.09852054809232004,0.002644322735522307,-0.04984046357331114,-0.05278286042135504,-0.012202764267393433,-0.05363795878561097,-0.014215898873501904,-0.011776154397006796,-0.004399019300414442,0.0165161506481491,0.010299033383519783,-0.06731923094486637,-0.015040211514443591,0.04660994784089766,-0.0021130725579278716,-0.042493856424817754,0.033742340704609707,0.020871474431140617,-0.0318608031788068
ATSc2,0.013325071367880217,-0.1019664093029365,0.011373860048315422,0.02794680295524765,0.07165648082794278,-0.007656865415248967,0.0384840290407171,0.0075039989751885415,0.033965857379142,-0.013345084295933661,-0.022661102805511448,-0.016478977414062675,0.020719638663919397,0.04628699315566257,-0.001908170916048353,0.01762190940257206,0.04105524780940402,-0.046736134710525915,-0.010971887449731843,0.012839732707302645
ATSc3,-0.07703986834193331,0.06385300554130366,-0.047855028014705966,-0.010239549019853226,-0.05396007841299789,0.06659543932861842,0.04293413713934596,0.0609868708122185,-0.019432125159229884,0.047686440850076214,-0.04122386242360288,-0.010836838938248656,0.13739458351534595,-0.10807119181592477,-0.08347263751078281,-0.023832871429210287,-0.031068500889019884,0.07014010999199423,-0.09606974922565785,0.013758878637266034
ATSc4,0.06974193210785444,-0.02703783889041001,0.09308664969311997,0.06763051854698507,0.005664136232423418,-0.032297512937090225,-0.003856042548467869,-0.06601715198278545,-0.013134522650436825,-0.0011842857728753705,0.07097279852051795,0.06825864264882758,-0.040565446158138826,0.02289360451607628,-0.015593003518384885,0.005039892541092314,0.036931209518992036,-0.0655889217083091,0.09593008090398317,0.01849984472340467
ATSc5,-0.016534168647492735,-0.014024414855723049,-0.09698190632182338,-0.043999761248590105,-0.011406919271646845,0.033427728691082605,-0.005389824365549483,0.08191807646146608,-0.03983210404055698,-0.05409681127281539,-0.01894595982725423,-0.08210521958065063,-0.03082054083521832,0.019470329522812014,0.029089332085551797,0.020147274163210608,0.011337021080113323,0.022634098207033236,0.0014244045353144412,0.0552982286416825
ATSm1,0.019238372849438808,0.04241477869534128,0.019690845975122516,0.003143524229781012,-0.00836563572033908,-0.05676311091576271,-0.0051235986407010825,0.0479809664438143,-0.07380431800865779,0.024471904881811092,-0.07649662091007849,0.06931010109900047,0.03280291010306947,0.06397867746439054,0.007754022445551915,-0.006071311008415783,-0.09872376464795792,-0.030818925482952567,-0.018676468034192515,-0.03154686330553187
ATSm2,0.06542409181579893,0.07054223001358081,0.0036558369227950773,0.0055473860627984475,-0.04725841224446717,-0.023217100974417773,-0.012011590824331338,0.007658672050823827,-0.014402586326167808,0.002715216149010751,-0.029058231003575668,0.019733238189275096,-0.015439874870299006,0.017602409654126152,-0.015255080352329399,0.0027481905557585353,-0.032959245378403064,-0.011465941007884187,-0.018673135493627736,-0.0023257854943457544
ATSm3,0.06272084053820723,0.06655434593745987,0.012319891302498215,0.01773328400253213,-0.04935362455255376,-0.028128507521773562,-0.021950814122140103,0.025888656838457813,-0.0006413046202345392,-0.005580770654838487,-0.023342921357364786,0.05091622292283596,-0.0036383343552432775,0.010677327241760412,-0.025618071335394167,0.020591214868186405,-0.042249138774867016,-0.019709612084833517,-0.0065122311658288344,-1.8356447370337426e-05
ATSm4,0.06527210173516927,0.05879804879164799,0.01490653627585288,0.004437484776484756,-0.022157876604694392,-0.023934611054954015,-0.0253451857170714,0.031862343707017036,-0.0027923522916231775,-0.012170458832394891,-0.008009237714558233,0.08011386908198886,0.003544304377912993,0.01566253933028985,-0.0052771959729528825,0.026664461782221732,-0.0635420911062256,0.00039193878632130244,-0.004710996748039124,0.0030637815135199486
ATSm5,0.05487030973857097,0.05925326462248185,0.026306207171494615,0.010051356940590365,-0.035034317736200304,-0.007260661804997724,-0.0005440704944442937,0.061548229778999895,-0.021990167575323422,-0.0066604737330628865,0.01232547977252606,0.08599058629966234,0.049702670224837577,-0.025711898806001443,-0.04720379623467597,0.05794788562873408,0.00022749444634344282,-0.06595290837500513,0.0575701003496934,0.061682508863843896
ATSp1,0.08681741621929284,0.058214972169976203,-0.0030438030501810944,0.01950914446374992,-0.013714546043296642,-0.011899775467619228,-0.011762323630613017,-0.0016654363640508292,0.025945778183396006,0.006367203425649195,-0.023510774482968448,0.00620647803617339,-0.0009872050288578021,0.031089974989425315,-0.004551371395744071,-0.005302359733633338,-0.021122398778684725,0.012065180731713568,-0.01886071692667423,-0.005053929346869445
ATSp2,0.08738911134428433,0.056746761265191535,-0.007908952232743852,0.0213962274940258,-0.010785103367852166,-0.014044582288230746,-0.015901953780819524,0.003444702880240768,0.03991483438092797,0.005440056243045533,-0.027081747268407685,0.007010667660758837,-0.0026072924086342,0.033505780624090174,0.0024033332597901314,-0.0024658826164963,-0.02605006164537117,0.014286080514861616,-0.017056510791347925,-0.008488727379849417
ATSp3,0.084657937055889,0.05567445922579114,-0.01639101416029427,0.02274268552131012,-0.0023919746488998196,-0.015269905951412933,-0.022296311064910333,0.014157273240829575,0.06546746854153711,0.00945363372951191,-0.03191310482884604,0.007666615486079288,-0.00670558155286081,0.03968401942077562,0.013426592969574434,0.0011213531203429245,-0.033327182081998384,0.01696279438209543,-0.015582710549419062,-0.014350383429631115
ATSp4,0.08773812708213997,0.05098869104417099,-0.014841266582739192,0.012565206177730291,0.007237835138465515,-0.004903013669758347,-0.026189646331561938,0.014613055661837016,0.06421512510854346,0.013673291982238893,-0.016882521717920096,0.00962052981393995,-0.004698726734562844,0.03378172200718015,0.02226028568673843,-0.00011208874215403127,-0.02311612453505305,0.03284298807393756,-0.006901326501776363,-0.01737285987865983
ATSp5,0.08399563899646495,0.05597374482016712,-0.010963381695786695,0.0029969141615879763,0.00503311064478974,-0.0179985311642361,-0.03372020187193432,0.0023495308956177235,0.07360057397919538,0.0389612200425176,-0.03255549103484226,-0.02658936387999451,-0.027800223768628063,0.051740593995342095,0.028082617413536123,-0.016597075468719663,-0.022209460295976136,0.033251271697425255,-0.0031966019435607984,-0.022339077759755133
nBase,0.039151528438325416,0.035309276581243255,0.07119582721115354,-0.016954408471622814,0.018128992348786413,-0.0005019383901839206,0.03501314215114479,-0.049849638545324274,-0.03847387516837939,-0.00999566383346931,-0.06047025071563765,-0.06626478162131919,-0.02018659648245151,-0.02072230728616104,-0.02162910473368196,0.046388356332997316,0.0010914046652293237,0.03596453550481157,0.014193968115194968,-0.01748415131382734
BCUTw-1l,-0.035871270689265204,0.009356113291547653,0.03620940816084021,0.04765269328060094,-0.0058667570972939795,-0.028249852683991723,-0.025411518228839955,-0.005131604927980491,0.0032519785020564437,0.07074507448310122,-0.05720260886016318,0.05327587122706442,0.02969969665105213,0.06798352924523303,0.03161091057145309,-0.007739289028002415,0.006317142140515735,-0.05753165102899884,0.05296690050267382,0.06438951558069278
BCUTw-1h,-0.01226547323005966,-0.01214651364593641,0.041873097772380845,0.06194915654298772,-0.036639419768109915,-0.025762745661569584,0.031202606722300907,0.07875551323944364,-0.10845843747789989,-0.03182112690346231,-0.04991337009990877,0.10122451442287517,0.027432951980622487,0.0994895048045546,-0.0017714754644449768,0.03375980626458616,-0.10138890201930353,-0.051745501220695836,-0.004766032784014658,0.03116534579283264
