descriptor_category,n_nonconstant_descriptors,n_descriptor_pairs,mean_abs_pearson_corr,median_abs_pearson_corr,max_abs_pearson_corr,n_pairs_abs_pearson_corr_ge_090,prop_pairs_abs_pearson_corr_ge_090,mean_abs_spearman_corr,median_abs_spearman_corr,max_abs_spearman_corr,n_pairs_abs_spearman_corr_ge_090
Atom type electrotopological state,270,36315,0.10646410140966006,0.04987345567223022,1.0,332,0.009142227729588325,0.10133774446178716,0.05329460901752579,1.0,444.0
Chi path,16,120,0.8399875297705197,0.8537670108281306,0.9935591859721804,45,0.375,0.8781657130456965,0.8848154631661951,0.9941095104739919,51.0
Extended topochemical atom,43,903,0.3293192611823676,0.27459944072726433,0.9996598912153339,45,0.04983388704318937,0.34463381708745744,0.296044329179444,0.9999999960998043,50.0
Autocorrelation (polarizability),5,10,0.9769847651844392,0.9747436677046712,0.9961903875850509,10,1.0,0.9760824282614667,0.9740223128297074,0.9967118358025068,10.0
Bond count,9,36,0.4342200823858654,0.3235182383815335,0.9911632427936872,7,0.19444444444444445,0.4060744852090926,0.2397201208741885,0.9886204439843173,7.0
Chi path cluster,6,15,0.8390596190536354,0.7934947259550202,0.9922614299257708,6,0.4,0.8722248044447187,0.8226436528034607,0.9914280684097881,6.0
Autocorrelation (mass),5,10,0.8366960101379416,0.8940579931459385,0.9778659442005878,5,0.5,0.9018948197588106,0.9000805494479001,0.9736543813077203,5.0
Atom count,13,78,0.1860492381284194,0.06112454331396103,0.9699941300958648,4,0.05128205128205128,0.18246335234845587,0.08947634165405158,0.9624877578604141,4.0
Kappa shape indices,3,3,0.957464558847274,0.9693671023740184,0.9758952341897139,3,1.0,0.9364789508682844,0.9586617484141349,0.9617393783508964,2.0
Chi chain,10,45,0.4161184298842077,0.231938298498994,1.0,3,0.06666666666666667,0.40822591570106703,0.1545898852260419,1.0,5.0
Hbond acceptor count,4,6,0.8469176164803461,0.8621951824859102,0.9565509007188254,2,0.3333333333333333,0.6895594445494173,0.7082420344769733,0.9551213928621586,1.0
Molecular distance edge,19,171,0.17137326585331925,0.10347363946282058,0.9446380548619588,2,0.011695906432748537,0.15417480937644173,0.07160458834711425,0.9925071991186941,3.0
Hbond donor count,2,1,0.991335094101486,0.991335094101486,0.991335094101486,1,1.0,0.9884356195961514,0.9884356195961514,0.9884356195961514,1.0
Autocorrelation (charge),5,10,0.40166328932812034,0.3108502710538484,0.9358862558185636,1,0.1,0.3141989183490102,0.13573502589492803,0.9222406351137683,1.0
Molecular linear free energy relation,6,15,0.6565656441923075,0.7718958250753316,0.9986175135085138,1,0.06666666666666667,0.5655644653787186,0.7720024608299373,0.9970609379579398,1.0
Ring count,18,153,0.1167423438084959,0.040462618342277046,0.9093228867574642,1,0.006535947712418301,0.11304619366113168,0.045145191558092164,0.8294952444134783,0.0
ALOGP,3,3,0.2361217499502227,0.25502792801732566,0.3784968548238875,0,0.0,0.40017407324106063,0.20621033245171438,0.8397210725327557,0.0
BCUT,6,15,0.14903474012631157,0.12746269080089895,0.4562322212875824,0,0.0,0.14883688146348126,0.12805225067974385,0.35470856051344474,0.0
Carbon types,9,36,0.16095276066379743,0.10638980670844578,0.491678894327436,0,0.0,0.1555095882938806,0.12242218301110383,0.43469144158279766,0.0
Chi cluster,8,28,0.6025094011926996,0.6235828420208708,0.8646278831185643,0,0.0,0.6505661600649287,0.6000990292886452,0.9814628667252556,4.0
Crippen logP and MR,2,1,0.43193323975839026,0.43193323975839026,0.43193323975839026,0,0.0,0.7402126587161976,0.7402126587161976,0.7402126587161976,0.0
RingCountDescriptor,11,55,0.21082127604455358,0.12819452566610692,0.8027792694010146,0,0.0,0.2034568080381473,0.139719070660413,0.7999995782009665,0.0
Weighted path,5,10,0.3367853081901175,0.3379897858870475,0.7514329446794346,0,0.0,0.3094383378624431,0.33866437296611623,0.5371702504041282,0.0
Wiener numbers,2,1,0.5516113046689419,0.5516113046689419,0.5516113046689419,0,0.0,0.894391010277671,0.894391010277671,0.894391010277671,0.0
APol,1,0,,,,0,,,,,
Acidic group count,1,0,,,,0,,,,,
Aromatic atoms count,1,0,,,,0,,,,,
Aromatic bonds count,1,0,,,,0,,,,,
BPol,1,0,,,,0,,,,,
Basic group count,1,0,,,,0,,,,,
Eccentric connectivity index,1,0,,,,0,,,,,
FMFDescriptor,1,0,,,,0,,,,,
Fragment complexity,1,0,,,,0,,,,,
HybridizationRatioDescriptor,1,0,,,,0,,,,,
Largest Pi system,1,0,,,,0,,,,,
Largest chain,1,0,,,,0,,,,,
Longest aliphatic chain,1,0,,,,0,,,,,
Mannhold LogP,1,0,,,,0,,,,,
McGowan volume,1,0,,,,0,,,,,
Petitjean number,1,0,,,,0,,,,,
Rotatable bonds count,1,0,,,,0,,,,,
Rule of five,1,0,,,,0,,,,,
Topological polar surface area,1,0,,,,0,,,,,
Van der Waals volume,1,0,,,,0,,,,,
Vertex adjacency information (magnitude),1,0,,,,0,,,,,
Weight,1,0,,,,0,,,,,
XLogP,1,0,,,,0,,,,,
Zagreb index,1,0,,,,0,,,,,
