descriptor_1,descriptor_2,abs_pearson_corr,descriptor_category
minsSH,maxHsSH,1.0,Atom type electrotopological state
nssssNp,maxssssNp,1.0,Atom type electrotopological state
nHsSH,nsSH,1.0,Atom type electrotopological state
nsSH,maxsSH,1.0,Atom type electrotopological state
nsSH,SHsSH,1.0,Atom type electrotopological state
maxHsSH,maxsSH,1.0,Atom type electrotopological state
nsSH,SsSH,1.0,Atom type electrotopological state
mindS,maxdS,1.0,Atom type electrotopological state
minsSH,maxsSH,1.0,Atom type electrotopological state
nsSH,minHsSH,1.0,Atom type electrotopological state
nsSH,minsSH,1.0,Atom type electrotopological state
nsSH,maxHsSH,1.0,Atom type electrotopological state
nssssNp,minssssNp,1.0,Atom type electrotopological state
nHdsCH,ndsCH,1.0,Atom type electrotopological state
nssssNp,SssssNp,1.0,Atom type electrotopological state
minssssNp,maxssssNp,1.0,Atom type electrotopological state
ndssS,SdssS,1.0,Atom type electrotopological state
nHaaCH,naaCH,1.0,Atom type electrotopological state
SHsSH,minsSH,1.0,Atom type electrotopological state
nHdNH,ndNH,1.0,Atom type electrotopological state
ndssS,mindssS,1.0,Atom type electrotopological state
SHsSH,SsSH,1.0,Atom type electrotopological state
SHsSH,maxsSH,1.0,Atom type electrotopological state
nHsOH,nsOH,1.0,Atom type electrotopological state
SsSH,minHsSH,1.0,Atom type electrotopological state
nHsSH,minsSH,1.0,Atom type electrotopological state
minHsSH,maxsSH,1.0,Atom type electrotopological state
SssssNp,maxssssNp,1.0,Atom type electrotopological state
SCH-3,VCH-3,1.0,Chi chain
SddssS,minddssS,1.0,Atom type electrotopological state
nHsSH,SsSH,1.0,Atom type electrotopological state
nHsSH,minHsSH,1.0,Atom type electrotopological state
nHsSH,maxHsSH,1.0,Atom type electrotopological state
nHsSH,maxsSH,1.0,Atom type electrotopological state
SdCH2,mindCH2,1.0,Atom type electrotopological state
nHssNH,nssNH,1.0,Atom type electrotopological state
minHsSH,minsSH,1.0,Atom type electrotopological state
SssssNp,minssssNp,1.0,Atom type electrotopological state
mindCH2,maxdCH2,1.0,Atom type electrotopological state
SdCH2,maxdCH2,1.0,Atom type electrotopological state
nHsSH,SHsSH,1.0,Atom type electrotopological state
SsSH,minsSH,1.0,Atom type electrotopological state
SsSH,maxHsSH,1.0,Atom type electrotopological state
SsSH,maxsSH,1.0,Atom type electrotopological state
SdS,mindS,1.0,Atom type electrotopological state
SdS,maxdS,1.0,Atom type electrotopological state
nHdCH2,ndCH2,1.0,Atom type electrotopological state
nHtCH,ntCH,1.0,Atom type electrotopological state
SdssS,mindssS,1.0,Atom type electrotopological state
